we	be
ýaryşda	yoruSdo
ýurdumyza	yurdumu8o
eziz	e8i8
getirmek	getirmek
maksatnamasyny	moq8otnomo8unu
çaganyň	CoXonuN
garamagyna	goromoXuno
kesgitlenýär	ke8XitlenyEr
metre	metre
Çünki	Cenke
ähmiýetini	Ehmiyetini
üpjünçiligi	epjenCeleXi
almagyň	olmoXuN
doganlyk	doXonluq
duşuşygyň	duSuSuXuN
goraýjy	goroyju
işlerine	iSlerine
ondan	onnon
öndürmek	EnnermEk
şertleriň	SertleriN
aradan	orodon
aýawly	oyoblu
beýanyny	beyonunu
edýärin	edyErin
kärhanalaryň	kErxonoloruN
mahrum	moxrum
meýilnamasy	meyilnomo8u
Baştutany	boStutonu
etmeli	etmeli
eýelik	eyelik
görkezmeleri	gErkE8mEleri
haýran	xoyron
jemleýji	jemleyji
maksatnamasy	moq8otnomo8u
mal	mol
oýunlary	oyunloru
Baştutanymyza	boStutonumu8o
Soňky	8oNqu
öwrülen	EbrelEn
ýagdaýyny	yoXdoyunu
ýaryşyň	yoruSuN
almagy	olmoXu
alty	oltu
binalaryň	binoloruN
gaznasynyň	go8no8unuN
bellenilýän	bellenilyEn
geçirýän	geCiryEn
mejlisiniň	mejli8iniN
meselelerini	me8elelerini
myhmanlar	muxmonlor
Ýerine	yerine
çaga	CoXo
ýeten	yeten
Kanun	qonun
etmekde	etmekde
gabat	gobot
gaýry	goyru
hemme	hemme
ugurlarda	uXurlordo
Kanunda	qonunno
gatnaşyjylara	gotnoSujuloro
haly	xolu
maksat	moq8ot
Türkmenistandaky	terkmEne88ondoqu
aldylar	ollulor
aşyrmaga	oSurmoXo
hukugynyň	xuquXunuN
jogapkärli	joXopkErli
saklamaga	8oqlomoXo
toplumyny	toplumunu
ykdysadyýetiniň	uqdu8oduyetiniN
ösmegi	E8mEXe
ýarym	yorum
Berdimuhamedowa	berdimuxomedobo
aý	oy
bap	bop
duşuşyk	duSuSuq
ediji	ediji
ýetirilişi	yetiriliSi
aşyrýar	oSuryor
däbe	dEbe
düzüminiň	de8emeneN
gül	gel
deslapky	de8lopqu
ikisi	iki8i
innowasion	innobo8ion
parahatçylygy	poroxoCCuluXu
ýerinde	yerinne
TDH	tdh
Ykdysady	uqdu8odu
edaralar	edorolor
gerimli	gerimli
kämillik	kEmillik
mekdep	mekdep
tans	ton8
artdy	ortdu
ençeme	enCeme
hereketiniň	hereketiniN
möhletde	mEhlEtdE
sebäpli	8ebEpli
ýanyndaky	yonundoqu
ýokdur	yoqdur
itergi	iterXi
ýolbaşçylyk	yolboSSuluq
aýdyldy	oydullu
borçlaryny	borClorunu
maddasynda	moddo8unno
möçberlerini	mECbErlErini
mümkinçiligi	memkenCeliXi
orna	orno
saz	8o8
ýurtlarynyň	yurtlorunuN
Görkezilen	gErkE8elEn
bellediler	bellediler
göwnejaý	gEbnEjoy
işlerinde	iSlerinne
taýýarlanyldy	toyyorlonullu
ulaglary	uloXloru
öndürilýän	EnnerelyEn
Söwda	8Ebdo
aýtmak	oytmoq
geňeşiniň	geNeSiniN
hereketi	hereketi
notarial	notoriol
ýyllaryň	yulloruN
Başlygy	boSluXu
artdyrmaga	ortdurmoXo
etrap	etrop
gepleşikleriň	gepleSikleriN
welaýatda	beloyotdo
çykdy	Cuqdu
çözmek	CE8mEk
harytlary	xorutloru
pudaklarynda	pudoqlorunno
täzeden	tE8eden
welaýatlaryň	beloyotloruN
çykyp	Cuqup
ýurtlardan	yurtlordon
bilermenler	bilermenler
gepleşikler	gepleSikler
görkezdiler	gErkE88elEr
pugtalandyrmak	puXtolonnurmoq
razylygy	ro8uluXu
saparynyň	8oporunuN
ýagdaýlar	yoXdoylor
babatdaky	bobotdoqu
babatynda	bobotunno
boljak	boljoq
döredijilikli	dErEdejilikli
edaralaryna	edoroloruno
toplumyň	toplumuN
çalt	Colt
gazanyldy	go8onullu
pudagynda	pudoXunno
resminama	re8minomo
serişdeleriň	8eriSdeleriN
toplumyna	toplumuno
ýylylyk	yululuq
Hasabat	xo8obot
adama	odomo
desganyň	de8XonuN
gatnaşmagy	gotnoSmoXu
açyldy	oCullu
wezipe	be8ipe
çäreleriniň	CEreleriniN
ýaryş	yoruS
Suw	8ub
bölegine	bElEXene
döretdi	dErEtde
edarasyna	edoro8uno
kuwwaty	qubbotu
maglumatlaryň	moXlumotloruN
tutulyp	tutulup
ýagny	yoXnu
Belarus	beloru8
Owganystanyň	obXonu88onuN
beýlekiler	beylekiler
hukuklarynyň	xuquqlorunuN
jenap	jenop
neşir	neSir
pes	pe8
sporty	8portu
ýollary	yolloru
Häzir	hE8ir
depginler	depXinler
mejlisini	mejli8ini
telekeçilik	telekeCilik
uzakmöhletleýin	u8oqmEhlEtlEyin
çempionaty	Cempionotu
ösüşini	E8eSene
şerti	Serti
Saglygy	8oXluXu
deňeşdirilende	deNeSdirilenne
işewürler	iSEberlEr
maslahatlar	mo8loxotlor
tehnologiýalar	tehnologiyolor
zolagynda	8oloXunno
zyýanyň	8uyonuN
üstünlik	e88enlek
dolandyrmak	dolonnurmoq
döwrüniň	dEbreneN
möçberleri	mECbErlEri
nagt	noXt
sergi	8erXi
önümler	EnemlEr
şertlerinde	Sertlerinne
gözegçilikde	gE8EXCelekde
işlemek	iSlemek
tutýar	tutyor
Owganystan	obXonu88on
başlangyçlary	boSlonXuCloru
eýeledi	eyeledi
geljek	geljek
guramalaryň	guromoloruN
kompaniýalarynyň	qomponiyolorunuN
tamamlandy	tomomlonnu
ulgamlary	ulXomloru
wekiliýetiniň	bekiliyetiniN
öňünden	ENennEn
öňündäki	ENendEki
ýokarda	yoqordo
Ak	oq
bolupdyr	bolupdur
görnüşindäki	gErneSendEki
maksatnamalary	moq8otnomoloru
sergisi	8erXi8i
sowgat	8obXot
Öz	E8
çekýärler	CekyErler
çärelerini	CErelerini
ünsüni	en8ene
Esasy	e8o8u
orunlary	orunloru
tagallalary	toXolloloru
üstaşyr	e88oSur
bazar	bo8or
kanunçylyk	qonunCuluq
kärhana	kErxono
maslahatyň	mo8loxotuN
mesele	me8ele
meýilleşdirilýär	meyilleSdirilyEr
möçberiniň	mECbEreneN
oýun	oyun
ukyply	uquplu
önümiň	EnemeN
Türkiýe	terkeye
hasaby	xo8obu
tanyşdy	tonuSdu
ýurtlara	yurtloro
ýüzlenip	ye8lEnep
Garaşsyzlygynyň	goroS8u8luXunuN
abadançylyk	obodonCuluq
degişlilikde	deXiSlilikde
deňziniň	deN8iniN
geçirilmegine	geCirilmeXine
hyzmatlar	xu8motlor
toý	toy
ösüşine	E8eSenE
ýapyk	yopuq
Zähmet	8Ehmet
aýdan	oydon
eýeleýän	eyeleyEn
görkezme	gErkE8mE
maksatlary	moq8otloru
taslamalar	to8lomolor
teklipleri	teklipleri
usullary	u8ulloru
ýetirmäge	yetirmEge
şertlerde	Sertlerde
asyr	o8ur
derejä	derejE
etrabynda	etrobunno
gurluşygyna	gurluSuXuno
halklaryň	xolkloruN
pugtalandyrmaga	puXtolonnurmoXo
taýýarlanan	toyyorlonon
tejribesini	tejribe8ini
Ýaponiýanyň	yoponiyonuN
çekildi	Cekilli
çempionatynda	Cempionotunno
Belent	belent
borçludyrlar	borCludurlor
döredilmegi	dErEdelmeXi
girizilen	giri8ilen
peýdalanmagyň	peydolonmoXuN
tejribesi	tejribe8i
aýlyk	oyluq
gijä	gijE
maslahata	mo8loxoto
maslahatyna	mo8loxotuno
ýeňil	yeNil
şunuň	SunuN
Bank	bonk
Bilim	bilim
gününe	genenE
çylşyrymly	CulSurumlu
ösdürip	E88erep
ýazgy	yo8Xu
ýaşlaryň	yoSloruN
ýokarlandyrmaga	yoqorlonnurmoXo
şertlerini	Sertlerini
şowhunly	Sobxunlu
Liderimize	liderimi8e
binanyň	binonuN
emlägiň	emlEXiN
ministrlikleriň	mini88rlikleriN
suwy	8ubu
ýurtda	yurtdo
abadan	obodon
aýlarynda	oylorunno
aýrylmaz	oyrulmo8
bölünip	bElenep
döretmegiň	dErEtmEXiN
geçirmegi	geCirmeXi
ulanylmagy	ulonulmoXu
ýaryşlara	yoruSloro
ýurdumyzy	yurdumu8u
berkitmek	berkitmek
talyplary	toluploru
tapgyry	topXuru
zyýan	8uyon
Ähli	Ehli
çäre	CEre
ýerasty	yero88u
Muňa	muNo
bilmez	bilme8
binýady	binyodu
getirilýän	getirilyEn
guramaçylykly	guromoCuluqlu
raýatlarynyň	royotlorunuN
ýerleşen	yerleSen
Dünýä	denyE
Size	8i8e
bölümi	bEleme
emeli	emeli
gatnaşýarlar	gotnoSyorlor
nebit	nebit
talaplary	toloploru
wezipesinden	be8ipe8innen
ýyllar	yullor
işgärleriň	iSXErleriN
welaýatlarynda	beloyotlorunno
ösdürilmegi	E88erelmEXe
Lideri	lideri
açylmagy	oCulmoXu
bähbitlerine	bEhbitlerine
gazandylar	go8onnulor
isleg	i8leX
Ýaragly	yoroXlu
şäheri	SEheri
artýar	ortyor
dalaşgär	doloSgEr
gurulýar	gurulyor
hasaplanylýar	xo8oplonulyor
iberilýär	iberilyEr
wezipeler	be8ipeler
Ýaşaýyş	yoSoyuS
çeper	Ceper
ýörişe	yEreSE
Assambleýasynyň	o88ommleyo8unuN
Bitewi	bitEbi
dördünji	dErdenje
halklarynyň	xolklorunuN
kesgitlemek	ke8Xitlemek
merkezleriniň	merke8leriniN
nygtaldy	nuXtollu
taýýar	toyyor
çykýar	Cuqyor
ösdürmekde	E88ermEkde
Türkiýäniň	terkeyEniN
Watany	botonu
adamlary	odomloru
berijiniň	berijiniN
bilinmez	bilinme8
bolmagyny	bolmoXunu
giňişliginde	giNiSliXinne
medallaryň	medolloruN
nusgalary	nu8Xoloru
raýatlary	royotloru
taslamasyny	to8lomo8unu
täsirini	tE8irini
äşgär	ESXEr
ýetiriş	yetiriS
Russiýanyň	ru88iyonuN
döwletleri	dEblEtlEri
kenarynda	kenorunno
patent	potent
ruhubelentlik	ruxubelentlik
sagaldyş	8oXolluS
öňki	ENke
ýyllygy	yulluXu
şahsa	Sox8o
aldy	ollu
alyndy	olunnu
berkarar	berqoror
durup	durup
düzgünler	de8XenlEr
edaranyň	edoronuN
galýar	golyor
hukugyny	xuquXunu
indi	inni
parahatçylygyň	poroxoCCuluXuN
saglygyny	8oXluXunu
subut	8ubut
Durnukly	durnuqlu
bitewi	bitEbi
durmuşda	durmuSdo
esasyny	e8o8unu
hyzmaty	xu8motu
mirasy	miro8u
taslamanyň	to8lomonuN
türkmenistanlylaryň	terkmEne88onluloruN
ýagdaýyna	yoXdoyuno
gatnaşýar	gotnoSyor
girýän	giryEn
goşulýar	goSulyor
häsiýetli	hE8iyetli
jaýlary	joyloru
nygtaýşy	nuXtoySu
obasenagat	obo8enoXot
saýlap	8oylop
synag	8unoX
türgenleriniň	terXEnleriniN
bardy	bordu
bäsleşigiň	bE8leSiXiN
bölegini	bElEXeni
görnüşiniň	gErneSeneN
günler	genlEr
hukukly	xuquqlu
kesgitlenen	ke8Xitlenen
ornaşdyrmak	ornoSdurmoq
tertibini	tertibini
çekilen	Cekilen
ýörelgeleri	yErElXEleri
agyr	oXur
bejeriş	bejeriS
bähbitlerini	bEhbitlerini
ekerançylyk	ekeronCuluq
howanyň	xobonuN
jemgyýetiniň	jemXuyetiniN
jogapkärçiligi	joXopkErCiliXi
kanunyň	qonunuN
maksada	moq8odo
merkezine	merke8ine
merkezleri	merke8leri
usuly	u8ulu
çärelere	CErelere
ýerlerinde	yerlerinne
içeri	iCeri
ortaça	ortoCo
senagatynyň	8enoXotunuN
ýapon	yopon
Umumy	umumu
açyp	oCup
balyk	boluq
döwür	dEber
gowşuryldy	gobSurullu
görmegiň	gErmEXeN
kadalar	qodolor
olarda	olordo
pudaklaýyn	pudoqloyun
sala	8olo
sanawyna	8onobuno
uzynlygy	u8unluXu
çözmäge	CE8mEge
çözülýär	CE8elyEr
ýagdaýlarda	yoXdoylordo
şäherjiginiň	SEherjiXiniN
Ylymlar	ulumlor
bolmaly	bolmolu
durýandygyny	duryonnuXunu
duşuşyklary	duSuSuqloru
eýesiniň	eye8iniN
girdeji	girdeji
hataryna	xotoruno
meýilnama	meyilnomo
tassyklaýan	to88uqloyon
ulanmagyň	ulonmoXuN
zady	8odu
çäginden	CEXinnen
ösmegine	E8mEXenE
ýoluň	yoluN
Bir	bir
aralygynda	oroluXunno
gatnaşyp	gotnoSup
myhmanlary	muxmonloru
wezipesi	be8ipe8i
Aziýada	o8iyodo
Hazaryň	xo8oruN
Hytaý	xutoy
Koreýa	qoreyo
alada	olodo
berýärler	beryErler
bolmasa	bolmo8o
döwrebaplaşdyrmak	dEbrEboploSdurmoq
eýeleri	eyeleri
geçmegi	geCmeXi
hökümet	hEkemEt
komiteti	qomiteti
tarapyň	toropuN
toparyna	toporuno
uniwersitetiniň	uniber8itetiniN
çagyrdy	CoXurdu
ýetiren	yetiren
ýetirilmegi	yetirilmeXi
Kanunynyň	qonununuN
Orta	orto
gününde	genennE
hemmesi	hemme8i
maslahatyny	mo8loxotunu
meýdanlarynda	meydonlorunno
pudagy	pudoXu
saýlawlaryň	8oylobloruN
toplumlary	toplumloru
binalar	binolor
indiki	inniki
meýdançada	meydonCodo
raýatlygy	royotluXu
zalynda	8olunno
çempionatynyň	CempionotunuN
Federasiýasynyň	federo8iyo8unuN
baglaşylan	boXloSulon
gäminiň	gEminiN
hilini	hilini
ilatynyň	ilotunuN
sapar	8opor
çäresi	CEre8i
ýetip	yetip
ýetirilýär	yetirilyEr
ýörelgelerine	yErElXElerine
Kodeksde	qodek88e
adaty	odotu
işewürlik	iSEberlek
kireýine	kireyine
puly	pulu
çykyşy	CuquSu
çäklerinden	CEklerinnen
ýeterlik	yeterlik
Mirasa	miro8o
awtoulag	obtouloX
açýar	oCyor
bölüminiň	bElemeneN
girizmek	giri8mek
gorap	gorop
goňşuçylyk	goNSuCuluq
gurşawy	gurSobu
gämi	gEmi
gözel	gE8El
günleri	genlEre
myhmanlaryň	muxmonloruN
syýasatyny	8uyo8otunu
ýollarynyň	yollorunuN
Galkynyş	golqunuS
desga	de8Xo
döwlete	dEblEtE
futbol	futbol
gurlup	gurlup
haýsy	xoy8u
jaýy	joyu
kärhanalar	kErxonolor
netijesi	netije8i
ýetirdi	yetirdi
Liderimizi	liderimi8i
başynda	boSunno
dabarasyna	doboro8uno
esse	e88e
toparlaýyn	toporloyun
toparynda	toporunno
wekilçilik	bekilCilik
aşyrylmagy	oSurulmoXu
berkitmäge	berkitmEge
bäsleşikler	bE8leSikler
bölüminde	bElemennE
gazy	go8u
gelende	gelenne
hasyl	xo8ul
medaly	medolu
nebiti	nebiti
niýetlenendir	niyetlenennir
otaglary	otoXloru
talaplar	toloplor
tutmak	tutmoq
ugurly	uXurlu
ulgamyň	ulXomuN
ylalaşyk	uloloSuq
ýurtlary	yurtloru
ýylynda	yulunno
Energetika	enerXetiko
asyrlaryň	o8urloruN
bellenilip	bellenilip
dünýäsiniň	denyE8iniN
geçirýär	geCiryEr
gowaça	goboCo
guralýan	gurolyon
hökümetara	hEkemEtoro
pudagyň	pudoXuN
strategiki	88roteXiki
ussatlary	u88otloru
wezipelerini	be8ipelerini
Ösüş	E8eS
agzasy	oX8o8u
geçirip	geCirip
gowragy	gobroXu
goýulýan	goyulyon
kazyýetde	qo8uyetde
kompaniýalary	qomponiyoloru
möhletiniň	mEhlEteneN
netije	netije
zerurdyr	8erurdur
üstüni	e88ene
ýaryşa	yoruSo
Baştutanymyzy	boStutonumu8u
Doly	dolu
Eýranyň	eyronuN
Olarda	olordo
hokkeý	xoqkey
möhletleri	mEhlEtlEri
çekýän	CekyEn
ýetirýän	yetiryEn
ýygnananlar	yuXnononlor
barlagy	borloXu
dikeltmek	dikeltmek
girizilmegi	giri8ilmeXi
kärhanalarynyň	kErxonolorunuN
meselesi	me8ele8i
miras	miro8
möçberinde	mECbErenne
saklanyp	8oqlonup
tälim	tElim
öwrülýär	EbrelyEr
ýerleriň	yerleriN
Aşgabada	oSXobodo
edilmeginiň	edilmeXiniN
geçiren	geCiren
goýumlarynyň	goyumlorunuN
hojalygynyň	xojoluXunuN
kadalaryna	qodoloruno
kanunda	qonunno
mekdeplerinde	mekdeplerinne
nusgawy	nu8Xobu
saklamagyň	8oqlomoXuN
töleýjiniň	tElEyjiniN
çygrynda	CuXrunno
ýaryşlarynyň	yoruSlorunuN
ýerler	yerler
Bitaraplygynyň	bitoropluXunuN
başlandy	boSlonnu
belleýär	belleyEr
bolandygyny	bolonnuXunu
düzümleri	de8emlEre
gatnaşyklaryna	gotnoSuqloruno
getirýär	getiryEr
guramasy	guromo8u
görkeziji	gErkE8eje
görnüşini	gErneSene
kesgitleýär	ke8XitleyEr
tassyklaýar	to88uqloyor
tiz	ti8
tölegi	tElEXe
Hut	xut
duşuşyklar	duSuSuqlor
düzýär	de8yEr
küşt	keSt
täjirçilik	tEjirCilik
ulgamlarynyň	ulXomlorunuN
Ýakyn	yoqun
ýagdaý	yoXdoy
ýörediş	yErEdeS
aprel	oprel
aşyrylan	oSurulon
başgaça	boSXoCo
gatnaşyjy	gotnoSuju
hormatyna	xormotuno
joşgunly	joSXunlu
mejbury	mejburu
senenama	8enenomo
Nowruz	nobru8
başardylar	boSordulor
başlady	boSlodu
bezeg	be8eX
bikanun	bikonun
birinde	birinne
bozulmagy	bo8ulmoXu
býujetiniň	byujetiniN
dogry	doXru
düzümleriň	de8emlEreN
esaslar	e8o8lor
güýç	geyC
hünärmenler	henErmEnler
ilki	ilki
keşbi	keSbi
mysal	mu8ol
taryhynda	toruxunno
çeken	Ceken
bankyň	bonquN
dolanyşygynyň	dolonuSuXunuN
eltýär	eltyEr
gymmatlyklary	gummotluqloru
mirasyň	miro8uN
mümkinçilikleriň	memkenCelikleriN
netijelerini	netijelerini
ynanylan	unonulon
zähmeti	8Ehmeti
ýadygärlik	yodugErlik
Bäsleşigiň	bE8leSiXiN
Emma	emmo
Jemgyýetçilik	jemXuyeCCilik
Umuman	umumon
adyny	odunu
açylýar	oCulyor
bezelen	be8elen
duşuşygy	duSuSuXu
duşuşykda	duSuSuqdo
düzülen	de8elEn
gowşan	gobSon
hünärli	henErli
mahsus	mox8u8
mineral	minerol
möhletiň	mEhlEteN
ulanylmaga	ulonulmoXo
ulgamlaryny	ulXomlorunu
wideoşekilli	bideoSekilli
önümçiligiň	EnemCeleXiN
ýetirýär	yetiryEr
bag	boX
gektar	gektor
getirdi	getirdi
geçirilende	geCirilenne
häzir	hE8ir
häzirkizaman	hE8irki8omon
medeniýetiniň	medeniyetiniN
oýlap	oylop
pudaklarynyň	pudoqlorunuN
sözleri	8E8lEre
tutuldy	tutullu
şertnamanyň	SertnomonuN
azyndan	o8unnon
aýda	oydo
barmak	bormoq
dekabrynda	dekobrunno
haýal	xoyol
ideg	ideX
ilaty	ilotu
ýaşa	yoSo
ýolbaşçylarynyň	yolboSSulorunuN
Gadymy	godumu
Maslahatyň	mo8loxotuN
bildirdiler	billirdiler
dabaralar	doborolor
esaslanýar	e8o8lonyor
eýelediler	eyelediler
eýeleriniň	eyeleriniN
final	finol
günden	gennEn
halky	xolqu
köpüsi	kEpe8e
künjeklerinde	kenjEklerinne
tokaý	toqoy
toparlaryň	toporloruN
türk	terk
Ýaş	yoS
çykdajylary	Cuqdojuloru
ýaşly	yoSlu
ýetginjekleriň	yetXinjekleriN
Güýçleriniň	geyCleriniN
Prezidentimize	pre8identimi8e
Saglyk	8oXluq
goramagyň	goromoXuN
oýunlar	oyunlor
oýunlarynda	oyunlorunno
sorag	8oroX
talyp	tolup
telefon	telefon
çempiony	Cempionu
ölçeglerine	ElCEXlErine
ýerleşdirilen	yerleSdirilen
ýurtlar	yurtlor
şert	Sert
şertlerine	Sertlerine
şertnamasynda	Sertnomo8unno
Deňiz	deNi8
Kubogy	quboXu
ata	oto
boýun	boyun
daýhan	doyxon
dilinde	dilinne
düzediş	de8EdeS
geçiriji	geCiriji
goýumlary	goyumloru
minut	minut
takyk	toquq
tarapynyň	toropunuN
ulgamlarda	ulXomlordo
üstünden	e88ennEn
ýöriş	yEreS
Kanuna	qonuno
adamy	odomu
derňew	derNEb
ekmek	ekmek
gowulandyrmak	gobulonnurmoq
guramalar	guromolor
hyzmatlaryny	xu8motlorunu
ilatly	ilotlu
kämil	kEmil
saklanýan	8oqlonyon
sebitiniň	8ebitiniN
taslamasynyň	to8lomo8unuN
ussady	u88odu
Ýer	yer
Ýeri	yeri
Ýewropanyň	yEbroponuN
ýetmedik	yetmedik
Adalat	odolot
alyjy	oluju
artyk	ortuq
duşuşyklaryň	duSuSuqloruN
gazanmak	go8onmoq
gutlady	gutlodu
halatda	xolotdo
içgin	iCXin
netijeliligini	netijeliliXini
taýýarlamaga	toyyorlomoXo
taýýarlamagyň	toyyorlomoXuN
täsirli	tE8irli
ussatlyk	u88otluq
ýetişdirmek	yetiSdirmek
ýeňiji	yeNiji
Geňeşiniň	geNeSiniN
Ikinji	ikinji
Respublikasyna	re8publiko8uno
galla	gollo
gezekki	ge8ekki
hyzmatlarynyň	xu8motlorunuN
ministrlikleriniň	mini88rlikleriniN
pudagyny	pudoXunu
pursatyndan	pur8otunnon
sanynyň	8onunuN
taslamalaryny	to8lomolorunu
tutulmadyk	tutulmoduq
ýanyna	yonuno
Aýratyn	oyrotun
Dünýäniň	denyEniN
durmuşy	durmuSu
getirilen	getirilen
haýyş	xoyuS
hereketini	hereketini
işde	iSde
mejlisine	mejli8ine
ulgamyndaky	ulXomundoqu
usullaryny	u8ullorunu
çykarmaga	CuqormoXo
özgertmeleri	E8XErtmeleri
ýaşulular	yoSululor
Lideriniň	lideriniN
aşyrýarlar	oSuryorlor
beden	beden
gatnaşan	gotnoSon
goýuldy	goyullu
hukugyna	xuquXuno
keselleriň	ke8elleriN
saklap	8oqlop
tälimçisi	tElimCi8i
Özbegistan	E8bEXe88on
ýygnananlaryň	yuXnononloruN
ýylynyň	yulunuN
abadanlaşdyrmak	obodonloSdurmoq
etmelidir	etmelidir
hakda	xoqdo
hasaplaşyk	xo8oploSuq
jogapkärçilige	joXopkErCiliXe
kompaniýasy	qomponiyo8u
manat	monot
meselesine	me8ele8ine
serişdelerine	8eriSdelerine
tapdy	topdu
tassyklamak	to88uqlomoq
çykyşlar	CuquSlor
özüni	E8ene
Adatdan	odotdon
Hytaýyň	xutoyuN
Watan	boton
başlanýar	boSlonyor
gazyň	go8uN
kazyýetiniň	qo8uyetiniN
maslahatlary	mo8loxotloru
sekiz	8eki8
çeperçilik	CeperCilik
çözgütler	CE8XetlEr
ösümlikleriň	E8emlekleriN
ýaryşlarynda	yoruSlorunno
ýetirdiler	yetirdiler
Berdimuhamedowy	berdimuxomedobu
Indi	inni
Mysal	mu8ol
Netijede	netijede
başlyklyk	boSluqluq
biljek	biljek
binýatlyk	binyotluq
dabaralary	doboroloru
durmuşynda	durmuSunno
döwletler	dEblEtlEr
halkymyz	xolqumu8
işlemegi	iSlemeXi
kesgitnama	ke8Xitnomo
kesilen	ke8ilen
konserti	qon8erti
nygtap	nuXtop
paýdarlar	poydorlor
wekilçilikli	bekilCilikli
öňüsyrasynda	ENe8uro8unno
şertnamada	Sertnomodo
Paýtagtymyzyň	poytoXtumu8uN
akademiýasynyň	oqodemiyo8unuN
bellemeli	bellemeli
dekabr	dekobr
geçirmekde	geCirmekde
hyzmatdaşlyga	xu8motdoSluXo
jemleýär	jemleyEr
medallar	medollor
mejlisiň	mejli8iN
migrasiýa	miXro8iyo
sahna	8oxno
töleýji	tElEyji
ýaňlandy	yoNlonnu
ýolunda	yolunno
amallary	omolloru
açylan	oCulon
aşyryldy	oSurullu
barlag	borloX
bazarynda	bo8orunno
döwrüne	dEbrenE
etmän	etmEn
geçirilmeginiň	geCirilmeXiniN
menziliniň	men8iliniN
sebitleýin	8ebitleyin
syn	8un
tölenilýär	tElEnelyEr
welaýatlarynyň	beloyotlorunuN
welaýatyna	beloyotuno
ygtyýarlandyrylan	uXtuyorlonnurulon
zehinli	8ehinli
çykarýar	Cuqoryor
çäklendirilen	CEklennirilen
ösdürilýär	E88erelyEr
ýarymynda	yorumunno
Baýramçylyk	boyromCuluq
Dabara	doboro
abadançylygyny	obodonCuluXunu
bildirýän	billiryEn
bäsleşik	bE8leSik
eserleri	e8erleri
goýmaga	goymoXo
goşulan	goSulon
gurulmagy	gurulmoXu
howply	xobplu
kärhanasynyň	kErxono8unuN
kömekçi	kEmEkCe
maslahatynda	mo8loxotunno
merkezlerinde	merke8lerinne
meseleleriniň	me8eleleriniN
möhletlerde	mEhlEtlErde
möwsümleýin	mEb8emlEyin
ussat	u88ot
ýerleriniň	yerleriniN
Jenaýat	jenoyot
Kärhananyň	kErxononuN
aşyrmagyň	oSurmoXuN
bahaly	boxolu
binasynyň	bino8unuN
demokratik	demoqrotik
dili	dili
düzgünleşdirilýär	de8XenlESderilyEr
galdyrdy	gollurdu
mahaly	moxolu
manada	monodo
saklanylýan	8oqlonulyon
sebitinde	8ebitinne
talyplar	toluplor
ugurlaryň	uXurloruN
çärä	CErE
önümçiliginiň	EnemCeleXiniN
üstün	e88en
Köpçülikleýin	kEpCeleklEyin
Sizi	8i8i
abraýyny	obroyunu
barabardyr	borobordur
barýarlar	boryorlor
berler	berler
golaýynda	goloyunno
görkezip	gErkE8ep
haty	xotu
iberilýän	iberilyEn
jemgyýeti	jemXuyeti
kilometr	kilometr
möhlete	mEhlEtE
olimpiýa	olimpiyo
söweşjeň	8EbESSEN
tehnologik	tehnologik
ukyby	uqubu
ynanç	unonC
ösümlik	E8emlek
ýyllygyna	yulluXuno
Maliýe	moliye
baýrakly	boyroqlu
döwletimiz	dEblEteme8
gatnaşar	gotnoSor
giren	giren
hasaplanýar	xo8oplonyor
howpsuzlygynyň	xobp8u8luXunuN
islegi	i8leXi
jemleýän	jemleyEn
mazmuny	mo8munu
seretmek	8eretmek
tapgyrda	topXurdo
tassyklady	to88uqlodu
toplumlarynyň	toplumlorunuN
çäklenmän	CEklenmEn
ýetirmegiň	yetirmeXiN
Aziada	o8iodo
Malaýziýanyň	moloy8iyonuN
Raýat	royot
adyna	oduno
binalary	binoloru
düzülýär	de8elyEr
etmekden	etmekden
jaýyny	joyunu
jerime	jerime
maldarçylyk	mollorCuluq
medeniýeti	medeniyeti
netijeler	netijeler
salgydyň	8olXuduN
telekeçileri	telekeCileri
telekeçiligiň	telekeCiliXiN
öwrüler	EbrelEr
öý	Ey
ýagdaýynyň	yoXdoyunuN
ýetirip	yetirip
ýurtlarymyzyň	yurtlorumu8uN
Häkim	hEkim
asyryň	o8uruN
bol	bol
kysymly	qu8umlu
maksatnamalaryny	moq8otnomolorunu
rus	ru8
tassyklanyldy	to88uqlonullu
zaly	8olu
ýatyrmak	yoturmoq
Şunlukda	Sunluqdo
şertnamalary	Sertnomoloru
Respublikasy	re8publiko8u
Syýahatçylyk	8uyoxoCCuluq
Türkmenistandan	terkmEne88onnon
berlişi	berliSi
görkezýän	gErkE8yEn
kanagatlanma	qonoXotlonmo
müşderi	meSdEre
okuwçylary	oqubCuloru
talaplaryny	toloplorunu
tassyklanan	to88uqlonon
ulgam	ulXom
Çagalar	CoXolor
çykmak	Cuqmoq
ýanwar	yonbor
Dürli	derle
Harby	xorbu
alamatlandyrýar	olomotlonnuryor
atlary	otloru
aýtsak	oy88oq
binýadynda	binyodunno
bölümleri	bElemlEre
durmuşyna	durmuSuno
hojalygyny	xojoluXunu
taýýarlanylan	toyyorlonulon
zolagy	8oloXu
Çaganyň	CoXonuN
ýetirilýän	yetirilyEn
ýeňijini	yeNijini
şöhratly	SEhrotlu
Saud	8oud
Sportuň	8portuN
alynmaga	olunmoXo
beslenen	be8lenen
bilimi	bilimi
döwleti	dEblEte
formatda	formotdo
