di	d i
spearfishing	s p e a r f i S i N
stul	s t u l
subiendo	s u b i e n d o
sushedad	s u S e d a d
tawatin	t a w a t i n
temor	t e m o r
tine	t i n e
track	tr~ a k
unabes	u n a b e sy~ s
vandalismo	v a nd~ a r i s m o
verbal	e r b a l
votadonan	v o t a d o n a n
wordu	e* d u
zonido	z o n i d o
Abao	b a o
Anual	n u a l
Arutram	r u t r a m
Basta	a s t a
Bosman	o s m a n
Bou	o u
Cabay	a b a y
Cantidad	a n t i d a d
Casa	a s a
Day	a y
Desk	e s k
Development	u s k u a m E n t
Diabetes	i a b e t e
Docentenan	T E n t e n a n
Duna	u n a
Ecuador	k u a d o r
Eleccion	l e k i o n
Gonzalez	n z a l e z
Historia	i s t o r i a
Hitler	i L e r
Hulandesnan	u l a n d e s n a n
Hyatt	y a t
Internet	t E r n
Loonsubsidie	o s u b i d i e
Lucia	u C i a
Malmok	a l m o k
Mangel	a N
Monumentenfonds	n u m e n t e n f o n d
Natuur	a t u r
Pavia	a b i a
Pickup	i S k u p
Prijs	r e j o
Protocol	r o t o k o l
Region	g i o n
Regreso	g r e s o
RevPAR	e v
Sasakiweg	a s a k i w e
Segundo	e g u n d o
actuando	a k t u a n d o
alimenta	a l i m e nt~ a
anti	a n t i
autorizacion	a u t o r i r o i o n
barcode	b a r k o t e
bebemento	b e b e m e n t o
bonus	b o n u s
cabalmente	k a b a l 3 m e n t e
cambernan	k a m b E a n a n
capitulo	k a p i t u l o
cargo	k 3 y
categorianan	k a t e g o r i a n a n
cel	k
clarifica	k l a r i f i k a
concentracion	r o n C i tr~ a i o n
condecoracion	r o n d e k o r a i o n
continuidad	r o n t i n u i d a d
cosecha	k o s E r C a
cubo	k u b o
danjo	d a n T i
dependiente	d e p e n d i e n t e
die	d i e
diesel	d i e s
dunabo	d u n a b o
elmar	e l m a r
elogia	e l o g i a
estimulo	e s t i m u l o
expectativa	" p E kh~ a m e* t a t i v a
exponi	" p o n i
fotografia	f o t o g r a f i a
gradual	g r a d u a l
herido	h e r i d o
himno	h i m
hobenan	h o b e n a n
horeca	h o r e k a
hospitalisa	h o s p i t a l i s a
huurdo	h u r d o
inciso	m a i s o
industrial	u z i a l
informando	i n f o r m a n d o
intermediacion	i n t E r * dy~ a i o n
kaminda	k a m i n d a
klapchi	k l o p C i
libera	b e r a
liga	l i g a
literatura	t E r a t u r a
masterplan	s t E r p l a n k o
migracion	m i b o ch~ i o n
morde	m o r d e
operando	o p e r a n d o
organisando	u r g a n i s a n d o
paro	p e r o
parokia	p e r o k i a
participando	p e r t i k i p a n d o
personan	p e r s o n a n
placentero	p l a y i C E n t e r o
pleito	p l e i t o
premionan	p r e m i o n a n
preparatorio	p r e p a r a t o r i o
preso	p r e s o
prioridadnan	p r i o r i d a d n a n
prosperidad	p r o 8 p e n e r i d a d
rango	r a n g o
razon	r a z u n
recibo	r E c i b o
rehen	r e h e n
religion	r e l i g i o n
resistencia	r e s i s t i n C i w a
rumor	r u m o r
sacrifica	s a q  k a
segunda	s e g u n d a
siguransa	s i g u r a s a
slip	s l i p
sobrevivencia	s o b b e b i v i n C i w a
socio	s o i o
sostenible	s o s t e d i b o l e
spierta	s p i e r t e
spirito	s p i r i t o
stabilisa	s t a b i l i s a
stapnan	s t a p n a n
studiando	s t u d i a d o
substancia	s u b s t a n C i w a
sucesonan	s u s e s o n a n
systema	s i m s t e m a
tardi	t a r d i
transportacion	i t r i s p o r t a i o n
tratadonan	tr~ a t a d o n a n
webo	w o r o
wowonan	w o w o n a n
Atlantico	L a n t  o
Bus	u s
Cunucu	u n u k u
Dificultad	f i k u l t a d
Diripiente	i r i p i e n t e
Ela	l a
Emmastraat	m u s t r a t
Falcon	a l k o n
Falta	a l t a
Fe	e
Gamma	a m a
Gerencia	i d i n C i w a
Jaburibari	a b u l e d a r i
Karibe	a r i b e
Lagoen	a g o e n
Logicamente	o g i t k a m e n t e
Marino	a r i n o
Masterplan	a s t E r p l a n k o
Mr	r
Normal	o r m a l
Piet	i e t
Prueba	r u e b a
Rector	e k t o r
Recurso	e kw~ s o
Sanders	a n d e r
Schakel	a q
Schiphol	C i f o l
Schwengle	C Ng~ E v e Ni l e
Security	e kw~ r i t u s
Specialista	p e k i a l i s t a
Store	t o r e
Suzuki	u z u k i
Taxista	a x i s t a
Trabou	r a b o u
WiFi	i
Zoutman	o u t m a n
abogadonan	a b o g a d o n a n
aclaria	a k l a r i a
adictonan	a d i k t o n a n
afdeling	a f d e l i N
alomenos	a l o m E n o s
armanan	a r m a n a
aseguradonan	a s e g u r a d o n a n
asombra	a s o mb~ r a
atleta	a t l e t a
avionnan	a g o y o* n a n
añas	a 5 a s
best	b e s
biaheronan	b i i* o n a n
borchinan	b o r C i n a n
campus	k a m p u s
cariño	k a r i 5 u
celnan	C E l n a n
componente	k o m p o n e n t e
comunista	k o m u n i S th~ a
convoca	r o n v o k a
criadero	k ry~ a d e r o
cruza	k r u w Z a
cuidadano	k u i d a d a
dañino	d a 5
dede	d e d e
diplomatico	d i p xy~ u 7 t  o
documenta	d o k u m e nt~ a
dudoso	d u d o s o
dunadonan	d u n a d o n a n
especie	e s p E kh~ a m e* i e
expresionnan	" p r e s i o n n a n
feedback	f e u t o n g k
handsanitizer	h a n d s a n i t i 8 e
hemchi	h e m C i
hoga	h o g a
hospitalidad	h o s p i t a l i d a d
ilegalnan	i l a  l n a n
implica	i m p l i k a
incinerator	m a i n e r a t o r
informashon	i n h S o n
intencionalmente	i n t e n C i w o n a l m e n t e
iresponsabel	i r e s p o i r a r u w
justicia	x u s t i i a
kleuter	k l e u t e r
lastra	l a s t r a
lema	l E m a
logicamente	l o g i k a m e n t e
mandatarionan	m a n t a r i o n a n
manual	m a n u a l
nochi	n o C i
ofreciendo	o f r E C y e n d o
opone	o p o n e
organizadornan	u r g a n i z a d o r n a n
parse	p i s e
persecucion	p e r e kw~ i o n
piek	p y E k
plamando	p l a y i m a n d o
pobreza	p o b r E z E
progresa	p r o g r e s a
psychiater	p a C i a t e r
reglamenta	r e g l a m e nt~ a
reino	r e i n o
relaha	r e l a h a
restructura	r e s t r u k t u r a
sacando	s a k a n d o
sancion	s a* i o n
selecta	s e l e k t a
sensacion	s e sh~ 3 i o n
sercania	s e r k a n i a
sker	s k a r
software	 tw~ a r e
suave	t a e
superficie	s u p e r f i k i e
take	t a k e
tantisimo	t a n t i s i m o
teme	t e m e
temporario	t e m p o r a r i o
yamando	y a m a n d o
Art	r
Arte	r t e
Biento	i e n t o
Boegoeroei	o e g o e r o e i
Bond	o
Caso	a s o
Commissie	o m m i s s i e
Congreso	o N r e s o
Cria	r i a
Cruise	r u i s e
Curason	u r a s o*
Examen	S a m e n
Famianan	a m i a n a n
Feliz	e l i z
Flamingo	l a m i Ng~ o
Frans	r a n
Gobiernonan	o b i E a n o n a n
Groot	r o u t
Habitantenan	a b i t a n t e n a n
Hoo	o
Hose	o s e
Imelda	m e l d a
Importacion	p o r t a i o n
Inmigracion	n m i b o ch~ i o n
Interact	t E r a k s
Kong	o N
Laba	a b a
Laboral	a b o r a l
Leo	e o
Lito	i t o
Live	i v E
Lottery	o t t E r
Nicolaas	i k o l a
Ocean	C E
Ohala	h a l
Palo	a l o
Pita	i t a
Pro	r o
Qredits	r e d i c
Reunion	u n i o n
Ritz	i c
Seguridad	e g u r i d a d
Sta	t a
State	t a t e
Super	u p e r
Tumba	k i
Veterinaire	e t e r i n a i r
Well	E l o
Women	e n
Wuhan	a a n
abusonan	a b u s o n a n
aceptabel	a k e p t a b e l
acogida	a k o g i d a
adhunto	a d u n t o
alternativanan	a l t E r n a t i v a n a n
aproximadamente	a p r o n l a p i N t e
aresto	a r e s t o
atacha	a t a C a
blokia	b l o k i a
box	b o 7
bureau	b u r e a u
cancelacion	5 u k u n C i e l a i o n
cancionnan	5 u k u n C i w o* n a n
carbon	k a g i b o n
castigable	k a s t i g a b l e
cerebro	C E r e b r o
cielo	C y e l o
ciencia	C y e n C i w a
cientificonan	C y e n t i f i k o n a n
coach	k o a C
coba	k o b a
cognitivo	k o g i E 5 i t i b o
combatimento	k o mb~ a t i m e n t o
combustibel	k o m b u s t i b e l
competente	k o m p e t e n t e
concientizacion	r o n C y e n t i r o i o n
conocirnan	r o n o C i w a n a n
considerabel	k o s i d e r a b e l
considerablemente	k o s i d e r a b l E m E n t e
debolbe	d e b o l b e
decisionan	d e 7 i s i o n a n
despacha	d e s p a C a
dirigente	d i x e n t e
division	d i v i s i o n
documentario	d o k u m e n t a r i o
dramatico	d r a m a t  o
ehecutivonan	e h e k u t i b o n a n
ei	e i
elemento	l E l E m E n t o
empodera	e m p o d e r a
enfermeronan	e n f s a y m 3 r o n a n
entendi	e n t e n d i
escohe	e s k o h e
estrictamente	e k i cy~ t a m e n t e
fiel	f i
fit	f i t
fragil	f t a n g g a i l
galiña	g a l i 5 a
gritonan	g r i t o n a n
hayanan	h a y a n a n
hora	h o r a
inaugura	i n a u g u r a
individuo	i n d i v i d u o
inkomstenbelasting	m i s t e n b e l a s t i N
instalacionnan	s t a l a i o* n a n
intenso	i n t e s o
interior	i n t E r i o r
intrankilidad	i n t r a n k i l i d a d
investigadornan	i n v e s t i g a d o r n a n
jeep	h e 3 p
ke	k e
kerstboom	k e r Sx~ b o s i r
kitando	k i t a n d o
laboratorionan	l a b o r a t o r i o n a n
locura	l o k u r a
lote	l o t e
mamanan	m a m a n a
management	m a n a g E m E n t
met	m e t
multitud	l t i t u d
negociando	n e g o k i a n d o
netto	n e t t o
niet	n i e t
nificacion	n i f i k a i o n
observacion	o b e r v a i o n
ocaciona	o k a c i o n a
odio	o d i o
opleiding	o p l e i d i N
oranje	o r a n j e
perseverancia	p e r s e r a n C i w a
personalnan	p e r s o n a l
piesa	p i e s a
pintura	p i t u r a
pionero	p i o n e r o
placanan	p l a y i k a n a n
primi	p l i m i
pronosticonan	p r o n o s t i k o n a n
propietario	p r o p i e t a r i o
recorido	r E c o r i d o
refugiado	r e f u g w a d o
religioso	r e l i g i o s o
resona	r e s o n a
rijkswet	r i k s a b w e t
sabi	s a b i
sabiendo	s a b i e n d o
segura	s e g u r a
sesionnan	s e s i o n n a n
sex	s e 7
señalnan	s e ny~ a l
silencia	s i l 3 n C i w a
simbolo	s i m b o l o
sonido	s o n i d o
soporta	s o p o r t e
stage	s t a j
suzuki	s u z u k i
tennis	t e i s
tent	t e n t
territorial	t e r i t o r i a l
trastorno	t r a s t o r n o
turtuga	t u r t u g a
unavez	u n a b e z
valve	v a l v e
viaheronan	v i i* o n a n
weso	w e s o
Britania	r i t a n i a
Burger	u r g e r
Casnan	a s n a n
Conchi	n C i h
Condecoracion	d e k o r a i o n
Debit	e b i t
Deportivo	a p o r t i b o
Dushi	u s i
Edad	d a d
Eddie	d i e
Entiteit	t i t a i
Ex	7
Excelencia	a l  e l e n C i w a
Exxon	S S o n
Formacion	o r m a c i o n
Haciendo	a c i e n d o
Hamas	a m a s
Henny	e 5
Hobennan	o b e n
Honda	o n d a
IBiSA	i
Koopmans	o p
Latin	a t i n
Liliana	i l i a n a
Lucky	u C ky~
Ma	a
Maestro	a a* 7
Mitsubishi	t i u b i S i
Negoshinan	e g o s i n a n
Ocupacion	k u ph~ a i o n
Officer	f i C E r
Penal	e n a l
Procurador	r o k u r a d o r
Quanten	u a n t e n
Redaccion	e d a k i o n
Relacionnan	e l a i o* n a n
Rode	o d e
Sousa	u
Tours	o u r
Trade	r a d e
Unico	n i k o
Voogdijraad	o a y a ly~ w r a
Wout	o u t
Young	o u N
aborda	a b " a l d a
accentua	a k k 3 n t u a
accepta	a k u p t a
arubiano	a r u b i a
autobus	a u t o b u s
auxilio	 i l i o
balance	b a l a n k o e
balans	b a l a n
barnan	b a r n a n
bestuur	b e s t u r
cabay	k a b a y
cambiando	k a m b i a n d o
cent	C E n t
chekeo	C e k e 7 o
chiquito	c i k i t o
colegio	k o l e g i o
comisario	k o m i s a r i o
concientisacion	r o n C y e n t i s a k i o n
contaminacion	r o n t a m i n a g a o n
cortina	k o r t i n a
criterianan	k r i t E r i a n a n
cuarto	k u a r t o
cube	k u b e
damnan	d a m n a n
desafio	d e s a f i o
direct	d i r E C
distincion	d i s t i n C i w o n
dobel	d o b e l
doctor	d o k t o r
efectividad	e f e k t i v i d a d
empresarial	3 mp~ r e s a r i a l
entretene	e n t r e t e n e
eseynan	e s b n a n
excusa	e Z u k w s a
ford	f o r d
habilidadnan	h a b i l i d a d n a n
hygiena	h i i e n a
illegal	i l l e 7 a l
imigracion	i m i b o ch~ i o n
impedi	i m p E d i
imponi	i m p o n i
innova	i n n o v a
insulta	s u l t a
kap	k a p
kleuterschool	k l e u t E r S o l
lamper	l a m p e r
laptop	l a p t o p
lokaal	l o a l
medianan	m e d i a n a n
muhenan	m u h e n a n
numa	n u m a
obheto	o b h e t o
obranan	o b r a n a n
ocupante	o k u p a n t e
opina	o p i n a
optimismo	a t i m i s m o
pacientnan	p a k i e n t n a n
paramediconan	p a r a m e d i k o n a n
parcial	p i r i a l
pase	p a s e
patient	p a t i E n t
pensionado	p e ns~ i o n a d o
plus	p l u s
preferi	p r e f e r i
preliminar	p r e l i m i n a r
primanan	p l i m a n a
proceder	p r o k e d e r
productornan	p r o C u k t o r n a n
protegi	p r o t e g i
refuerzo	r E pw~ e r o
reservacion	r e s E r v a i o n
restitucion	r e s t i t u k i o n
ritmo	r e m o
scooter	s k o o t e r i s
sede	s 3 d e
significativo	s i g  k a t i b o
signo	s i g n o
sobresali	s o b r e s a l i
stabiel	s t a b i
sticker	s t i S k a r
sucursalnan	s u k u r s a l
sunchi	s u n C i h
technico	t e C n i k o
tram	tr~ a m
trapi	tr~ a p i
verf	e r f
victoria	v i k t o r i a
òf	o f
Alberto	l k t o
Amigo	m i g o
Asistencia	s i s t i n C i w a
Atardi	t a r d i
Best	e s t
Boekenfonds	o k b a n f o n d
Bogota	g o t a
Campaña	a m a 5 a
Canal	a n a l
Cancer	a n C E r
Caracas	a r a k a s
Carlton	a r l t o n
Cerca	e r k a
Challenge	h a l l 3 N a
Creek	r E k
Delivery	e l i e r
Democracia	e m o k r a c i a
Funeral	u n e r a l
Genser	e n e r
Governance	o e r a*  e
Grecia	r E c i a
Hospice	o s p i k e
Hubert	u b e r
Imigracion	m i b o ch~ i o n
Innovacion	a n n o w a i o n
Islanan	s l a n a n
Italiano	t a l i a
Klabér	l a b e r
Ladronnan	i n a n
Lancer	a n C E r
Latinoamerica	a t i n o a m e r i k a
Leerorkest	e l u r X a* 7
Lounge	o u N a
Luydens	u y d e n
Maestronan	a e s t r o n a n
Marinierskazerne	a r i e r p 3 l 3 m r i ly~ n e
Melvin	3 l i N i n
Momento	e n t o
Naturalesa	a t u r a l 3 s a
News	e w
Nicole	i k o l e
Notario	o t a r i o
Orden	r d e n
Paramediconan	a r a m e d i k o n a n
Parokia	a r o k i a
Pastor	a s d o r
Pone	o 7
Problema	r o b l 3 m a
Radio	a d i o
Ryan	y a n
Sahara	a h a r a
Shiribana	h i r i b a n a
Siguiendo	i g i e n d o
Sky	ky~
Step	t E p
Tecnologia	e T n o l o g i a
Theo	h e o
Wind	i n d
Yama	a m a
Yarzagaray	a r c a G a r a y
abismo	a b i s m o
abusador	a b u s a d o r
aceptable	a k e p t a b l e
acusado	a k u s a d o
admision	a d m i s i o n
ambiental	a m b i e n t a l
amistadnan	a m i s t a d n a n
anima	a n i m a
anualmente	a n u a l m e n t e
anula	a n u l a
aplicable	a p l i k a b l e
aplicando	a p l i k a n d o
aplicante	a p l i k a n t e
atakenan	a t a k E n a n
atrasa	a t r a s a
ausencia	a u s i n C i w a
automatico	a u t o m a t  o
balente	b a l e n t e
bentaha	b e n t a h a
bij	b " i x
biodiversidad	b i b Ng~ e r e n i d a d
biologico	b i o l o g i k o
bishitanan	b i S i t a n a n
boluntariamente	b o l u n t a r i a m e n t e
bonbini	b o n b i n i
brigada	b r i x a d a
cabey	k a m u y
caidanan	k a i d a n a n
calculacionnan	k a l k u l a k a i o n n a n
campeonato	k a m p e o n a t o
capita	k a p i t a
certificacion	C E r   k a i o n
cluster	k l u s t e r e n
comentarionan	k o m e n t a r i o n a n
comite	k o m i t e
conose	r o n o s e
conseheronan	k o s e h e r o n a n
consumidornan	k o s u m i d o r n a n
contrae	r o n tr~ a e
convenio	r o n f e n i o
converti	r o n e r t i
coordinacion	k o r d i n a g a o n
culminacion	k u l m i n a g a o n
custuma	k u s t u m a
decente	d e 7 e n t e
decir	d e l
demostrando	d e m o s t r a n d o
desespera	d e s a i 8 p e n e r a
diez	d i e z
digitalmente	d i g i t a l m e n t e
drief	d r i f
entama	e n t a m a
fabuloso	f a b u l o s o
fast	f s d a
fiansanan	f i a s a n a n
filma	b i l m a
finalisando	f i n a l i s a n d o
formalisa	f o r m a l i s a
formando	f o r m a n d o
foto	f o t o
garoshi	g a r o S
generalmente	g e n e r a l m e n t e
gusto	g u s t o
harpun	h a r p u n
helpdesk	h e l p b u r
hermentnan	h e s a y m 3 n t n a n
iPad	i a d
imprimi	i m p l i m i
incansabel	m a i r a r u w
indigna	i n y a N n a
infantil	i n f a nt~ i l
inflacion	i n f l a i o n
inkietud	m i e t u d
instructornan	s t r u k t o r n a n
intacto	i n t a  t o
intensifica	i n t e ns~ i f i k a
invitadonan	i n v i t a d o n a n
kimico	k i m i  o
kontakto	k o nt~ a k t o
landsbesluit	l a n d s b e s  i t
lechi	l e C i
lector	l e k t o r
listanan	l i s t a n a n
localiza	l o k a l i c a
loonbelasting	l o b e l a s t i N
luho	l u h o
maleta	m a l e t a
mandando	m a n nd~ o
mangel	m a N
maniobra	n i o b r a
meneer	m E n e r e
mobiliza	m o b i l i c a
normalisa	n o r m a l i s a
om	i r
oost	o s
out	o u t
paraliza	p a r a l i c a
plataformanan	p l a y i t a h t i e C e p o n k
porfabor	p o r f a b e r
posecion	p o s E r i o n
preis	p r e i s
presentacionnan	p r e s e n t a q i o* n a n
psikiatra	p i k i a t r a
rate	r a t e
recherchenan	r e 5  t a C e n a n
reciente	r E C y e n t e
rector	r E c t o r
referendum	r e f e r e n d u m
reflexion	r e f l " i o n
respaldo	r e s p a l d o
respectivo	r e s p E kh~ a m e* t i b o
restart	r e s n a p a
rooi	t o n i
santana	s a n t a n a
scarcedad	s k a r k e d a d
severamente	s e e r a m e n t e
simple	s i m p l e
solicitud	s o l i k i t u d
specializa	s p e k i a l i c a
spiel	s p i e l
stranheronan	s t r a h e r o n a n
tardansa	t a r d a s a
tempu	t e N p u
testimonio	t e s t i m o* i o
time	t i
titular	t i t u l a r
trahe	tr~ a e
transport	i t r i s p o r
turbulento	t u r l e n t o
vuurwerk	f i  w e r
zwaai	z w a a i
Aldrich	l d r i C
Anuesca	n u e s k a
Bahamas	a h a m a s
Bishita	i S i t a
Cambio	a m b i o
Coach	o a C
Considerando	o s i d e r a n d o
Contraloria	o tr~ a l o r i a
Coronel	o r o n e l
Cuida	k i d a
Democrats	e m o k r a c
Diagnostico	y a g n o s t  o
Edjean	a j i
Eerste	e r s t e
Embahador	b a h a d o r
Empresanan	p r e s a n a n
Hendrikstraat	e n d r i k s t r a t
Influenza	n f m b u g z a
Islands	s l a nd~
Ivo	v o
Jairo	a i r o
Juliana	l i a n a
Kibaima	i b a i m a
Korea	o r e a
Laura	a u r a
Leadership	e a d i n S i p
Market	a r k e t
Martijn	i t i j n
Mericanonan	r i k a n o n a n
Meverly	p i r r xy~ E kw~ a
Oceano	C E a
Porfin	u r f i n
Productions	r o C u k ty~ o* s
Punto	u n t o
Request	e k i a* 7
Rio	i o
Roland	o l a n d i g
Santana	a n t a n a
TeleAruba	e l e r u b a
Vision	i s i o n
Webinar	E b 3 n i a r
Zr	r
aleha	a l e h a
alto	a l t o
angulo	a n g u l o
anonimo	a n o n i m o
apto	a p t o
autentico	a u t e n t  o
awacati	a w a k a t i
beneficioso	b e n e f i n i o s o
bononan	b o n o n a n
braza	b r a z a
cabezante	k a b e z a n t e
campeon	k a m p e 7 o n
campo	k a m p o
carece	k a r e k e
carnavalesco	k a g i n a v a l e s k o
carson	k 3 y s o n
celebrando	k e l e b r a n d o
cen	C E n
challenge	C a l l 3 N a
charter	C a r t e r
coi	k o i
comprometi	k o m p r o m e t i
consenso	r o n e s o
contingencia	r o n t i N i n C i w a
contratistanan	r o n tr~ a t i s t a n a n
crew	k r E f
definicion	d e f i n i C i o n
definitivo	d e f i n i t i b o
desapunta	d e s a p u n t a
deseonan	d e s a i o n a n
dienst	d i w o s d a
dies	d i e
difunto	d i f u n t o
diki	d i k i
djente	a j i n t e
dosis	d o s i s
dunamento	d u n a m e n t o
eGovernment	e w e r e g w i t a a 5 a
efectivamente	e f e k t e  e n t e
eherciendo	e h e r i e n d o
electrico	e l e k i cy~ o
enfermeria	e n f s a y m 3 r i a
esunan	e s u n a n
extension	e S s i o n
fabrica	f a b r i k a
familiarnan	f a m i l i a r n a n
flexibel	f l " i b e l
flexibilidad	f l " i b i l i d a d
fotografo	f o t o g r a f o
frieu	f r i u
funeraria	f u n e r a r i a
grito	g r i t o
handle	h a n d l e
handschoen	h a n d s k k u r u m e N
higienico	h i x  o
huespednan	h u i e 8 p e n e d n a n
huntu	h u n t u
ilumina	i l u m i n a
immune	i m u n e
inaceptable	i n a k e p t a b l e
incansablemente	m a i r a r u w l E m E n t e
incompleto	i n k o m p l e t o
indefini	i n d e f i n i
indole	i d o l e
industrianan	u z i a n a n
inhustamente	L u s t a m e n t e
inmoral	i n m o r a l
intenta	i n t e nt~ a
lague	l a g w e
leak	l E a k
legislacion	l E g i w a i o n
legislativo	l E g i s l a t i b o
localisa	l o k a l i s a
lusnan	l u s n a n
malcontento	m a l k o n t e n t o
malgasta	m a l g a s t a
melding	m e l d i N
mina	m i n a
monitoria	m o n i t o r i a
motibu	m o t i b u
nacion	n a g a o n
naturalisacion	n a t u r a l i s a k i o n
paar	p a r
paginanan	p a x i n a n a n
pirata	p i r a t a
presupuestario	p r e s u p u e s t a r i o
previo	p b e b i o
prudente	p r u d e n t e
rand	r a n d
re	r e
recoge	r E c o g e
reparticion	r e p i t i i o n
sabiduria	s a b i d u r i a
sabor	s a b e r
sacudi	s a k u d i
sangra	s a n g r a
siete	s i e t e
spart	s p i t
specifica	s p e k  k a
stakeholder	s t a k e h o l d e r
suplente	s u p l e n t e
susha	s u a
ter	t e r
tolerancia	t o l e r a n C i w a
ultimamente	u l t i m a m e n t e
una	u n a
universidad	u n i v e r i d a d
upload	u p l o a d
usual	u s u a l
utilidad	u t i l i d a d
vacunanan	v a k u n a n a n
votonan	v o t o n a n
workshops	e* C o p
Abuse	s e
Afortunadamente	f o r t u n a d a m e n t e
Angela	g e l a
Angelo	g e l o
Anselmo	n s l 3 m o
Antiano	t i a
Area	r e a
Arubianismo	r u b i a n i S m o
Bisti	i s t i
Cachi	a C i
Carta	i t a
Chiquito	h i k i t o
Cinco	m a o
Clarisca	l a r i s k a
Comandante	t a nd~ a n t e
Comun	n
Contact	n t a
Cuentanan	u e n t a n a n
Debe	e b e
Do	o
Expression	S p r e s s i o n
Exterior	r e r i o r
Global	l o b a l
Go	o
Gruponan	r u p o n a n
Het	e t
Hilton	i l t o n
Imsan	m s a n
Instagram	s t a g r a m
Irausquin	r a u s k i n
Johnson	o h E 5 o*
Junior	u n i o r
Keto	e t o
Kiko	i k o
Land	a n d
Landsverordening	a n d s e r o r d e n i N
Managing	a n a g i N
Marc	a r
Marsman	a r S m a n
Mey	u y
Natural	a t u r a l
Ocho	C o
Oranje	r a n j e
Oro	r o
Pago	a g o
Paskel	a s k
Politiconan	o l i t i k o n a n
Prevencion	r E f i n C i w o n
Remarcabel	e m a r k a b e l
Richi	i C i
Ruth	u c
Safety	a f e t
Saliña	a l i 5 a
Shailiny	h a i l i N
Tamarijn	a m a r i j n
Tele	e l e
Utilities	t i l i t i e
Vroegop	r o e g o p
Weganan	g a n a n
YouTube	o u b e
Zika	i k a
abusado	a b u s a d o
aliento	a l i e n t o
anticua	a n t i g u a
azota	a z o t a
barku	b a r k u
berdaderamente	b E r d a d e r a m e n t e
bezoldiging	b e z o l d i g i N
biahero	b i a h e r o
blo	b l o
board	b o a r d
buske	s k e
cabayero	k a b a y e r o
camp	k a m
campamento	k a m a m e n t o
caretera	k a r e t e r a
cede	C E d e
celebracionnan	k e l e b r a i o* n a n
chines	C i n i
clientela	k l i e n t e l a
colaborador	k o l 3 b u a o r a d o r
comedia	k o m e d i a
competencianan	k o m p e t e n C i w a n a n
comunidadnan	k o m u n i d a d n a n
concientiza	r o n C y e n t i c a
contractnan	r o n tr~ a k t n a n
costonan	k o s t o n a n
crioyo	k r i o y o
cruz	k r u
crèche	k r e C e
cumindanan	k u m i n d a n a n
deportista	d e p o r t i s t a
determinante	d e t e r m i n a n t e
duo	d u o
ehercicionan	e h e r C i w C i w r o n a n
enfocando	e n f o k a n d o
enormemente	e n o r m E m E n t e
espantoso	e s p a n t o s o
explosion	" p l o s i o n
faborabel	f a b o r a b e l
fayonan	f a y o n a n
flexibilizacion	f l " i b i l i r o i o n
fracaso	f r a k a s o
funcionando	f u n C i w o n a n d o
funcionnan	f u n C i w o* n a n
gobernador	g o b E a n a d o r
hefenan	h e f e n a n
horor	h o r o r
huurgrond	h u r g r o n d i
inovacion	i n o w a i o n
interoga	i n t E r o g a
it	i t
kas	k a s
kiebra	k i e b r a
lift	l i f
linear	l i n e a r
mail	m a i l
mall	m o l
manehando	m a n e h a n d o
manteni	m a n t e n i
mentalmente	m e n t a l m e n t e
mereci	m e r a T i
modernisa	m o d E a n i s a
muha	m u h a
naar	n a r
noble	n o b l a e
noticianan	n o t i i a n a n
ofishi	o f i S i
olanan	o r a n a n
papiamento	p a p i a m e n t o
paradanan	p a r a d a n a n
pensamentonan	p e s a m i n t o n a n
permanece	p e r m a n e k e
pica	p i k a
pidie	p i d i e
popularidad	p o p u l a r i d a d
presupuestonan	p r e s u p u e s t o n a n
prevalece	p b e b a l e k e
procede	p r o k e d e
propiedadnan	p r o p i e d a d n a n
publicacionnan	p u b l i k a i o* n a n
quorum	k o r u m
refugio	r e f u g w i o
relatonan	r e l a t o n a n
reparacion	r e p a r a i o n
reputacion	r e p u t a i o n
riñon	r i 5 o n
rolluik	r o L u i k
rutanan	r u t a n a n
salvo	s a l i N o
scenarionan	s k e n a r i o n a n
scuridad	s k u r i d a d
separacion	s e p a r a i o n
shop	S o p
sicario	s i k a r i o
simanan	s i m a n a
sociaal	s o k a l
solar	s o l a r
spuit	s p u i
strena	s t r e n a
stuurgroep	s t u r g r o 3 p
suficientemente	s u f i C y e n t E m E n t e
suspenso	s u 8 p e n e ty~ s o
timon	t i m o n
trend	w a m i n d
tripulantenan	t r e p u l a n t e n a n
vacatura	v a k a t u r a
viahenan	v i a h e n a n
webinars	w o r i n a r
welga	w e l g a
welo	w e l o
x	7
yobe	y o b e
zijn	z i j n
Abou	b o u
Americas	m e r i k a s
Artificial	r   i a l
Arubaanse	r u b a s e
Aseguro	s e g u r o
Barbados	a r b a d o s
Big	i g
Blue	l u e
Boca	o k a
Boeing	N i N
Breaking	r E k i N
Car	a r
Christmas	h r i s t m a s i
Conrado	o r a d o
Consulado	o r e p e n a d o
Cultural	u l t u r a l
Dianan	i a n a n
Federacion	e d e r a i o n
Finalisando	i n a l i s a n d o
First	i r s d a
Fresh	r e S
Gonzalo	n z a l o
Goshen	o S e n
Grand	r a n d
Hall	o l
Hendrik	e n d r i k
In	n
Incinerator	n u X a i n e r a t o r
Inteligencia	t e l i g 3 n C i w a
Janine	a n i n e
Jeon	e 7 o n
Kabinet	a b i n e t
Kort	u r
Leynan	b n a n
Mainta	a i n a m l a n i
Martin	i t i n
Mihor	i h o r
Museum	u s e u m
Noka	o k a
Nomber	d o mb~ e r
