eta	e t a
gogor	g o g o r
unitate	u n i t a t e
aipamen	i p a m e n
garbi	g a r b i E
solairu	s o l a i r u
orduko	u r l u 7 o
Le	e
berreskuratu	b E r e s k u r a t u
bestalde	b e s t a l d e
erregearen	E r e  a r e
filma	b i l m a
Espainian	s p a i
lerro	l E r o
zaharra	z a h a r a
zuria	z u r i a
bestera	b e s t E r a
bien	b i e n
erabilitako	e r a b i l i t a k o
erori	e r o r i
erraza	e r a z a
hiriburua	h i r i b u r u a
teknologia	t a k n o l o g i a
José	o s e
asmatu	a s m a t u
eragindako	e r a g i d a k o
gaixotasun	g a i S o t a s u n
sozial	S o z i a l
ezberdinetan	d k Z u 3 t a n
geruza	g e r u w Z a
arlo	a r l o
honako	h o n a k o
irakaslea	i r a k a l e a
merkataritza	m e r k E t E d i t o c a
Haien	i e n
Ordutik	r d u t i k
Udalerriaren	d a l 3 r a r e
ahalik	a h a l i k
daudela	d a u d e l a
hedatzen	h e d a c e n
publiko	p u b l i k o
eguneroko	e g u n e r o k o
Aroko	r o k o
are	a r e
harri	h a r i
hedatu	h e d a t u
landare	l a n d a r e
denak	d e n a k
pertsonen	p e r c o n e n
batu	b a t u
hiltzen	h i l c e n
mendeetan	m e n d e 3 t a n
minutu	m i n u t u
omentzeko	o p i N c e k o
Halere	a l e r e
Unibertsitateko	n i b e r c i t a t e k o
arraza	a r a z a
hildako	h i l d a k o
udalerri	u d a l e r i
baitzuten	b a i c e r o k
Bilboko	i l b o k o
bizitzan	b i s i m w i
eraikitzen	e r a i n a 7 i c e n
frogatu	f r o g a t u
gatazka	g a t a z
kontrola	k o nt~ r o l a
sinatu	s i n a t u
zutenak	z u t e n a k
artikulu	i t i k u l u
burutzen	b u r u c e n
emakumea	e m a k u m e a
inongo	o ndw$ a
kalean	k a l e
kalte	k a l t e
ordaindu	u r d a i n d u
jatorri	h a t o r i
prest	p r e s
Orain	r a i n
deitua	d e i t u a
esate	e s a t e
haietan	h a i 3 t a n
zabalera	z a b a l e r a
boto	b o t o
nagusiki	n a g i k i
bertatik	b E t a t i k
dadin	d a d i n
eleberri	e l e b e r i
enpresak	e n p r e s a k
erlijio	e r l i j i o
lehena	l e h e n a
martxan	m a* r T a n
modura	m o d u r a
zituena	z i t u 7 e n a
Bost	o s
agerian	a g e r i a n
ekonomikoa	e k o n o m i k a
zenbat	z e n b a t
arku	a r k u
bizia	b i s i a
gara	g a r a
urrezko	u r d k o
Joan	o a n
arkitektura	a r k a m u u r a
atzera	a c e r a
erakusketa	e r a k u s k e t a
lurrak	l u r a k
omenez	o p i N o
erresistentzia	e r s t e n c i a
espainiar	e s p a i a r
menpe	m e n p e
suntsitu	s u n c i t u
ardatz	a r d a c
babesten	b a b e s t e i n
buruzagi	b u r u c a G i
eskubide	e s k u b i d e
irten	i r t e n
izateaz	i r a t e a z
Ekialdeko	k i a l d e k o
Eskola	s k i
ezagunak	d a g u n a k
polizia	p o l i L a
Modu	o d u
baitute	b a i t u t e
eskutik	e s k u t i k
gerora	g e r o r a
ibaia	i b a i a
ale	a l e
herritar	h e r i t a r
karga	k a r g a
partida	p e r t i d a
desberdinetan	d e s k Z u 3 t a n
eraikitzeko	e r a i n a 7 i c e k o
gazteak	g a z a k
irauten	i r a e r o k
mugimendua	m u g i m e nd~ i
Frantzian	r a n c i a n
Hortik	u r t i k
Parisen	a r i s e n
ahalmena	a h a l m e n a
konposatu	q o n i k p o s a t u
kontzeptua	k o nt~ 8 p t u a
laguntzeko	l a g u n t 8 k o
beraren	b E r a r e
ekoizten	Nw~ 3 i z t e n
etxebizitza	e t " e a p e t e  c a
gainditu	g a i d i t u
David	a b i d
Eusko	u s k o
banatuta	b a n a t u t a
egia	g i a
handitzen	h a n d i c e n
in	i n
motako	m o t a k o
soziala	S o z i a l a
zerbitzuak	z e r b i E c a k
aktore	a k t o r e
definitzen	d e f i n i c e n
dion	d i o n
dut	d u t
publikoa	p u b l i k a
zaharrena	z a h a r
zehazten	z e tr~ u ndr$ t e n
Batuetan	a t u 3 t a n
Parisko	a r i s k o
elkartu	e l i t u
guztian	g u z t i a n
hortaz	h o r t a z
biztanleria	b i z t a n l e r i a
bukaeran	b u k a e r i
gorri	g o r i
hasiko	h a s i k o
hobeto	h o b e t o
izanda	i r o n d a
gorria	g o r i a
kideak	k i d e a k
protagonista	p r o t a g o n i S th~ a
Afrikako	f n i t i m a k o
Eliza	l i c a
izenaz	i z e n a z
ohitura	h i t u r a
Aldiz	l d i z
Martin	i t i n
adar	a d a r
deskribatzen	d e s k l e d a c e n
ehun	e h u n
fatxada	f a t a d a
gobernuaren	g o b E a n u a r e
ote	o t e
plaza	p l a y i c a
uraren	u r a r e
Herria	E r i a
ezberdin	d k i a n
mundua	m u n d u N a
uharte	a h i t e
zuri	z u r i
abestia	a b " a i a
auzo	a u
duenez	d u e n e z
erregeak	E r e  a k
gizakiak	g i z k i a k
hemen	h e m e n
jokalari	j o k a l a r i
korronte	k o r b u* d a k
urtera	u r t E r a
Amerikako	m e r i k a k o
Los	o s
aski	a s k i
aurrez	a u r m u
bigarrena	b i g a r
dagokienez	d a  i n i
gizartearen	g i z i t e a r e
marka	m a* r
sor	s o r
barruko	b a r r u k o
bereganatu	b e r e g a n a t u
gorputza	g o r p u c a
politikoak	p o l i t i k o a k
Lurraren	u r a r e
beltza	b e l c a
ezizena	d i z e n a
funtsezko	f u nC~ e z k o
gaztea	g a z t e a
joateko	j o a t e k o
moduko	m o l u 7 o
ondoko	d o k o
Denbora	e n b o r a
ekialdean	r a l d e
espero	e s p e r o
halako	h a l a k o
hari	h a r i
igotzen	l i m c e n
aitak	i t a k
bederatzi	b e d e r a c
estatua	e s t a t u a
mendebaldean	m e n d e b a l d e
zatia	z a t i a
Saria	a r i a
arloan	a r l o a n
ate	a t e
fase	f a s e
gaztelua	g a z t E l u a
ikusteko	i k u s t a k o
papera	p a  r a
sortuko	s o r n a
zitekeen	z i t e k e n
badute	b a d u t e
deskribatu	d e s k l e d a t u
garapena	g a r a p e n a
km	k m
urriaren	u r a r e
etapa	e t a p a
futbol	f u t b o l
lortutako	l o r t u t a k o
mapa	m a p a
nekazaritza	n e k h a z a r i c a
paper	p a  r
sentitzen	s e n t i c e n
ulertzeko	u l e r c e k o
bana	b a n a
erregea	E r e  a
gizakiaren	g i z k i a r e
horrelako	h o r e l a k o
zaizkio	z a i z k i o
Antzinako	n c i n a k o
Oro	r o
arrazoia	a r a z o i a
klase	k l a s e
kokaturik	k o k a t u r i k
murriztu	r i z t u
ofiziala	o f i h  a l a
presio	p r e s i o
gehiagotan	g e h i a g o t a n
gehiena	g e h i e n a
izendatzeko	i z e n d a c e k o
presentzia	p r o w o c i a
sistemak	s i s t e m a k
aske	a s k e
benetan	b e n e t a n
emaitzak	l e m a l i c a k
ezagun	d g u n
Historia	i s t o r i a
babes	b a b e sy~ s
eskuetan	e s k u 3 t a n
gauzak	g a u z a k
kontzeptu	k o nt~ 8 p t u
urteak	u r t e a k
zuhaitz	z u a i c
faktore	f a k t o r e
hauetako	h a u e t a k o
herriak	h e r a k
ospetsua	o 8 p e n e c u a
pisua	p i s u a
postua	p o s t u a
tokia	t o k i a
Alemaniako	l E m a n i a k o
antzekoak	a n c  Nw~ 3 a k
babestu	b a b e s t u
gogorra	g o g o r a
greziar	g r a  a r
jabe	y a b e
lanen	l a n e n
nahian	n o
arau	a r a u
baztertu	b a z t E r t u
elkarrizketa	e l l 3 m a n i z k e t a
lotu	l o t u
makina	k i n a
mantentzeko	m a n t e n c e k o
mugak	m u g a k
eramateko	e r a m a t e k o
eskubideak	e s k u b i d e a k
handiz	h a n d i z
ibiltzen	i b i l c e n
labur	l a b u r
langileen	l a N i l e n
lurraldea	l u r a l d e a
pentsatu	p e nt~ a b a t u
Hiriko	i r i k o
Musika	u s i k a
borrokatu	b o r r a t u
pieza	p y E z E
Gobernuak	o b E a n u a k
Madrilgo	a d r e l g o
beltz	b e l c
eginda	g i n d a
independentzia	i n d e p e n d e n c i a
legeak	l E g E a k
lirateke	l i r a t e k e
lortzea	l o r c e a
tokian	t o k i a n
zituztela	z i t u z t e l a
Ameriketako	m e r i k e t a k o
Liga	i k a
denboraldi	d e n b o r a l d i
garaiera	g a r a i e r a
heinean	h e  i
kolorea	k o l o r e a
lurra	l u r a
daukate	d a u k a t e s
egunetan	e g u n e t a n
eskultura	e s k u l t u r a
hiriak	h i r i a k
horma	h o r m a
proba	p l o b a
zuelarik	z u e l a r i k
amaitzen	a m a i c e n
inguratzen	i N u r a c e n
ingurune	i N u r u n e
pentsatzen	p e nt~ a b a c e n
De	e
William	i ly~ i a m
heriotzaren	h e r i o w i
laugarren	l a u N a r
martxoaren	m a* r 5 o a r e
saltzen	s a l c e n
sortua	s o r t u a
ulertzen	u l e r c e n
esanahia	e s a n a h i a
herritarren	h e r i t a r
ontzi	o c
Hizkuntza	i r k u n c a
Itsas	c a s
araberakoa	a r a b e r a k a
leiho	L e i h o
neurtzen	n e u r c e n
zentro	z e n t r o
aldarrikatu	a l d a r k a t u
garrantzitsuenak	g a r a n t a c u e n a k
luzeak	% l u z i a k
ordezkatu	u r d d k a t u
prestatzen	p r e s t a c e n
salatu	s a l a t u
borrokan	b o r k a n
epe	e p e
et	e t
James	a m e
Liburu	i b u r u
jaitsi	y a i s i
poesia	p o e s i a
uztailaren	u z t a i l a r e
berriaren	b E r i a r e
herrialdeko	h e r a l d e k o
kontrolatzen	k o nt~ r o l a c e n
legez	l E g e z
utziz	u c i z
adina	a d i n a
biek	b i e k
gerta	g e r t e
maiatzaren	m a i 7 w i
aztertzeko	a z t E r c e k o
britainiar	b r i t a i a r
diete	d i e t e
ekainaren	e k a i n a r e
garaipena	g a r a i p e n a
gelditzen	g e l d i c e n
joko	j o k o
sexu	s e S u
Une	n e
elementuak	l E l E m E n t u a k
mendia	m e n d i a
orokorra	o r o k o r a
zitzaizkion	z i c a i z k i o n
arma	a r m a
berrien	b E r i e n
ezinezkoa	n k a  d k a
prestatu	p r e s t a t u
Nolanahi	o r a n a 7 i
dirudi	d i r u d i
estaltzen	e s t a l c e n
islatzen	i s l a c e n
izateagatik	i r a t e a g a t i k
nagusietako	n a g u s e i d a t a k o
amaren	a m a r e
begi	b e g i
hamarkadetan	h a m a r k a d 3 t a n
irailaren	i r a i l a r e
jaten	h a t e n
ministro	m i n i s t r o
saiakera	s e i a k e r a
aldea	a l d e a
argitaratzen	a r g i t a r a c e n
gaitasun	g a i t a s u n
garaipen	g a r a i p e n
joango	j o a Ng~ o
liteke	t e k e
oreka	o r e k a
gorputzaren	g o r p u c a r e
kantu	k a n t u
terminoa	t E r m i n o a
aztarnak	a z t a r n a k
bikaina	b i k a i n a
desegin	d e g i n
esperientzia	e s p e r c i a
guztietako	g u z t i e t a k o
ohikoak	o i k i n a k
teknologikoetan	t a k n o l o g i k o 3 t a n
truke	t o u k e
Baita	a y t a
Berak	e r a
bidaltzen	b i d a l c e n
erdia	e r d i a
harrapatu	h a r a p a t u
jabetza	y a b e c a
produktuak	p r o C u k t u a k
segurtasun	s e g u r t a s u n
zaldi	z a l d i
María	a r i a
abuztuaren	a b u z t u a r e
aldizkari	a l d i z k a r i
desberdin	d e s k i a n
harrizko	h a r i z k o
haurrak	h a u r a k
idazlearen	i d a z l e a r e
partikula	p e r t i k u l a
topatu	t o p a t u
alkate	a l u t e
egokitu	e g o k i t u
eguneko	e g u n e k o
entzun	e n c u n
eskolan	e s k o r a n i
garaitu	g a r a i t u
molekula	o l k u l a
nagusiaren	n a g u s i a r e
pisu	p i s u
soinu	s o i n u
uretan	u r E t a n
aldaera	a l d a e r a
denboran	d e n b o r a
gaia	g a i a
ibai	i b a i
mugatzen	m u g a c e n
propioa	p r o p i o k a
zehaztu	z e tr~ u ndr$ t u
antzeztu	a n c  d t u
beroa	b E r o a
ezagunena	d a g u n e n a
ezkerreko	d k e r e k o
funtzionatzen	f u n t a o n a c e n
hizkuntzaren	h i z k u n w i
hobetu	h o b e t u
itxurako	C u r a k o
neurriak	n e u r a k
sailkapen	s e i l u t " e n
seinale	s e i n a l e
zuriak	z u r i a k
elkartzen	e l u l c e n
ideiak	d e i a k
ingelesez	i N e l e s e z
sekula	s e k u l a
Donostian	n o s t i a n
Errepublika	r e p u b l i k a
askatasuna	a s k a t a s u n a
atzeko	a c e k o
bira	b 3 r a
dezan	d e z a n
ertzean	e r c e
estua	e s t u a
gitarra	g i t a r a
istorio	i s t o r i o
langileak	l a N i l e a k
on	o n
zuzentzen	z u z e n c e n
Bertako	e r d a t a k o
elkarte	e l i t e
ezberdinen	d k d i n e n
huts	h u c
interesa	i n t e r e s a
zehazki	z e tr~ u ndr$ k i
Horretaz	u r  a z
Nafarroa	a f a r o a
desberdina	d e s k w
euskarazko	u s k a r a z k o
eusten	u s t e i n
itzultzen	i c l c e n
kate	k a t e s
konpainia	q o n i k p a i
zulo	z u l o
Taldea	a l d e a
erabakitzen	e r a b a k i c e n
izendatzen	i z e n d a c e n
substantzia	s u b s t a n t a a
Alabaina	l a b a i n a
Hiri	i r i
Kopa	o p a
dutelako	d u t e l a k o
filosofia	b i l o s o f i a
kokatua	k o k a t u a
momentu	m o p i N t u
presidentea	p r e s i d e n t e a
sistemaren	s i s t e m a r e
ateratzeko	a t e r a c e k o
auzoa	a u z o a
eskualdeko	p i p 3 l 3 w E l d a N e k o
hautsi	h a u c i
ingurukoa	i N u r u k o
ordezkari	u r d d k a r i
sorrera	s o r e r a
Prozesu	r o z e s u
amak	a m a k
dagokion	d a  i o n
eragile	e r a g i l e
historiko	h i s t o r i k o
jarraian	y a r m a i a n
kalitate	k a l i t a t e
kanpaina	k a n p a i n a
kantitate	k a n t i t a t e
lehiaketa	l E nt~ a k e t a
osoaren	o s o a r e
zehatza	z e h a c a
arriskua	m a n i s k u a
galera	g a l e r a
gobernua	g o b E a n u a
igoera	l i m e r a
kargu	k a r g u
ospe	o s p e
Iparraldeko	p e r a l d e k o
auzoan	a u z o a n
direlarik	d i r e l a r i k
diseinu	d i s e i n u
eraikitako	e r a i n a 7 i t a k o
fisiko	f i s i k o
gunea	g u n e a
presidente	p r e s i d e n t e
zuzeneko	z u z i n i k o
dituztela	d i t u z t e l a
komunitate	m i u n i t a t e
libre	b r e
su	s u
animaliak	a n i m a l i a k
baitzituen	b a i c i t u 7 3 n
bertara	b E t a r a
biztanleen	b i z t a n l e n
eguna	e g u n a
erabiliko	e r a b i l i k o
ezinbestekoa	n k a  b e s t e k o
gurasoak	g u r a s o* a k
haurren	h a u r
ikuspegia	i k u 8 p e n e g i a
kulturaren	k u l t u r a r e
zutabe	z u t a b e
Gure	u r e
Manuel	a n
bakarrak	b a k a r a k
egitean	g t e u k a
froga	f r o g a
garaia	g a r a i a
iristeko	i r i S t a k o
larriak	l a r a k
lortuko	l o r n a
n	n
ondasun	d a s u n
Askotan	s k o t a n
cm	k m
familiako	f a m i l i a k o
gauzatu	g a u z a t u
osasun	o s a s u n
apirilaren	a p i r i l a r e
eraikinaren	e r a i n a 7 i n a r e
hamabi	h a m a b i
jartzea	h a r c e a
linea	l i n e a
talka	t a l
urrun	u r u n
Familia	a m i l i a
aplikazio	a p l i k a Z  o
arrisku	m a n i s k u
azaroaren	l a u k a r o a r e
bandera	b a n d e r a
eleberrian	e l e b e r i a n
esanda	e s a n d a
etxeak	e t " e a a k
gas	x a s
gizartean	g i z i t e a n
jauregia	y a u r e g i a
liga	l i g a
postuan	p o s t u a n
Bitartean	i t a r
Madrilen	a d r e l e n
biztanleriaren	b i z t a n l e r i a r e
dorre	d o r
erabateko	e r a b a t e k o
eutsi	e u c i
hobetzeko	h o b e c e k o
mm	m m
nagusian	n a g u s i a n
Bestetik	e s t e t i k
Herriaren	e r a r e
Ikerketa	k e r  e t a
agindua	y i d u a
aldizkarian	a l d i z a r i a n
bereizi	b e r a i z i
eremuan	e r e m u a n
izenaren	i z e n a r e
sartzea	s a r c e a
zeinak	z e i n a k
dokumentu	d o k u m e n t u
honetatik	h o n e t a t i k
irrati	o r a t
kontrol	k o nt~ r o l
lehenik	l e h e n i k
areagotu	a r e a g o t u
baso	b a s o
bultzatzen	l w i c e n
efektu	e f e u
erabilia	e r a b i l i a
erre	e r
horiei	h o r i e i
ikasteko	i k a s t a k o
izanez	i r o n e z
lehenbiziko	l e h e n p e t e  k o
naturala	n a t u r a l a
plazaratu	p l a y i z a r a t u
zuzendutako	z u z i t a k o
Batez	a t e z
Herrialde	e r a l d e
baldintzak	b a l d i n c a k
egunero	e g u n e r o
emakumeek	e m a k u m e k
ikusgai	i k u s g a i
jainko	y a i N kp~ i
jendeak	h e n d e a k
multzoa	l c o a
ondorioak	d o r i o a k
sakonera	s a k o n e r a
Charles	h a l e
Emakume	k u
Hasierako	a s i e r a k o
Robert	o b e r
ahotsa	a h c a
baimena	b a i m e n a
kargua	k a r g u a
pasatu	p a s a t u
sektore	s a q t o r e
zauritu	z a u r i t u
zeudela	z e u d e l a
Paul	a u l
abenduaren	a m u d u a r e
argazki	a r a z k i
baziren	b a z i r
finkatu	f i n k a t u
harremanetan	h a r e m a n e t a n
materialak	m a t e r i a l a k
osatzeko	o s a c e k o
ulertu	u l e r t u
zenetik	z e n e t i k
AEBetako	e t a k o
aitortu	i t o r t u
altuena	a l t u e n a
antzera	a n c  e r a
antzerki	a n c r i ly~ k i
arazoa	a r a z o a
bizitzera	b i s i c e r a
eraikinak	e r a i n a 7 i n a k
frantziar	f r a n t a a r
iritzi	i r i c
jartzeko	h a r c e k o
lortuz	l o r t u s
nagusitu	n a g u s i t u
ospatu	o s p a t u
ospetsu	o 8 p e n e c u
urak	u r a
Nazionala	a z i o n a l a
aire	a i r
alboko	a l b o k o
betiere	b e t i e r e
duelarik	d u e l a r i k
esanez	e s a n e z
sailkatu	s a a l k a t u
uhartea	a h i t e a
Hegoaldeko	e g o a l d e k o
bakarreko	b a k a r r e k o
bestearen	b e s t e a r e
elizaren	e l i z a r e
etengabeko	e t e N a b e k o
euskararen	u s k a r a r e
Erromako	r u m a k o
Unibertsitate	n i b e r c i t a t e
domina	b i n a
ekintzak	r c a k
erabakia	e r a b a k i a
ezarritako	d m a n i t a k o
ibaiak	i b a i a k
legea	l E g E a
medio	m e d i o
ofizial	o f i h  a l
portaera	p o r t a e r a
Nazio	a z i o
ezberdina	d k w
hartutako	h a r t u t a k o
hasieratik	h a s i e r a t i k
kopia	k o p i a
mugitu	m u g i t u
nolabaiteko	n o l a b a i t e k o
saio	s e i o
uztea	u z t e a
zutelako	z u t e l a k o
Irlandako	r l a n k o
armadak	a r m a d a k
baititu	b a i t i t u
batere	b a t e r e
bilatu	b i l a t u
biztanleak	b i z t a n l e a k
direnez	d i r e n e z
egilea	g i l e a
ekoizpen	Nw~ 3 i z p e n
estrategia	e s t r a t e g i a
gaizki	g a i z k i
handien	h a n d i e n
laburra	l a b u r a
mendetik	m e n d e t i k
probintzia	p l o b i t a a
zaion	z a i o n
Hemen	E m E n
armadaren	a r m a d a r e
aukeratzen	a u k e r a c e n
batik	b a t i k
bikote	b i k o t e
bizitzako	b i s i c a k o
denboraldian	d e n b o r a l dy~ a n
eginak	g i n a k
fenomeno	f e n o m E n o
lurrean	l u r
metal	m e t a l
oinarritu	o i N r i t u
publikoak	p u b l i k o a k
sortzailea	s o r w i i l e a
azaltzeko	t r o l c e k o
bestela	b e s t e l a
ezagutzeko	d a g u c e k o
hainbeste	h a i nb~ a* 7
zalantzan	z a l a nt~ n d r o
Goi	o i
Sobietar	o b i e t a r
agian	a g i j a
diametroa	d i m E t r o a
ezkontza	d k o* c a
hogeita	h o g a i
porrot	p o r o t
txarra	T a r a
Giza	i r a
Kultura	u l t u r a
adierazpen	a d i e r a z p e n
data	d a t a
digu	d i x u
dutenean	d u c i n i
kilometroko	k i l 3 e t r o k o
tarte	t a r t e
zain	z a i n
Japoniako	a p o n i a k o
altua	a l t u a
erakundeak	e r a k u n d e a k
gogorrak	g o g o r a k
historiako	h i s t o r i a k o
hogei	h o g e i
jota	j o t a
komunikazio	m i u n i k a Z  o
lekuan	l E k E u a n
letra	l E t r a
modua	m o d u a
norabide	n o r a b i d e
pertsonek	p e r c o i k
Sei	e i
abantaila	a b a nt~ a i l a
abestiak	a b " a a k
al	a l
handikoa	h a n d i k a
inork	i n o r
mezu	m e z u
nahasten	n a h a s t e i n
uzteko	u z t e k o
zigorra	z i g o r a
zirelako	z i r e l a k o
Hiria	i r i a
arriskuan	m a n i s k u a n
artea	i t e a
esanahi	e s a n a 7 i
matxinada	m a 5 i* a d a
urtarrilaren	u r t a r i l a r e
adin	a d i n
ahalmen	a h a l m e n
ahots	a h o c 3
aldatzeko	a l d a c e k o
baxua	b a x u a
beharrezko	b e h a r d k o
bikoitza	b i k o i c a
defendatzen	d e f e n d a c e n
dizkio	d i z k i o
eskuineko	e s k u i n e k o
harrera	h a r e r a
kideek	k i d e k
prozesuan	p r o z e s u a n
urteotan	u r t e o t a n
Espainia	s p a i
aintzira	a i n a m b c i r a
ateak	a t e a k
ekitaldi	r t a l d i
gehitzen	g e h i c e n
haietako	h a i e t a k o
handienak	h a n d i e n a k
indarrean	i n r
militarra	m i l i t a r a
Etxebizitza	T e b u  c a
Handia	a n d i a
Kataluniako	a t a l u n i a k o
arauak	a r a u a k
berari	b E r a r o
botatzen	b o t a c e n
frantses	f r a nC~ e
jasotako	y a s o t a k o
ko	k o
lehendabiziko	l e h e n d a b i s i k o
poema	p o e m a
txikiagoak	T i k i a g o a k
urtekoa	u r t e k o
alemaniar	a l 3 m a n i a r
aztarna	a z t a r n a
bilakatzen	b i l a k a c e n
dorrea	d o r e a
elektriko	e l e k t r i k o
ikasleak	i k a s l e m a k
kaleko	k a l e k o
ume	u
unean	u n e
Arabako	r a b a k o
antza	a n c  a
baitago	b a i t a g o
enpresaren	e n p r e s a r e
erlazio	e r l a a o
iragarri	i r a g a r i
odol	o d o l
zinema	5 m m a
Gizarte	i r i t e
arrunta	m a n u n t a
askatu	a s k a t u
harekin	h a r e k i N
kontutan	k o nt~ u t a n
kontzertu	k o nt~ r i ly~ t u
musikari	s i k a r i
obrak	o b r a
zeren	z e r e n
George	e o r g e
animalien	a n i m a l i e n
argitara	a r g i t a r a
batzuei	b a c e i
hauei	h a u e i
hazkunde	t r o n d k u n d e
hilketa	h i l k e t a
hutsa	h u c a
kontu	k o nt~ u
laguntzaile	l a g u n w i l
murrizten	r i z t e n
planeta	p l a y i n e t a
sarri	s a r i
zahar	z a h a r
Eguzkiaren	g u z k i a r e
aparte	a p i t e
argazkiak	a r a z k i a k
bilakaera	b i l a k a e r a
gailu	g a i l u
gizaki	g i z a k i
gizona	g i z o n a
helburuak	h e l a k
materiala	m a t e r i a l a
pertsonaiak	p e r c o n a i a k
poliziak	p o l i  a k
praktika	p r a k t i k a
tiro	t i r o
zizkioten	z i z k i o t e n
