an	a n
Hierscht	i e r S t
trotzdem	t r o c b
Rees	e s
Texter	e S e r
kenne	k e n n e
Laurent	a u r e n t
zoustänneg	z o u s t 3 n S
lancéiert	l a n k o e i e r
ausgesinn	a u s g 3 s i n n
dorënner	d o r 3 n n 3 q
organiséieren	u r g a n i S e i e r e n
Stëmm	t 3 m m
David	a b i d
bannent	b a n
begleet	b e g l a
genotzt	g e n o c
gesond	g e s o nd~
gläichzäiteg	g l 3 i C z 3 t e u k a
nennen	n e n n e n
sécherlech	s e C r xy~ E kw~ n
Jonker	o k a r
Demande	e m a nd~ e
Haiser	a z o l
gewinnt	g e % a 5 a
Léift	e i f i
Ouni	u n i
internationale	i n t E r n a t i o n a l e
Brexit	r " i t
Escher	S E r
nohalteg	n o h a l t e
Gewalt	e w a l
aktuelle	a k t
Bréif	r e i f i
extra	e S
Wierk	i e r
feieren	f e i e r e n
ufänken	u f 3 n k e n
gefeiert	g e f e i e r
enk	e n
ofgeschloss	o f g 3 s C l o s
Etapp	t a p p
gaang	g a N
Méiglechkeet	e i l e C k a
New	e w a
Nicolas	i k o l a
Vue	u e
confirméiert	r o n f i E p a u i e r
Editus	d i t u s
Kann	a n n
Schoulen	C o l e n
gläich	g l 3 i C
entstanen	e n t s t a n e n
wären	w 3 r e n
Patrick	a t i cy~
Reen	e n
Sue	u e
opgestallt	o p g 3 s t a ly~
Frank	r a n
tatsächlech	t a t s C l E C
verdeelt	e r b
Dass	n i
Logement	o g i E m E n t
kengem	k e N e m
mecht	m e t
iwwerholl	i w w e r h o l o
Weltkrich	e l t k i cy~
denen	d e n e n
villäicht	v i l l 3 i t
fanne	f a n e
Risiko	i s i k o
gemeet	g e m o t a x a
leeën	l E l o a n
Realitéit	e a l i t e i t
erënneren	e r 3 n n e r e n
Restaurant	e s t a u r a nt~
Wirtschaft	i r c C a f
hannen	h a n n e n
Bau	a u
Vergaangenheet	e r g a n g 3 h i
Hir	i r
Vëlo	3 l o
Schutz	C u c
Ausseminister	u s e m i n i s t e r e n
Song	o N
Wanter	a n t e r
wie	v i
Gesondheet	e s o n d S i
Waat	a t
Doud	a u d
verkafen	e r % k a f e n
dorop	d o r o p
zitt	z i t
behaapten	b e h a n a p t e n
nennt	n 3 n
wirklech	w i r a k l E C
däitsche	d 3 i c C e
Haff	a f f
Kierchbierg	i l l a rx~
Wie	i e
entgéint	e n t g e i nt~
gesicht	g e s i t
iwert	i w e r
entdeckt	e n t b S k
schwätze	S w 3 c e
Un	n
jee	h e
selbstverständlech	s e g u Sx~ e r s t 3 nd~ l E C
Arméi	r p a u i
duerfir	d u e r f i r
zéng	z E N
garantéieren	g a r a n t e i e r e n
Konzept	n z e p
geféierlech	g e o f o k i r xy~ E kw~ n
gezunn	g e z S
André	ndr$ e
Autoen	u t o 7 o n
behandelt	b e h a n d e l
entweder	e n t w e d e r
Platz	m u c
treffen	t r e f e n
Theater	h e a t e r
gestuerwen	g e s t u e r w e n
Studenten	t u d e n t e n
funktionéiert	f w o m t i o n 3 e i e r
permanent	p e r
Entreprise	t r e p r i s e
erlieft	e r l i e f
London	d o n
gëllen	g E ly~ l e n
Péiteng	e i c i N
erreechen	e r  e C e i n
ugepasst	u g u d o  7
Ärem	r E m o
Reding	e d i N
erhalen	a i n  l e n
gesoot	g e s o u t
zefridden	z e f r i d a e n
Deputéierten	e p u n i e r t e n
Geriicht	r i i t
Solidaritéit	o l i d a r e  i t
Zuelen	u e l e n
Interessi	t e r e s
Redaktioun	e d a k t o u n
däi	d 3 i
reagéiert	r E G e i e r
zimmlech	z i m l E C
Datum	a t u m
Demokratie	e m o k r a t i e
garantéiert	g a r a n t e i e r
Etienne	t i E n n e
Geleeënheet	e l e l e 3 n h i*
Marché	a r C e
eegenen	e x e n e n
sëtzen	o c e n
déif	d e i f i
héiert	h e i e r
gelies	g e l i e
Gespréicher	e s p r e i C e r
Mëttelpunkt	3 t e l p i
aktueller	a k a k o n u l l e r
dobaussen	d o b a u s e n
lénks	l ky~ k
Stonne	t o n n e
europäescher	u o p 3 e S E r
sozialen	S o z i a l e n
Alex	l E 7
Bistum	i s t u m
Kontrast	o  s d a
Schäfferot	Ch~ a f e r o t
gelaf	g e l a f
grousst	g r o u s s d a
hänkt	h a* d
ënnen	3 n n e n
Qualitéit	u a l i t e i t
Schonn	C o n n
Wieler	i e l e r
and	a n d
wierkt	v i
menge	e n g e
Musée	u s a j
Computer	i m p u t e r
Laut	a u t
huele	h u i e l e
notzen	n o c e n
Dr	r
getest	g e t e s
rezent	r e z e n t
spéider	s p e i d e r
verléiert	e r l e i e r
Doduerch	o d u o mb~ o
Studio	t u d i o
Fouss	o u s
Atelier	t e l i e r
Hären	3 r e n
behalen	b e h a l e n
gepackt	g e p a k k
breet	b r a
entscheet	e n c C o t a x a
Ben	e n
Plaze	l a z e
agefouert	a g e f o u e r
mateneen	m a t e n e n
Organisatioun	r g a n i s a t i o u n
Flüchtlingen	l i k a r e n L i N 3 n
koumen	k o u m e n
schützen	s C 3 t a 7 i 3 * z a n
von	v o n
Congé	o N e
Finanzminister	i n a n c~ m i n i s t e r e n
frësch	f r e S
geschéien	g e S  e i e n
moies	m o i
Dowéinst	o wy~ nsw$ i
franséisch	f r i s e i S
Gast	s d a
dauert	d a u e r
Mamer	a m e r
verlaangt	e r l a n u
entsteet	e n t s t a
Virfeld	i r f e l
Amerika	m e r i k a
Serge	e r g e
Wärend	3 r e n d
geléiert	g e l e i e r
waarm	w a i m
gemellt	g e m i L
virdru	v i r d r u
deet	d e t
geif	g e i f
Verfassung	e r y 7 u N
heem	h e m
verschafft	e r S f
Jonken	o nk ~ e n
leit	L e i t
lëtzebuergesch	l 3 c o bw~ a  g e S
Wei	e i
plus	p l u s
Wand	a n d
negativ	n e g a t i
Membere	e m b e r e
erkennen	e r k 3 n e n
geruff	g e r u w f
realiséiert	r e a l i s e i e r
Bilan	i l a n
Nei	e i
Offer	f e r
richtegen	r i t E g E n
Course	o u r s e
massiv	s s i
Mesure	e s u r e
Zuel	k i k "
Dier	i e r
Photo	h o t o
Aufgab	u f g a b "
Doheem	h e m
alleguerten	a l l e g e r t e n
duerchaus	d u e r h a u s
eescht	e s t
Zesumme	e s u m
opgebaut	o p g e b a t u
reegelméisseg	h r e x e l p a u s e
Christian	h r i s t i a n
Iwwert	w w e r
Roman	t a x
stoungen	s t o u N 3 n
Lénk	ky~
franséische	f r i s e i s C e
parlamentaresch	p a l a m e n t a r e S
stelle	s t e l a
Momenter	e n t e r
Ausso	u s
Géigend	e x e n d
Elementer	l E m E n t e r
Sëtz	3 c
Kollegen	o l l E g E n
Clienten	l i e n t e n
Ausserdeem	u s e r b e m
Feier	e i e r
Tester	3 S t a r
erauskomm	e r a u s k o m m
trotzdeem	t r o c b e m
Déifferdeng	e i f e r q i s i r
Grenzen	r e n z a n
dorunner	d o r u n n 3 q
alen	a l e n
iergendwéi	i e r g e n d wy~ i
verbessert	e r b e s e r
Berlin	e r l i n
Klass	l a s
nie	n i e
Kampf	a m p f
Test	e s t
Firma	i r m a
Informatioune	n f o r m a t i o u n e
Wandstéiss	a n d s t e i s
investéiert	i n v e s t e i e r
Meisch	e i S
ebe	e b e
ëffentleche	3 f L e 5
Zweck	w e k
Déngscht	e N s t
schlëmm	S l b m
ënnerschiddlech	3 n n e r S i d a l E C
Rechter	e t E r
derzou	d e r z o u
Joër	o 3 r
Rou	o u
Affär	f 3 r
Wierker	i e r k a r
Handy	a n dy~
Max	a X
Parquet	a r k e t
vergiess	v e r g i e s
Holland	o l l a n d
amerikanesche	a m e r i k a n e s C e
lieft	l i e f
begréisst	b e g r e i 7
Méiglechkeeten	e i l e C k e 7 e t e n
sti	s t i
Avis	f i s
entwéckelen	e n t wy~ S k e l e n
alleng	a ly~ i N
Premierminister	r E m i e r m i n i s t e r e n
meeschten	m e k 3 S t E n
selwechte	s e l w e t e
Punkte	u n k t e
Staatsminister	t a c m i n i s t e r e n
Sänger	a* d g e r
Wonsch	o S
eidel	e i d
merci	m e r i
festgestallt	f e S t g 3 s t a ly~
wielen	w i e l e n
Kontroll	o t r o l o
Meng	i N
Prisong	r i S o N
Däitsch	3 t i C
Park	a r
Vollek	o l y o x
Plaatz	l a c
begeeschtert	b e  e S t E a
géingen	g e i N 3 n
maan	m a n
Spëtzt	a p i c
Während	E h t i r e n d
souwéi	s o u wy~ i
wirtschaftlech	w i r a c C a f L n
Sich	i C
geroden	g e r o d e n
klammen	k l o m e n
vertrueden	e r t r u e d e n
automatesch	a u t e r a i S
Iran	r a
Google	o g l e
Sie	i e
verännert	e r a* d n e r
Doriwwer	u r i w w e r
verdéngt	e r d 3 7 N
zielen	z i e l e n
Patient	a t i E n t
fréieren	f r e i e r e n
Jong	o N
gewësse	g e w e s s e
prett	p r e t
amplaz	a m p l a y i
asetzen	a s e c e n
zumindest	z u m i n d e s
Background	a k k g r o u nd~
Kuerz	u e r
behaapt	b e h a s u
Grenz	r e n z
komplizéiert	m i p l i z E i e r
schliisslech	S l i s r a
Post	o s
technesch	t e C n i S
gitt	g i t
statt	s t a t
Gesetzer	e s  8 e
gréisser	g r e s e r
Donnéeën	o o k u i a n
Dokumenter	o k u m e n t e r
Eck	k
Moossnamen	o s s n a m e n
Stëmmung	t 3 m u N
Grëff	r 3 f
Lo	o
Pandemie	a n d e m i e
gleewen	g l e e u e n
hell	h e l o
modern	m o d i n
Zäitpunkt	3 i t d o m a
Distanz	i s t a n c i
Huet	u e ty~
leeschten	l E l o S t E n
Chômage	hy~ m a g e
Kee	e
Koalitioun	o a l i t i o u n
lokal	l o
Zwee	w e
jidderengem	h i d a e r e N e m
Miersch	i e r S
Dozou	o z o u
Staatsrot	t a c r o t
Gewënner	e w 3 n n 3 q
opgefall	o p  b o l
ähnlech	E h t i n l E C
giff	g i f
géintiwwer	g e i n t i w w e r
flotte	f l o t t e
geschwënn	g e S  w 3 n n
verstinn	e r s t i n n
verstäerkt	e r s t 3 E a X
voller	v o l l e r
Fotoe	k o t o e
erméiglecht	e r p a u i l e t
Ëmwelt	e l
dovu	d o v u
kontrolléiert	q o n i k tr~ u L e i e r
schein	S a i n
Art	r
Mask	a s k
erliewen	e r l i e u e n
iessen	e s e n
live	l i v E
privat	p r i v a t
Ball	o l
Domadder	a d a r
Gibéryen	i b y e n
duerchsetzen	d u i l l e c e n
Ausdrock	u s t
Beem	e m
Gefill	e f i l
baussen	b a u s e n
entspriechend	e n c p r i n
normalerweis	n o r m a l e r w e i s
secher	s e C e i r
versteet	e r S t a
heeschen	h e S E N
weideren	w e i d e r e n
Gebaier	e b a i e r
Hotel	o t e l
man	m a n t a
Mier	i e r
entscheeden	e n c C e n d e n
Communiqué	o m u n i k e
Krankheet	r a n S i
Sätz	3 c
mannst	n Th~
nationalen	n a t i o n a l e n
Veräiner	e r 3 i n 3 q
ausgesäit	a u s  s i t
Pressekonferenz	r e s e k o f e r e n z
Wäerter	3 e r t e r
anscheinend	s 5
Marco	a r k o
gaange	g a N a
Klimawandel	l i m a w a nd~
Team	e a m
hallef	h a l l e f
regelméisseg	r e  l p a u s e
Recherche	e T h i l l a g
doten	d o t e n
Diskussiounen	i s k u s s i o u n e n
Franséisch	r a s e i S
Hänn	a* d n
feelen	f e l e n
Rechnung	e T n a N
bëssi	b e s s i
Ärer	r E r
Hoffmann	o f n
kreien	k r E i e n
selwechten	s e l w e t E n
App	p p
Käerjeng	3 e r i N
Zäite	3 i t e
ausgeschafft	a u s g 3 s C a f
Produiten	r o C u i t e n
Zesummenhang	e s u m e n a N
responsabel	r e s p o i r a r u w
Siicht	i C
reng	r e
Ënnerscheed	a n n e r S E 3 d
Konditiounen	d i t i o u n e n
Sonn	o n
propper	p a z p e r
Trotz	r o c
asw	a s
gebuer	g e b i a
stéiert	s t e i e r
wanns	w a n a
däitschen	d 3 i c E N
nächster	n 3 C s t e r e n
Deeler	e l e r
Gemenge	E m E n g e
Rëtsch	3 S
drëtte	d r 3 t e
Maart	a r
Perspektiv	e r 8 p e n e k t
wichtegen	w i t E g E n
Féierung	e i e r u N
Schlass	C l a s
respektéiert	r E 8 p e n e k n i e r
Deng	i N
Owes	w e
Oppositioun	p p o s i t i o u n
sollte	s o l l t e
cool	S o l
denger	i s u r e r
fillen	b i l l e n
krank	k p a p a
momentan	m o m e n t a n
Ausstellung	u s s t e l l l u N
Hansen	a n e n
LëtzebuergAndeem	3 c o bw~ a  rx~ nd~ e m
Suergen	u e r g 3 n
Bréck	r e k
deelen	d e e l e n
iwer	i w e r
klenger	k l e N e r
Evenementer	f e n i m e n t e r
denkt	d e Nkw$
Start	t a r
entdecken	e n t b S k e n
profitéiert	p r o f i t e i e r
Stécker	t e S k a r
bleiwe	b l e i w e
oppassen	o p p a s e n
suergt	s u a rx~
Aarbechten	a r G t E n
Stied	t i 3 d
Verkéier	e r k e i e r
Ganzen	a n z a n
Kandidat	a n d i d a t
maximal	m a S i m a l
Schold	C o l
bezeechent	b e z e t a C e n
verkaf	e r k a f
Posten	o s t e i n
Aussoen	u s o* e n
Landwirtschaft	a n d w i r a c C a f
europäeschen	u o p 3 e S E N
héije	h e i j e
Ëmfeld	m m a n u l
Alain	l a i n
Präisser	r 3 s e r
Super	u p e r
Vläicht	l 3 i t
Wunneng	u n u i N
Le	e
Quartier	u a r t i E r
schlussendlech	S l u s e n d l E C
Acteuren	k t o
Deputéierte	e p u n i e r t e
schued	S cy~ u* 3 d
Event	f e n t
Mobilitéit	o b i l i t e i t
Wahlen	a h l e n
eegener	e g 3 n 3 q
stécht	s t e t
Publikum	u b l i k u m
generell	g e n  "
stëmmt	s t b r o u
Trainer	r a i n 3 q
goe	g o e
nee	n e
presentéieren	p r o w o n i e r e n
Produktioun	r o C u k t o u n
Hond	o
Norden	u r d e n
ugebueden	t u g e b u e d e n
Aktivitéit	k t i b i t e i t
km	k m
baal	b a l
bekannte	b e k a n nt~ e
wi	w i
Produkter	r o C u k t e r e n
Stil	t i l
Streck	t r e k
Dieren	i e r e n
Etüd	m a n t d
Geschäfter	3 S 3 f t e r e n
Grouss	r o u s
Géigner	e i N n i s r
Koppel	o p p e l
noutwenneg	n u t w 3 n i
Bon	o n
York	u r
Generatioun	e n e r a t i o u n
däin	d 3 i n
verbonnen	e r t T i m n e n
jiddwereen	h i d a w e r e n
kritesch	k r i t e S
rout	r o u t
Charles	h a l e
Obwuel	bw~
Säi	3 i
dréchen	d r e E N
Charakter	h a r a k t e r e n
Säite	3 i t e
Weeër	e 3 r
schaarf	S a r f
Jeff	e f
reduzéieren	r e d u z E i e r e n
Mais	i s
sëtzt	o c
gespaant	g e s p a i
Liicht	i C
kléngt	k l e N
mier	m i e r
bestätegt	b e s t 3 t e g
mellen	m e l l e n
nit	n i t
éier	e i e r
Demokratesch	e m o k r a t e S
Fannen	a n n e n
däitscher	d 3 i c E r
Süden	3 d e n
leet	l e t
schwaarz	S w a r
Gléck	l e k
Kategorie	a t e g o r i e
kuerzem	k u e r 8 m
Fridden	r i d a e n
Geschichten	3 S  t E n
eenzele	e n z e l e
musst	s s d a
wir	v i r
Cadrage	a d r a g e
John	o h E 5
Responsabilitéit	e s p o i r a r u w i l i t e i t
internationalen	i n t E r n a t i o n a l e n
Gruppen	n i n p e n
Matcher	a t C e r
Ziler	i l a r
Haaptstad	a s u c t a d
top	t o p
reagéieren	r E G e i e r e n
Mond	o
déck	d e k
waar	w a r
Inhalt	h a l t a s
Kongress	o N r e s
Zoustand	o u s t a nd~
ervir	e r k w 3 L i
politeschen	p o l i t e S E N
ännert	a* d n e r
loosse	l o s s e
Lescht	e s t
National	a t i o n a l
Challenge	h a l l 3 N a
Literatur	i t E r a t u r
mär	m 3 r
Bob	o b
Frieden	r i e d e n
Zougang	o u g a N
rechnen	r E c  n e n
Approche	p p r o C e
éierlech	e i r xy~ E kw~ n
Konsequenzen	o* s e k e n z a n
Nofro	o f r o
genéissen	g e n e s e n
gewënnt	g e w 3 n a 5 a
klappt	k l o p p
ower	o w e r
Frae	r a e
Fliger	l i g e r
Phas	h a s
Kaffi	a f f i
Toun	o u n
begréissen	b e g r e s e n
onofhängeg	n o p h 3 3
Plattform	l a t h m
passen	p a s e n
Reformpartei	i f o r m p i t e i
Ären	r e n
Wiseler	a s l 3 e r
esouwuel	e s o u w
léisen	l e i s e n
erwaarden	e r w a r d e n
motivéiert	m o t i v e i e r
verhënnert	e r 3 n n e r
Populatioun	o p u l a t i o u n
Androck	n d r o k
Mandat	a n
geklommen	g e k o m e n
gesammelt	g e s a m e l
total	t a t a l
Debatt	e b E t
Spuenien	p u e n
Erausfuerderung	r a u s pw~ e r d e r u N
Fuerscher	u e r S E r
Virsprong	i r s p r o N
versichen	e r s i E N
Jacques	a k s o X
baséiert	b a s e i e r
Alkohol	l k o h o l
England	N l a n d
Sall	o l
eeler	e l e r
Beetebuerg	e th~ E b u E a g
Sinn	i n n
Woubäi	o u b 3 i
intensiv	i n t e s i b E
jonken	j i m a e n
Gesiicht	i C
Kleng	l 3 N
Pabeier	a b " a i e r
Steieren	t e i e r e n
Struktur	t o u k r u t a
gréisstendeels	g r e s e l
Héicht	e i t
aktuellen	a k a k o n u l l e n
Cours	o u r
Keng	i N
Leeschtung	e S t u N
geschoss	g e s C o s
produzéieren	p r o C u z E i e r e n
Depart	a p i t
Zudeem	u d e m
Nomëtteg	3
Charel	h a r e l
Eigentlech	x e n
Initiativ	n i t i E t i
Traditioun	r a d i t i o u n
Dono	o n o
Jos	o s
verloossen	e r nd~ o s e n
Accès	kh~  e
Weber	e b e r
laange	l a N g e
Äntwerten	t w e r t e n
engen	g 3 n
streng	s t r i N
verantwortlech	e r a nt~ e* L n
via	v i a
Bierg	i E a g
Bord	u r d
ann	a n n
Café	a f e
Concours	o nC~ o u r
Institut	s t i t u t
fillt	b i l l
gezielt	g e
Affekot	f e k o t
Mouvement	o u Ng~ e r e p i N
stoe	s t o e
Reaktioun	e a k t o u n
Stroum	t r o u m
agestallt	a g 3 s t a ly~
iwwerrascht	i w w e r a s t
Genee	i n i
Musel	u s
ugeschwat	t u g 3 s C w a t
Bartreng	i t r i N
Patienten	a t i E n t e n
houfreg	h o o k u p m u a
Meedercher	e n d e r x e r
Pläng	l a* d
aaneren	a n e r e n
enge	g e
Féiss	e i s
matenee	r a i i
Hoffnung	o f n u N
Justiz	u s t i z
Viru	i r u
dengem	i s u r e m
ënnersträicht	3 n n e r u z 3 i t
News	e w
staarke	t a  k e
Accident	kh~  i d e n t
Carrière	a r e
Wéini	e i n i
erfëllt	e r f 3 L
fuerderen	f u e r d e r e n
Fuerschung	u e r S u N
Schëffleng	C 3 f l 3 N
Daten	a t e n
gedauert	g e d a u e r
informéieren	i n h p a u i e r e n
Jugendlecher	t u g e n d l e C e i r
erlaben	e r l a b e n
heiten	h e i t e n
lenks	l e Nkw$
Spidol	p i d o l
Bevëlkerung	p i r E ly~ k e r u N
Direktioun	i r e k t o u n
Drëttel	r 3 t e l
Duerfir	u e r f i r
Kamera	a m e r a
Stëmmen	t 3 m e n
Training	r a i n i N
Coupe	o p e
Ween	e n
Beispiller	e i s p i l l e r
Die	i e
Hesper	e s p e r
Prozedur	r o z e d u r
bannen	b a n n e n
duerchgesat	d u i l l g 3 s a t
traditionell	tr~ a d i t i o n 3 "
Geheimdéngscht	e h e i m d 3 7 N s t
attraktiv	a t tr~ a k t
verstoppt	e r s t o p p
respektéieren	r E 8 p e n e k n i e r e n
zolidd	z o l i d
Abléck	b l e k
Responsabel	e s p o i r a r u w
laut	l a u t
Missioun	i s s i o u n
amerikanesch	a m e r i k a n i S
blesséiert	b l 3 s a e i e r
eenzege	e n z e g e
lauschteren	l a u S t E r E n
ubelaangt	u b e l a n u
verbréngen	e r b r e n g 3 n
Courage	o u r a g e
Eise	i s e
Fräiheet	r 3 i x e
Tierkei	i e r k e i
Hunn	u n n
dest	d e s
schécken	S e S k e n
Eisen	i s e n
Syrien	3 r i e n
Washington	a S i N r t o n
Zeitung	e i t u N
wäiss	w 3 i s
dierfe	d i e r f e
geheescht	g e f e e s t
kämpfen	k 3 m p f e n
laanger	l a N g e r
spezifesch	s p a  f i S
Campagne	a m a j
Jugend	t u g e n d
Kandidaten	a n d i d a t e n
deser	d e s e r
Motto	o t t o
Science	C y e n C i e
béide	b e i d e
digital	d i g i L a l
kal	k a l
ubidden	u b i d a e n
Ëmmer	m e r
ënnerschriwwen	3 n n e r S ry~ u w e n
géinge	g e i N a
hänken	h 3 n k e n
gestalt	g e s t a l
héijen	h e g i y e d o
Fait	a i t
Fav	a
Gëtt	3
Holz	o l
Wichteg	i t o g
wärt	w 3 r
Begrëff	g r e f
Meedchen	e n d E N
Strategie	tr~ a t e g i e
reduzéiert	r e d u z E i e r
Deemno	e m
Aktuell	k t u e l o
Israel	s u r u
Polen	o l e n
Visite	i s i t e
feiert	f e i e r
politescher	p o l i t e S E r
Wëssen	e s e n
mi	m i
Geescht	e s t
Mauer	i a
Roy	o 8 a
Virdeel	i r b
bäidroen	b 3  e n
drëtt	d r 3
Falls	a ly~
gedoen	g e d o e n
pour	p o u r
Aner	n e r
Hutt	u t
Walen	a l e n
entsprécht	e n c p r e t
foto	f o t o
higewisen	h i x e w i e n
na	n a
wollekegt	w o l l E k E m E g
Ëmgang	N a N
Gefällt	i f 3 L
Me	e
Parking	a r k i N
komesch	k o p i S
weiderhi	w e i d i n
Erfarung	r f a r u N
festgehalen	f e S t g e h a l e n
läscht	l a e S t
Mindestloun	i n d e s t l a u n
dréint	d r e i nt~
iwwerhëlt	i w a C a i E ly~
City	i t
ëmzesetzen	m 8 e c e n
Belval	e l w a l
domatter	b a t t e r
wierken	v i  k e n
Verschidde	e r S i d e
investéieren	i n v e s t e i e r e n
méiglechst	m u i l e C s d a
wësst	w e s s d a
Keier	e i e r
Maison	a i s o n
Mer	e r
Neits	e i c
Ofschloss	f S l o s
War	a r
bestëmmte	b e s t b c 3 7
Fréijoer	r e i j o e r
Instrument	s t r u m e n t
aal	a l
Hoer	o e r
ärer	3 r e r
Insel	s
Soss	o s
Volet	o l e t
ofgesot	o f g 3 s o t o
gut	g u t
verëffentlecht	e r e f e n  t
Informatioun	n f o r m a t i o u n
decidéieren	d e 7 i d e i e r e n
zoustännege	z o u s t 3 n n e g e
wisou	w i s o u
Schauspiller	C a u s p i l l e r
Carlo	a r l o
Transparenz	r a s p a d e
Wëllen	E ly~ l e n
ausgeschwat	a u s g 3 s C w a t
definéiert	d e f i n e i e r
Generalversammlung	e n e r a l e r s a m l u N
Osten	s t e n
Zait	a i t
Martin	i t i n
Wolleken	o l l e k e n
preparéiert	p r e p a r e i e r
spieren	s p i e r e n
Liewensmëttel	i e w e s k i S t
Michael	i C a
Philippe	h i l i p p e
Top	o p
insgesamt	s g 3 s a m
Nëmmen	3 m e n
sënnvoll	s 3 n n v o l o
verbueden	e r e d e n
wuessen	w u e s e n
zukünfteg	z u k i f
Büro	3 r o
Engel	N
Fonds	d
Kersch	e r S
Prioritéit	r i o r e  i t
gewëssen	g e w e s e n
Deputéiert	e p u n i e r
Interessant	t E r 3 s a
Link	i n
Nimm	i m m
Ae	e
Béier	e i e r
La	a
hofft	h o f
onméiglech	o p a u i l E C
testen	t e s t e i n
Dollar	o l l a r
Twitter	w i t t e r
Chantier	h a n t i E r
Entscheedung	nc~ E C e n d u N
Projete	t o n o x e t e
sammelen	s a m e l e n
Debat	e b a t
Egal	g a l
Ekonomie	q o n o m i e
Optioun	p t i c o u n
erméiglechen	e r p a u i l e C e i n
ett	e t
kriss	k r i s
ofginn	o f g i n n
Fleesch	l E i S
bëlleg	b e l l a
knapps	k a pw~ p
séng	s i n
Joers	o e r
Liter	i t e r
Wunnengen	u n u g 3 n
Aarbechtsplazen	a r k C c p l a n i n z a n
bedauert	b e d a u e r
handelen	h a n d e l e n
Experten	S p e r t e n
Mike	i k e
Patrimoine	a t r i m o i n e
deel	d e
konsequent	q o n i k s s o X a 5 a
radio	r a d i o
Praxis	r a x i s
Steesel	% t e e l
geseit	g e s a i
Confinement	o f e f i n i m E n t
Plastik	l a s t i k
mierkt	m i e r k
Wirtschaftsminister	i r c C a f c m i n i s t e r e n
engersäits	g e r s i c
schéinen	S e i n e n
Commerce	* r e
Noperen	o p e r e n
Wort	u r
Amerikaner	m e r i k a n 3 q
Bühn	S i  n
Entrée	t r a j
Lex	Z i 7
limitéiert	b u r e  i e r
Ëffnungszäiten	f n u N s z 3 i t e n
Donnéeë	o o k u i 3
Fokus	o k u s
Gol	o l
aller	a l l e r
verstanen	e r s t a n e n
Appell	p p e l l a
Déier	e i e r
Patron	f a l a u
Strukturen	t o u k t u r e n
leie	L e i e
spille	s p i l l e
Beweegung	a w e e g u N
Sommet	o m e
bieden	b i e d e n
däerfen	d 3 e r f e n
fällt	f 3 L
Fans	a n
Réck	e k
äre	r i e a
Austausch	u s t a u S
Béid	e i d
Europaparlament	u r o p a p a l a m E n t
