on	o n
üksi	3 k s i
lootust	l o t u s
Ometi	m e t i
erinevaid	r i n e b E i d
häid	h 3 i d
juhtunud	x u h t u n u d
kasvu	k a s b u
kiire	k i r e
otsust	c u s
üht	3 th~
meenutas	m e n u t o s
suures	s u r e
vähendada	v E h t i e n d a d a
Aasta	a s t a
piirkonna	p i r k o* n a
saate	s a t e
pähe	p 3 7 e
õnnestunud	n o* n n e s t u n u d
erakond	e r a k o n d i
aprillil	a p r e l l o
palk	p a l
kuulnud	k u L n u d
ootavad	o t a v a d
osakonna	u k a m i m
Kaks	a k
klubi	k l u b i
nädal	n 3 d a l
seepärast	s e p 3 7 s d a
ühest	3 h e s
valimiste	v a l i m i s t e
eestlane	E k 3 n C a n e
kolmanda	k o l m a n d a
septembril	s e p t e mb~ r i l
kogudus	k o g u d u s
Estonia	s t o n i y a
haigla	h a i g l a
langenud	l a n g 3 n u d
täielikult	t 3 i e l i k r u
politseile	p o l i 5 u  l
Põhjarannik	n a y a r a n n i k
abikaasa	a b i k a s a
igas	i x a s
küsimusi	k 3 b u p u s i
Kohus	h u s
keskmine	k e s kh~ o m i n e
lõpetas	l o p e t o s
toetus	t o e t u s
Teine	e i n e
elanud	e l a n u d
toodud	o d u d
loota	l o t a
nädalat	n 3 d a l a t
teid	t e i d
hinda	h i n d a
Ülikooli	l i k o l i
sündinud	s 3 nd~ i n u d
huvitatud	h u b i t a t u d
juhtub	x u h t u b
kindlalt	k i d e L o l
kaupa	k a u p a
registreeritud	r e g % l u z i e r i t u d
omakorda	a m i y a m a o r d a
tagant	t a g a nt~
ajada	c a d a
juunil	x u n i l
kellest	k e ly~ a* 7
erinevad	r i n e b E d
kvartalis	k v i t a l i s
Ainult	i n u l
ukse	u k s e
Valga	a l g a
tahtnud	t a h t n u d
selgitab	s l 3 k i t a b "
valimised	v a l i m i s 3 d
istungil	i s t u N i l
puudutab	p u d u t a b "
Eestimaa	e s t i m a
Norra	u r a
täita	t 3 n e n
äkki	3 k k i
Riigikogus	i g i k o g u s
minutit	m i n u t i
sõiduauto	s o i d u a u t o
Selline	e l l i n e
meist	m e i s
sattunud	s a t t u n u d
Jah	a h
Kadri	a d r i
paremaks	p a r e m a k
kohtusse	k o h t u s s e
mitme	m i t m e
teil	t e i l
veebruar	v e r e b r u a r
kuuluvad	k u l u b a d
otsida	c i d a
sisu	s i s u
Venemaale	i n i m a l e
too	t o
tähenda	t E h t i e n d a
nõukogude	n u u k o g u d e
Kokku	o k k u
tunneb	t u n n e
Inimesed	n i S e d
avalikult	a b a l i k r u
vahet	v a h e t
metsa	m e c a
plaanib	p l a y i a n i
teisiti	t e i s i t i
Tuleb	u l e
meeskond	m e k 3 n C k o n d i
Poola	o l a
Võrumaa	o* r u m a
turul	t u n u l
elanikud	e l a n i k u d
kasvõi	k a s v o i k
maksa	k s a
oktoobril	o k % p e g i s r i l
Panga	a N a
juhatus	x u a t u s
millel	m i l l e l
su	s u
komisjoni	k o C u w cx~ o* n i
Aivar	i v a r
alistas	a l i s t a s
Põlva	n a l v a
kasutamine	k a s u t a m i n e
ASi	i
küsis	k 3 s i s
tunduvalt	t u n d u N v a l
leitud	L e i t u d
korduvalt	k o r d u b a l t a s
kukkus	k u k k u s
läksid	l 3 k s i d
milleks	m i l l e k
kohalikud	k o h a l i k u d
mõnda	m o nd~ a
otsustada	c u s t a d a
Rüütel	3 i
põhjuseks	p o xy~ e k
sõidab	s o i d a b
rolli	r o l l i
võtavad	v n a k a v a d
liikmete	l i i k m e t e
panga	p a n g a
hinnaga	h i n n a g a
pandi	p a n d i
suuremad	s u r t u m a d a r
valik	v a l i k
väljas	v 3 lx~ 3 s
Postimehele	o s t i m e h e l e
teavad	t e a v a d
rõõmu	3 o m u
teate	t e a t e
alustab	a l u s t a b "
vale	v a l e
Nõukogude	n a u k o g u d e
appi	a p p i
muret	r e t
tööl	h a t 3
õpilased	n a p i l a s 3 d
Seepärast	e p 3 7 s d a
alanud	a l a n u d
jah	y a h
otsima	c i m a
programmi	p r o g r a m m i
püüab	p 3 3 a b "
ühele	3 h e l e
augustil	a u g u s t i l
kusagil	k u s a g i l
võta	v n a k a
LehtReede	e h t e n d e
viidi	v i i d i
äärmiselt	E r m a s l 3
kuulata	k u l a t a
lõppu	l o p p u
Laupäeval	a u p 3 7 p i r a l
halb	h a l
toetuse	t o e t u s e
tuleviku	t u l e v i k u
Samal	a m a l
otsuseid	c u s e i d
maad	m a
nimi	n i m i
kerge	k e r g e
meenutab	m e n u t a b "
mängida	m a g N i d a
tabas	t a b a s
suurte	s u r t e
öeldes	o E l d u r m 3 s
meeskonna	m e k 3 n C k o* n a
Selles	i L m 3 s
elanike	e l a n i k e
tagada	t a g a d a
sobib	s o b i
Raivo	e  o
viimased	v i y i l a
lõppenud	l o p p e n u d
suhete	s u h e t e
kolmas	k o l m o s
rahu	y a w a
Trump	r u m p a
maanteel	m a n t e
nimetatud	n i m e t a t u d
tekitab	t a k i t a b "
kava	a v a
pakkus	p a k k u s
kuue	k u
talu	t a l u
lahendada	l a h e n d a d a
saamiseks	s a m i s Nw~
sind	s i n d
tulemused	t u l e m u s 3 d
võinud	v o i n u d
kiitis	k i t i s
noormees	n o r m e s
ala	a l a
kultuuri	k u l t u r i
probleemid	p l o b l a e m i d
lehekülje	l e h e k l e
palga	p a l g a
oodatud	d a t u d
koostöös	k o s u k h a t 3
langes	l a N 3 s a
jõudu	h o u d u
kogemus	k o g e m u s
ametist	a m e t i s
jaanuaril	y a n u a r i l
veendunud	v e r a d u n u d
Artikli	r t i k l i
Laar	a r
korteri	k o r t e r i
algusest	a l k i o
sina	s i n a
õigust	n a i g u s
ajaga	s u g a
kaotanud	k a o t a n u d
keskel	k e s k
parima	p a r i m a
riikides	r i T i d e
õnnestus	n o* n n e s t u s
avalduse	a b a l d u s e
koolides	o l i d e
lisab	l i a b a
andsid	a n d s i d
Parts	a r c
Meelis	e l i s
dollari	d o l l a r i
senisest	s e n i S a* 7
aset	a s e t
kuuga	k u g a
noortele	n o r t e a
Keegi	e x i
soovitab	s o v i t a b "
tõuseb	t e m e
vallavanem	v a l l a v a n e m
Tõnu	n o* n u
Riik	i
kohas	k o h a c
abilinnapea	a b i l i n t u t " e a
nimetada	n i m e t a d a
a	a
kaitseväe	k a i t e b a g i
võtsid	v o c i d
nendest	n e n d e s
meel	m e
jagada	y a g a d a
Delfi	u l f i
Jaani	a n i
Neid	e i d
Harju	a r C u
vajavad	v a j a v a d
Vladimir	l a d i m i*
teenis	% t e n i s
Venemaaga	i n i m a a g a
ametisse	a m e t i s s e
arvestades	a r b e s t a d e
fraktsiooni	f r a k c i o n i
kõvasti	k o i b E s t i
novembril	n o p e m u mb~ r i l
süsteemi	s 3 s t a i m i
usub	u s u b
Tegemist	E g E m i s
inimestega	i n i m e s t e g a
kohapeal	k o h a  a l
ollakse	o l l a k s e
osalenud	o s a l e n u d
parema	p a r e m a
moel	m o
suunatud	s u n a t u d
sunnitud	s u n n i t u d
tulumaksu	t u l u m a k s u
vältida	v 3 l t i d a
määral	m 3 r a l
sõda	s o d a
teeme	t a i m i
küsib	k 3 s i
lõi	l o i k
teenida	% t e n i d a
tunni	t u n i
Hiiumaale	i u m a l e
Paljud	a l h u d
autot	a u t o t
vabariigi	v a b a r i i g i
Oli	l i
tuhat	a t
ilmunud	i l m u n u d
tahetakse	t a h e t a k s e
väitel	v 3 i t e l
jõua	h o i
saime	s e i m e
vahepeal	v a h e p e a l
pikka	p i k
Galerii	a l e r i
juhib	x u h i
astuda	a s t u d a
Palju	a l C u
esimesed	e s i S e d
kiiremini	k i r e m i n i
vaadates	v a a d a t e
jaanuar	y a n u a r
kõne	k o i n e
saates	s a a t e
paistab	p a i s t a b "
saad	s a
huvides	h u b i d e
kellelegi	k e l l E l E g i
Tallinnast	o l  s d a
pealugu	p e k e u
Eestil	e s t i l
poiss	pw~ a s
Õhtuleht	h t u l e h
kasv	k a s
pannakse	p a n % n a k S e
äri	r i e
detsembril	d e t e mb~ r i l
keskmiselt	k e s k m a s l 3
kool	k o L
Suur	u r
avab	a b a b
liidu	l i d u
valiti	v a l i t i
väärt	v E r
Arnold	r n o l
Piiskopkond	i s k o p k o n d i
õppima	n a p k u
Marko	a r X u
meelt	m e
konverentsPeapiiskopi	q o n i k e r e n c  a p i s k u p i
küla	k 3 l a
pildigaVaimulike	p i l d i g a i l i k e
poliitiline	p o l i i t i l i n e
valimisedTeated	v a l i m z o e a t e d
Ain	i n
kirjutatud	l h u t a t u d
ajalugu	s u t u
arutelu	a r u t e l u
selgitada	s l 3 k i t a d a
kulub	k u l u f n
poliitilise	p o l i i t i l i s e
Seni	e n i
pikk	p i k
vahendusel	v a h i e l
võimaldab	v o i m a l d a b
väiksem	v 3 i k s e m a
kehtib	k e h t i
kuskil	k u s a q i l
erakondade	e r a k o n d a d e
nõu	n u u
toimuvad	t o i m u b a d
juuli	x u
november	n o p e m u mb~ e r
omad	d i b
Putin	u t i n
filmi	b i l m i
kaitsta	k a i s t a
teisele	t e a s l 3 e
lahendus	l a h e nd~ i
võitnud	v o i t n u d
hoiab	h o i a b "
suuruse	s u r u s e
Siiski	i s k i
selliste	s e ly~ i s t e
ükskõik	3 k s k o i k
pärastlõunal	p 3 7 r a s L o u n a l
järgmine	E n k i m
kahel	k a h e l
loo	l o
parandada	p a r a n d a d a
vahendas	v a h e n d 3 s
käisid	k a i s i d
Igal	g a l
autoga	a u t u q a n
ilm	i l m
jätab	x o t a b "
kohtumine	k o h t u m i n e
niivõrd	n i Ng~ e o* r d
kõigest	k o i k g 3 s
ettevõtted	e t u s n a k
süüa	s 3 3 a
lõppes	l o p p e 7 e s
Saksamaal	a k sw~ a l
majandus	C i d u s
teatab	t e a t a b "
sellesse	s e m u S 3 s a
esimeses	e s i S e
Jeesus	e u s
korralikult	k o r a l i k r u
sooja	s o h a
ajaloo	s u l o
juuni	x u n
Lätis	3 t i s
km	k m
Sinu	i n u
asjade	a s j a d e
komisjon	k o C u w cx~ o*
Mullu	u L u
andmeil	a nd~ y E p i s o
meetri	m e E t r i
pilte	p i l t e
Ilvese	l i N e s e
Võib	o i k
autor	a u t o r
keskuse	k e s k u s e
kestnud	k e s t n u d
omavalitsuse	t a v a l i c u s e
muusika	m u s i k a
demokraatia	d e m o k r a a t i a
saalis	s a l i s
suureks	s u r e k
õiguse	n a i g u s e
Komisjoni	o C u w cx~ o* n i
tööandja	h a t 3 a j a
nimetas	n i m e t o s
palun	p a l u n
ääres	3 r e
detsember	d e t e mb~ e r
oktoober	o o k
otseselt	o c e s l 3
suurima	s u r i m a
suurendada	s u r e n d a d a
viimaste	v i i m a s t e
kaasas	k a s a s
jätnud	x o t n u d
pealinna	p e a l i n t a
presidendiks	p r e s i d e n d i k
küsimuse	k 3 b u p u s e
Estonian	s t o n i a n
välisminister	v 3 C i w m i n i s t e r e n
Peale	e a l e
ehkki	3 l o k i
kommenteeris	k o m e n t e r i s
inimesel	i n i m e s
sünnipäeva	s i n i p 3 7 e v a
pidama	p i d a m a
plaan	p l a y i
venelased	f e n e l a s 3 d
Mõni	n o* n i
peaministri	p e a m i n i s t r i
töötada	h a t 3 d a 7 t a d a
Ühe	e
Rootsis	o c i s
aidanud	a i d a n u d
näol	n 3 o l
pikalt	p i k a l t a s
pääses	p 3 e
isiklikult	i s i k l i k r u
mõistis	m o i s t i s
teele	% t e l e
kuhugi	k u h u g i
maailm	m a i t m
sealhulgas	s e a l w l x a s
esileheküljele	e s i l e h e k l E l e
projekt	p t o n o x e k
tasemele	t a s e m e l e
Trumpi	r u m p i
avaldatud	a b a l d a t u d
gümnaasiumi	N m n 3 a s m i f a l a
juulil	x u l i l
tõde	t e m d e
Teiseks	e z o k
Riigi	i g i
autode	a u t o t e
hääli	h 3 l i
kasutatud	k a s u t a t u d
rääkima	r 3 k i m a
Briti	r i t i
Laari	a r i
endal	e n d a l
räägivad	r 3 g i v a d
küsimustele	k 3 b u p u s t e a
tahame	t a h a m e
nägi	n 3 g i
seegi	s e x i
hinnata	h i n n a t a
kohalik	k o h a l i k
pilt	p i l v
ruumi	r u f a l a
hakkasid	h a k a s i d
uksed	u k s 3 d
muid	m u i
tonni	t o n i
Ants	c
Käina	3 i n a
kaugele	k a u g e l e
süsteem	s 3 s t i 3 m
esitanud	e s i t a n u d
inimestest	i n i m a* 7 a* 7
kasulik	k a s u l i k
osales	o s a l e
tahan	t a h a n
tulemusi	t u l e m u s i
Türgi	3 r g i
parimad	p a r i m a d
ülesanne	u l e s a* n e
Õnneks	a n n e k
Rõivas	n a i v a s
lubanud	l u b a n u d
kutsuda	k u c u d a
Tõsi	n a s i
arvamus	a r v a m u s
häält	h 3 l
omanikud	o m a n i k u d
tõusu	t e m u s u
valis	v a l i s
pika	p i k a
öeldud	o e l d u d
Huvitav	u w i t a
kulud	k u l u f n d
pidid	p i d i d
astub	a s t u b
temast	t e m s d a
alustanud	a l u s t a n u d
nõnda	n u nd~ a
oodatakse	d a t a k s e
meeldi	m e e l d i
nägu	n 3 x u
õnneks	n o* n n e k
maantee	m a n t i 3 n
maksis	k s i s
nimelt	n i m e l
Oleks	l E k E
ohtu	o h E t u
õpetajad	n a p e t a q d
seisuga	s e i s u g a
edukalt	e d u k a l t a s
kl	k
loobuda	l o d a
ameti	a m e t i
kaugel	k a u g e l
Kalle	a l
kaitse	k a i 5 u
niisama	n i s a m a
soovinud	s o v i n u d
väitis	v 3 i t i s
Lauri	a u r u
lahkunud	l a h k u n u d
lastega	l a s t e g a
tänaseks	t 3 n 3 s o Nw~
Moskvas	o s k v a s
välismaal	v 3 C i w a l
vastupidi	v a s t u p i d i
Peaminister	e a m i n i s t e r e n
ajab	c a b "
elav	e l a
suhted	s o k i 3 d
asus	a s u s
saavutada	s a a b u t a d a
september	s e p t e mb~ e r
toona	o
konkursi	k o nk ~ u r S i
tubli	t u b l i
tulevikku	t u l e v i k k u
ehitatud	e h i t a t u d
samm	s a m m
alal	a l a l
Tanel	a n e l
ametnikud	a m e t n i k u d
saadetud	s a a d e t u d
vastab	v a s t a b "
Mees	e s
kontrollida	k o nt~ r o l l i d a
leidub	L e i d u b
lubada	l u b a d a
rahulikult	y a w a l i k r u
avada	a b a d a
ametis	a m e t i s
juhtis	x u h t i s
kinnisvara	k i n a n i S v a r a
leidsid	L e i d s i d
sõbrad	s o o* a d
valesti	v a l e s t i
juhtinud	x u h t i n u d
seadust	s e a d u s
meeles	m e e l e
au	a u
niimoodi	n i d i i
avas	a b a s
julge	x u l 3 k
otsustanud	c u s t a n u d
uues	u m 3 s
võim	v o i m a
joobes	h o b e sy~ s
mõistlik	m o i s t b u C o
oligi	o l i g i
puudu	p u u d u
tunnistab	t u n n i S th~ a b "
võimatu	v o i m a t u
riigieelarve	r i g  i e l a r v e
Uue	u e
igale	i g a l e
külge	k 3 l g e
Arvan	r w a n
korraldab	k o r a l d a b
muutus	m u t u s
mäng	m a g N
vangi	v a n g i
õpetajate	n a p e t a j a t e
ettevõtja	e t u s n a k j a
jääma	h 3 m a
rahvusvahelise	r a h s i k v a h e l i s e
võit	v o i t
olev	o l e v
teeninud	% t e n i n u d
kõikide	k o i k k i d e
tundus	t u n d u s
vett	f e d
eestlasi	E k 3 n C a s i
jagu	h 3 g g u
näide	n 3 i d e
kutsutud	k u c u t u d
õnne	n o* n n e
kommentaaride	k o m e n t a  i d e
puutub	p u t u b
tean	t e a n
teistest	t e i s t e s
põhjusel	p o h u s
sündmuste	s 3 nd~ s t e
väljaspool	v 3 lx~ a s p o l
lihtsam	l i h c a m
olegi	o l e g i
plaani	p l a y i a n i
Ratas	a t a s
Võrus	o* r u s
riigist	r i i g i S
sõnu	s n o* n u
Pealegi	e a l e 7 i
lüüa	l 3 3 a
talvel	t a l v e l o
niigi	n i i g i
aegade	a g a d e
elust	e l u s
Esimene	s i m E n E
jääks	h 3 k
tunnistada	t u n n i s t a d a
KirikEsilehe	i r i g s i l 3 e
nõuda	n u d a
tahtis	t a h t i s
mai	m a i
palus	p a l u s
toimuval	t o i m u w a l
avatakse	a b a t a k s e
jaanuaris	y a n u a r i s
leping	l e p i N
pihta	p i t
vajadust	v a j a d u s
vastus	v a s t u s
Pigem	i g e m
lähiajal	l 3 nt~ a q
vastata	v a s t a t a
Ansipi	s i p i h
naist	n a i s
aitas	a y t o s
näitavad	n 3 i t a v a d
poliitikute	p o l i i t i k u t e
räägitakse	r 3 g i t a k s e
osaleb	o s a l e
peatreener	p e a t r e 3 n 3 q
näidanud	n 3 i d a n u d
tegeleb	t e g e l e
enim	e n i m
tutvuda	t u t  d a
maksumaksja	k s u m a k s a q
poisid	pw~ a s i d
aktsiate	a k c i a t e
nimekirja	n i m r j a
määratud	m 3 r a t u d
rahule	y a w a l e
tekitanud	t a k i t a n u d
vee	v e r a
ajakirjanik	s u l j a n i k
kirjutanud	l w a t t a n u d
püsti	p 3 s t i
Äripäeva	r i p 3 7 e v a
märksa	m a g r k s a
tänase	t 3 n a s e
maavanem	m a a v a n e m
muudab	m u d a b
vanad	v a n a d
Vähi	E h t i i
saabunud	s a a b u n u d
asjaolu	a s
kommentaar	k o m e n t a r
käsi	k a e S i
mnt	m a 5 a
küsimuses	k 3 b u p u e
muuseumi	m u s e u m i
sõlmitud	s o l m i t u d
Kiriku	i r i k u
Tundub	i
kõigepealt	k o i k g e p e a l t a s
koalitsiooni	k o a l i C i o n i
laulu	l a u l u
usun	u s u n a
kampaania	k a m a n i a
Iraagi	r a g i
Nõmme	o m
avalikkuse	a b a l i k k u s e
suve	s u b e
Anne	a n n e
jälgida	x o l 3 k i d a
päevas	p 3 7 e b E s
endi	e n d i
ühtlasi	S i  L a s i
otsustab	c u s t a b "
vaata	v a a t a
vahetada	v a h e t a d a
oht	o h E
enamus	e n a m u s
keelatud	k e e l a t u d
näeme	n 3 e m e
samamoodi	sw~ d i i
suutis	s u t t i s
Te	e
kogus	k o g u s
kroonini	k r o " w i n i
palub	p a l u b "
tunnevad	t u n p i r a d
vajadusel	v a j a d u s
pooled	p o l e d
Ehkki	h k i
kahtlemata	k a k i l e m a t a
positiivne	p o s i t i Ng~ e n e
teoks	t e 7
turule	t u n u l e
ülevaate	u l e b E a t e
Enn	n n
huvide	h u b i d e
koolide	o l i d e
Küllap	u l a p
hulga	h u l g a
müüki	m 3 3 k i
roll	r o l o
vanem	v a n e m
kallis	k a l i s
kesklinnas	k e s k l i n t 3 s
rääkinud	r 3 k i n u d
tõus	t e m u s
Ott	t
arvavad	a r v a v a d
kogemusi	k o g e m u s i
müük	m 3 3
sattus	s a t t u s
ühise	S i  s e
Põltsamaa	n a l t sw~ a
kodust	k o t u s
seisma	s e i s m a
Venemaalt	i n i m u t a l t a s
kohtumisel	k o h t u m i s
kohustus	k o h u s t u s
surnud	s u r n u d
arengu	a y 3 N u
omale	u m o l e
vajalikud	v a q  k u d
viimast	v i m s d a
arvelt	a r v e l o v e
laiali	l a i a l i
sõja	s o j a
Kalevi	a l e v i
kujunenud	k u h u n e n u d
tuhande	a nd~ e
direktori	d i r e k t o r i
peadirektor	p e a d i r e k t o r
uskuda	u s k u d a
Rüütli	3 u t l i
tööga	h a t 3 g a
astus	a s t u s
vajadus	v a j a d u s
pank	p a n
riigil	r i i g i l
viisil	v i s i l
õigeks	o i k g u d o l o
jõud	h o u d
kukkunud	k u k k u n u d
mitmel	m i t m e l
normaalne	n o r m a l n e
kasutamise	k a s u t a m i b s e
olulisem	 l i s e m a
Tamm	a m m
kaotada	k a o t a d a
paljudele	p a l b u d e l e
viidud	v i d u d
Rakveres	a k e r e
Vabaduse	a b a d u s e
peamine	p e a m i n e
pöörduda	p a t 3 o d a
Itaalia	t a l i a
mõtteid	m o t t e i d
raamatu	r a m a t u
riikliku	r i i k l i k u
Tartusse	i t u s s e
avaldada	a b a l d a d a
küllalt	k 3 L a l t a s
ligikaudu	l i g i k a u d u
tegelema	t e g e l e m a
IRLi	i
harjunud	h a r h u n u d
kombel	m i b e l
anonüümsete	a n o n 3 m 3 e t e
lapsele	l a p s l 3 e
oskab	o p 3 l 3 m
põles	p o l e
Ikka	k
ettepanek	e t p a i k
kesklinna	k e s k l i n t a
maakohus	m a k o h u s
uurida	u r i d a
august	a u g u s
Küsimus	3 b u p u s
kindlaks	k i d e L o k
värske	v r i e s k e
kannab	k a n a b "
käive	k a i v E
uudis	u d i s
jõudsid	h o u d s i d
ostis	o s t i s
tekitas	t a k i t 3 s
vesi	f e s i
arutada	a r u t a d a
erakonda	e r a k o n d a
väita	v 3 n e n
Rahvaliidu	a h v a l i d u
kiirabi	k i r a b i
näib	n 3 Ch~ o
Toivo	o i v o
läheks	l E h t i Nw~
mure	r e
pidasid	p i d a s i d
viinud	v i i n u d
Kersti	e r s t i
Sergei	e r g e i
kirikusse	k i r i k u s s e
vaatab	v a a t a b "
hinge	h i N a
rääkimata	r 3 k i m a t a
sõnad	s h o* 5 a d
uueks	u e k
Saaremaal	a r e m a l
algust	a l k i s d a
praeguseks	p r a e g u s Nw~
turg	t u r
vähenenud	v E h t i i N o n u d
rajada	r a j a d a
õpilaste	n a p i l a s t e
keel	k e
näevad	n 3 p i r a d
teadnud	t e a d n u d
teenuste	% t e n u s t e
haigekassa	h a i g e k a s a
tõsine	t e m s i n e
Putini	u t i n i
meedias	m e n d i a s
tervise	t E r i s e
planeeritud	p l a y i S i n i t u d
püsib	p 3 s i
saadi	s a a d i
Mihkel	i h
Otepää	t e p 3
kriminaalasja	k r i m i n a l a s a q
Esiteks	s i t e k
isik	i s i k
erilist	r i l i s
sajandi	s a j a n d i
Kaljulaid	a lx~ b e i
tekitatud	t a k i t a t u d
koondise	k o d i s e
koguduste	k o g u d u s t e
Eelmise	e l m i s e
Reedel	e n d
liigub	l i i g u b
peapiiskop	p e a p i s k o p
kodanik	k o d a n i k
kõva	k o i v a
suhelda	s o k e l d a
suhtumine	s o k i i m i n e
vabalt	v a b a l t a s
juhtima	x u h t i m a
soovis	s o v i s
valitsusele	v a l i s e l e
Liitu	i t u
kaustas	k a u s t o s
lahendusi	l a h e nd~ i
lahkus	l a h k u s
puudus	p u d u s
Kesknädal	p i p 3 l 3 n 3 d a l
Prantsusmaa	r a n c u s a
ettevõtjad	e t u s n a k j a d
inglise	i N l i s e
peasekretär	p e a s e k r E t a r
kuul	k u
põhjendas	p o o x e n d 3 s
vallavolikogu	v a l l a v o l i k o x u
mehi	m e h i
paremad	p i t u m a d a r
vigastada	v i g a s t a d a
aitavad	i t a v a d
külma	k 3 l m a
leiavad	L e i a v a d
võin	v o i n
tuhandeid	a nd~ e i d
võimule	v o i k l e
Tiina	i i n a
jama	y a m a
mõnel	m o a gw~ a
olime	o l i m e
Päevaleht	3 p i r a l e h
intervjuus	i n t E r i xy~ u s
äsja	a e S j a
liiget	l i x e t
registreerida	r e g % l u z i e r i d a
artikli	i t i k l i
maakonnas	m a k o
otsas	c o s
politseinikud	p o l i t e i n i k u d
sellisel	s e m u S a s l 3
silmis	s i l m i s
Lennart	e r
tn	t n
töötavad	h a t 3 t a v a d
avati	a b a t i
makstakse	k s t a k s e
naisi	n a i s i
eemale	e m a l e
käe	k a e
silmad	s i l m a d a r
võita	v o n e n
kallale	k a l a l e
sobi	s o b i
asunud	a s u n u d
suudavad	s u d a v a d
ametlikult	a m e  k r u
kontsert	k o nt~ a b e r
kuuluv	k u l u
osaliselt	o s a l a s l 3
soovitas	s o v i t a s
tulemusena	t u l e m u s e n a
Kristjan	r i S th~
Tänu	3 n u
vanemate	v a n e m a t e
Usun	s u n
kogenud	k o g e n u d
ohtlik	o h E L i k
saagi	s a g i
amet	a m e t
Nõukogu	n a u k o x u
Olgu	l g u
korteris	k o r t E r i s
mängib	m a g N i
Kell	E l o
ootamatult	o t a m a t u l
kaela	k a e l a
andmeid	a nd~ m e i d
makse	k s e
veebilehel	v e r e  l e h e l
Salumäe	a l u m a g i
klassis	k l a s s i s
millise	m i l l i s e
vahe	v a e
omaniku	o m a n i kw~ a
parlamendi	p a l a m e n d i
ütlevad	u t l e b E d
Liidus	i d 3 s
avalike	a b a l i k e
heas	h e 3 s
juhtide	x u h t i d e
mehele	m e h e l e
pankade	p a n k a d e
riigikogus	r i i g i k o g u s
valitsuses	v a l i s e
New	e w a
aktiivselt	a k t i v s l 3
esmakordselt	e s m a k o r d s l 3
keskmise	k e s k m i s e
ajas	s u
andmed	a nd~ y m 3 d
kõrvalt	k o i g a r 3 a l t a s
oleva	o l e v a
