të	t 3
mesin	m e s i n
grua	g r u a
fakti	f a k t i
sezonin	s e z o n i n
qindra	q i n d r a
brendshme	b r e n d S m e
minutën	m i n u t e n
takuar	t a k u a r
Lëvizjes	3 p i t e  i
kompanisë	m i p a n i S 3
Teatrit	e a t r e
nis	n i s
ekipit	r p i t
negativ	n e g a t i
ndeshjes	n a m a k i
kuptuar	k u p t u a r
pamundur	p a m u nd~ u r
qëndruar	q 3 n d r u a r
vërtet	v E n r t e
Greqi	r E i r a
Merkel	E a X
Kinës	i
fazën	f a z a n
interes	i n t e r e
dhëna	dh~ 3 n a
krimit	k r i m i t
sigurisht	s i g u r i sC~ t i
njëjta	T a t a
banorët	b a n o r e
mungesë	m u N e s 3
Aktualisht	k t u a l i sC~ t i
vesh	f e S
Përmes	3 r 8 i m 3 s
pika	p i k a
punonjësit	p u n T a s i t
Evropa	v a z i
banorë	b a n o r 3
vjeçar	v  a r
familja	b o m e L a
klubi	k l u b i
grupit	g r u p i t
ndonjëherë	d o T a i* 3
turke	t u r k e
Vjosa	j o s a
huaja	w a h a
kryeministrin	k r e m i n i u z i n
vlerësuar	v l e r e s u a r
drejtori	d r e h t o r i
Prizren	r i z r e n
gjendjes	gy~ e g o s
prekurve	p r e k u r v e
to	t o
duam	d u a m
teste	t e s t e
këmbë	k b b 3
marrëdhëniet	m a* r 3 8 3 n i e t
sy	s
dakord	d a k o r d
djali	d q
negociatave	n e g o k a t a b e
procesit	p r o k e s i t
ndihmën	n t i 7 m a n
vështirësi	v E n sC~ t i  r e s i
Gjykatën	hy~ k a t e n
ashpër	n a N t a N a p i r
drejtat	d r e h t a t
tetë	t e t 3
data	d a t a
shkelje	S k e l e
krahasim	k r a h a s i m
politikës	p o l i t i k 3
gjysmë	g hy~ s m 3
listën	l i s t e n
shohin	S o h i n
futur	f u t u r
kompanitë	m i p a n i t 3
Arsimit	r m i t
spitalet	s p i t a l e t
shoqëruar	S o x 3 r u a r
mbajë	b a 3
krejt	k r E
largohet	l a r  h e t
mëngjes	m E N i
diskutuar	d i s k u t u a r
zbatimin	z b a t i m i n
kushtetuese	w o j  t e t u e s e
kryetar	k r e t a r
Infektive	n f i v E
fuqishëm	f u g w i S b
kompania	m i p a n i a
Pavarësisht	a b a r e s i sC~ t i
Rusia	u s i a
Publik	u b l i k
akuzuar	a k u z u a r
luftuar	l u f t u a r
parandalimin	p a r a nd~ a r i m i n
shkolla	S k o d L a
Franca	r a n k a
jashtme	y a s k i m e
ngushtë	N u S t 3
foli	f o l i
prindërit	p ry~ nd~ 3 r e
kërkohet	k 3 r k o h e t
enjten	E nj~ t e n
kriza	k r i c a
Enver	n v e r i
vëmendjen	v E n m e n d h e n
fillon	b i l l o n
njëherë	T a i* 3
sotëm	s o y m
Dua	u a
gjuhën	gy~ u h a n
vendimit	f e n d i m i t
Speciale	p e k i a l e
Ahmeti	m e t i
fotografi	f o t o g r a f i
territorin	t e r i t o r i n
gola	k o r a
mbledhjen	b l e d i
mend	m e n d
politika	p o l i t i k a
sistem	s i s t e m
botërore	b o y r o r e
gjithe	gy~ i t e
ma	m a
mërkurën	m E r k u r e n
policore	p o l i k o r e
vëmendje	v E n m i j e
kudo	k u d o
njoftim	nj~ o f t i m
nënshkruar	n 3 n S k r u a r
sheh	a S i
kërkesat	k 3 r k e s a t
arsyeja	a r S e h a i
shërbim	e r z i m a
gratë	g r a t 3
shpejti	s p e q t i
shtetas	S t o s
Bashkimi	a S i k i m i
plagosur	p l a y i g o s e
Evropës	v o p e
marrim	m a* r i m
Bashkuar	n a N t a N a kw~ a r i
mirëpo	m i r 3 p o
shkollat	S k o l l a t
mire	m i r
ndihmojë	n t i 7 mw~ o c 3
mendojnë	m e n d o x n E
shtruar	S tr~ a r i
Maqedoni	a q e d o n i
fjalën	fy~ a dl~ a n
bëra	b e r a
ngjashme	N gy~ S m e
dielën	d i e l 3 n
mjekëve	m h k 3 v e
epidemisë	a p i d e m i s 3
shfaqur	S f a q u r
vlera	v l e r a
anëtarët	a n 3 a r e
Gjermanisë	h e r m a n i S 3
etj	a S i
njëjtë	T a t 3
popullsisë	p o p u L s i s 3
cilave	i l a v e
le	l e
njihet	j E h e t
rritjes	r th~ i
Publike	u b l i k e
krizë	k r i z 3
presim	p r e s i m
marrëdhënie	m a* r 3 8 3 n i e
biznesit	b i z n e s i t
lëvizjes	l 3 p i t e  i
planin	p l a y i n i n
negative	n e g a t i v E
gjithëve	gy~ i t e v e
tregun	t r e g u n
sytë	s 3 t 3
mbrojtjes	mb~ r o h th~ i
rrit	r i t
veshur	e S u r
Shteteve	h t e t e v e
pasojat	p a z a s a t
javës	y a v E n
shenja	S e n j a
postim	p o s t i m
rajonit	r a x o n i t
rrugës	r e 3
Se	e
lojtarë	l o h t a r 3
krijimin	k r e m i n
pozitivë	p o z i t i b 3
megjithëse	a w a n b th~ e s e
ra	r a
Drejtori	r e y o t o r i
ekip	r
lejuar	j w a r
martën	m a* r y n
mbyllura	b y L u r a
mungesa	m u n g 3 s a
ofruar	o f r u a r
ide	d e
Këtu	3 u
Anadolu	n a d o l u
Bëhet	3 h e t
ndihmojnë	n t i 7 m o x n E
çështjet	e s th~ i
jete	h e t e
shtëpitë	S t 3 p i t 3
Greqisë	r E g w i h s 3
civile	i v i l e
rrjetin	r o x e t i n
kontakt	k o nt~ a k
mëngjesit	m E N o x e s i t
Vuçiq	u i
pësuar	a p i t a r i
Agency	g e n ky~ o
sëmurë	o T a n 3
vërteta	v E n r t e t a
zjarri	z y a r m i
ekspertët	e k 8 p e n e r y
europiane	u o p i a n e
Europës	u r o p e
Kujtojmë	u h t o h m 3
privat	p r i v a t
respektojnë	r E 8 p e n e k t o x n E
flasin	f l a s i n
rol	r o l
përgjigjet	a p i r gy~ i gy~ e t
veprime	f e p l i m e
Arben	r b e n
shenjë	S o k 3
shkurtër	S  y r
solli	s o l l i
shfaqet	S f a 7 e t
partia	p e r t i a
njëjtin	T a h t i n
zgjedhor	z gy~ e d o r
përpjekjet	a p i r ph~ Nw~
sesi	s e s i
zakonisht	z a q o n i S t i
Autoritetet	u t o r i e th~ e th~
Real	e a l
deputetë	d e p u t 3
sezonit	s e z o n i t
fillojnë	b i l l o x n E
arrin	m a n i n
dëgjuar	d 3 g w a r
njerëzore	n o x e r e z o r e
kërkim	k 3 r k i m a
raportin	r a p o r t i n
propozuar	p r o p o z u a r
drejtësi	d r e h y s i
metra	m E t r a
përgjatë	a p i r gy~ a t 3
vendimet	f e n d i m e t
infeksionit	i n f k S i o n i t
drejtuesit	d r e h t u e s i t
shëndetësisë	S 3 n d e t e s i s 3
themi	th~ e m 3 i
nesh	n e S
zoti	z o t i
jeton	h e t o n
president	p r e s i d e n t
dhjetë	dh~ E t 3
fitoi	f i t o i
ajrore	c r o r e
mundshëm	nd~ e m
veprimet	f e p l i m e t
kalojë	k a l o h 3
rrugët	r e 3
shkoi	S k o i
marrëveshja	m a* r 3 e S j a
trajtuar	a h t u a r
Isa	s a
saktë	s a q t 3
varet	v a r e t
Kurtit	u r t i
Ndaj	d a x
Shqiptarët	h e i p t a r e
koalicionit	k o a l i i o n i t
punonjës	p u n T a
Sigurisht	i g u r i sC~ t i
o	o
mi	m i
grek	g r e k
pritje	p ry~ jw~ e
muaji	m u a h i
shkollë	S k o d L 3
Gazeta	a z e t a
Te	e
natës	n a t 3
rezultatin	r d u l t a t i n
vetes	f e t e
rikthyer	r i k th~ w u r
vendime	f e n d i m e
Njerëzit	h e r e z i t
gjakut	gy~ a k u t
blerë	b l e r 3
arrijnë	m a n i j
pavarur	p a b a r u r
kufijve	k u f i j v e
Bruksel	r u k s
Turqi	u r q
tregtare	t r e g t a r e
përputhje	a p i r k th~ e
hyjnë	h i L
sëmundjes	o nd~ i
titullin	t i t u l l i n
Mendoj	e nd~ o h
ndërmarrë	nd~ 3 r m a r 3
Manchester	5 u k u n C e s t e r e n
forcë	f o r k 3
shtunën	S t u n E n
marr	m a r
miqtë	m i k t 3
shpërndarë	S a p i r n d a r e 3
ty	t
dini	d i n i
here	h e r e
veprën	f e p r e n
kohësh	k o h e s
francez	f r a n C i e z
rritja	r i y a
Pa	a
mbrëmjen	mb~ r b i
testime	t e s t i m e
pandemie	p a n d e m i e
Barcelona	a r k e l o n a
League	E w e a
da	d a
konsiderohet	q o n i k i d e r o h e t
fjalët	fy~ a dl~ 3
përdorin	a p i r d o r i n
qasje	q a s e
muajsh	m u a S
Durrësit	u r e s i t
vdekjen	v d e k i
babai	b a b a i
Express	S p r e s
Këta	3 t a
ndërtimin	nd~ 3 r t i m i n
ndihmon	n t i 7 m o n
njëra	T a r a
fitoren	f i t o r e n
planifikuar	p l a y i  a kw~ a r i
shoh	S o
ulëta	u l 3 t a
Europa	u r o p a
The	e
Ditën	i t e n
Ramën	a m a n
Gashi	n a N t a N
kërkesën	k 3 r k e s a n
pushtetit	p u S t e t i
terren	t e r
qytetar	qy~ t a r
shoqërisë	S o x 3 r i s 3
synon	s 3 n o n
aktual	a k t u a l
kryetarit	k r e t a r i t
përgjigjur	a p i r gy~ i gy~ u r
vinte	v i nt~ e
njoftimin	nj~ o f t i m i n
vlen	v l e n
qetë	E t 3
ekonomia	e k o n o m i a
shtyp	S T p
deputetët	d e p u t e
deputetëve	d e p u t e v e
përdoret	a p i r d o r e t
kapur	a h i
sigurinë	s i g u r i
vetmja	f e d m j a
kontrollit	k o nt~ r o l l i t
merrte	m e r t e
tifozët	t i f o z 3
faqen	f a 7 e n
flasim	f l a s i m
votuar	v o t u a r
ndikuar	n t i k u a r
luan	l u a n
qyteti	qy~ t e t i
tërmetit	y s a y m 3 t i
vaksinës	v a k S i
zyrtarët	z r t a r e
Lëvizja	3 i z y a r m
Ora	r a
Veliaj	e l i a x
cdo	k d o
anëtar	a n 3 a r
keqe	k e k E
kriminale	k r i m i n a l e
mbahen	b a h e n
përgjithësi	a p i r gy~ i th~ e s i
anëtarë	a n 3 a r 3
pamje	p a m e
shënoi	S 3 n o i
amerikanë	a m e r i k a n E
seancën	s e a*  a n
dëmtuar	d b t u a r
popullin	p o p u l l i n
Na	a
ishim	i S i m a
politikën	p o l i t i k a n
shpejtësi	s p e q y s i
kaloi	k a l o i
përtej	a p i r t a
shkroi	S k r o i
vazhdueshme	v a z h dw~ i  m e
distancë	d i s t a n C i 3
informacion	i n h i o n
vaksinë	v a k S i
masive	s i v E
presion	p r e s i o n
lufte	l u f t e
Institutit	s t i t u t i
kufitare	k u f i t a r e
profesionale	p r o f i S i o n a l e
hapësirë	h a p e X a 3
lojtar	l o h t a r
shërbimeve	e b i r e  e v e
Prokurorisë	r o k u r o r i s 3
Shkodrës	h o d r e
skuadrën	s k u a d r e n
përballen	a p i r C i C l e n
Francë	r a n C i 3
jepet	h e p e
miliona	m i l i o n a
kaluara	k a l u a r a
përfaqësues	a p i r f a 7 e s u e
Pastaj	a s t a x
beson	b e s o n
përgjithshme	a p i r gy~ i t S m e
studim	s t u d i m a
tërësisht	y r e s i sC~ t i
parandaluar	p a r a nd~ a r u a r
treg	t r e
lë	l 3
momenti	m o p i N t i
kokë	k o k 3
ndjeshëm	g o e m
ndodhen	d o d 3 n
Kryemadhi	cy~ e m a d i
ndikim	n t i k i m
ardhurat	a r d u r a t
mbrëmje	mb~ r b e
emrat	e m n a
periudhe	p e r i u d e
Drejtësisë	r e y o y s i s 3
pare	p a r e
Qeverinë	e e r i
humbi	h u m b i
mjeku	m i kw~ a
shtetasit	S t a s i t
Lartë	i t 3
caktuara	k a k t u a r a
Koronavirusi	o r o n a b i r u s i
mbushur	 S u r
përse	a p i s e
krah	k r o h
energjisë	e n e r gy~ i s 3
mesatare	m e s a t a r e
nëntorit	n 3 n t o r i t
zhvillim	z h v i l l i m
reagim	r e a s i k e h
rezulton	r d u l t o n
intensive	i n t e ns~ i v E
izoluar	i z o l u a r
rrezikshme	r m u  k S m e
merrni	m e r n i
shifra	S i f r a
Aty	t
elektrike	e l e k t r e k e
fizik	f i
makinë	k i
zë	z 3
financiar	f i n a n C i w a r
muajve	m u a v e
lejohet	j w a h e t
sonë	s o n E
njëjti	T a t i
çështja	e s th~ a
përfundoi	a p i r f u n d o i
sikurse	s i k u r s e
Banka	n
demokratike	d e m o k r a t i k e
gabim	g a b i m
Vendimi	e nd~ i m i
përcaktuar	a p i l a k t u a r
shumicën	S u m i C a n
Tashmë	n a N t a N m 3
mbërritur	b e r i t u r
moshës	m o e
shkollave	S k o l l a v e
bere	b e r e
shëruarve	e r u a r v e
rinjve	r i nj~ v e
masën	s a n
vazhdojmë	v a z h d o h m 3
veç	v
ndryshojë	ndr$ o h 3
shkollës	S k o l l 3
shqetësuar	S E y t a r i
Rreth	r e t
izolim	i z o l i m
projekte	p t o n o x e k t e
pikat	p i k a t
Kurse	u r s e
Situata	i t u a t a
shumti	S u m t i
mjete	m o x e t e
lufta	l u f t a
përmendur	a p i s a y m 3 r
trupin	t o u p i n
urdhër	u r d e r
Filipçe	i l i p e
besim	b e s i m
kusht	k u sC~ t i
ruajtur	r u a h t u r
drejta	d r e h t a
rezultate	r d u l t a t e
Kushtetutës	u s t e t u y
rruga	r u g a
Shtëpinë	h t 3 p i
News	e w
reale	r e a l e
shqipe	S g w i p e
komuna	m i u n a
ministrja	m i n i s t r j a
rekord	r e k o r d
verës	e r e
vrasjen	v r a s i
korrupsionit	k o r k i n s i o n i t
Bashkisë	a S i k i s 3
mjaftueshme	m b u l a b t u e S m e
lart	l a r
planet	p l a y i n e t
Ali	l i
autoriteteve	a u t o r i t e t e v e
kosovar	k o s o w a r
sulm	s u l m
vepra	f e p r a
ndryshimin	ndr$ y S i m i n
lojës	l o T a
kënaqur	k 3 n a q u r
pranoi	p r a n o i
diku	d i k u
negociatat	n e g o k a t a t
bëhej	b e n C i s
energji	e n e r gy~ i
pandemi	p a n d e m i
thoshte	th~ u t e
biznese	b i z n e s e
kampion	k a m p i o n
materiale	m a t e r i a l e
secili	s e i l i
Ti	i
vaksinën	v a k S i  n
brendshëm	b r e n d e m
qershorit	E r T u r e
quhet	k h e t
takime	t a k i m e
Agim	g i m
ekipet	r p e
vetmi	f e d m i
familjare	b o m e L m a x a
trajtimin	a h t i m i n
skuadër	s k u a d 3 r
datës	d a y
Veseli	e s e l i
koalicion	k o a l i i o n
Jugut	t u g u t
rikthehet	r i k th~ e h e t
shkakton	S  k t o n
tregut	t r e g u t
bllokuar	b l l o k u a r
betejën	b e t e T a n
mesme	m e s m e
pasoja	p a s o h a
pëlqen	a p i q e n
komentuar	m i e n t u a r
akuza	a k u z a
pranishëm	p r a n i S b
interesat	i n t e r e s a t
konkrete	k o nk ~ r e t e
rregullt	r e g u L
rrezikun	r m u  k u n
gabuar	g a b 3 r
dobët	d o b e
javët	y a v E n
vlerëson	v l e r e s o n
afërt	a f 3 r
fort	f o r
Komuna	n a
shpëtuar	S a p i t u a r
vendosin	f e n d o s i n
lojtarëve	l o h t a r e v e
lojë	l o h 3
nxënësit	! 3 n 3 s i t
rrallë	r a ly~ 3
tokë	t o k 3
Ndoshta	d o S t i m a 7
përkatëse	a p i a t e s e
Universitetin	n i v e r s i t e t i n
karantinës	k a r a n t i
kuqe	k u k E
këngë	k 3 n g 3
dhjetëra	dh~ h y r a
aktivitetet	a k t i b i t e t e
ditore	d i t o r e
katërt	k a t 3 r
gruaja	g r u a h a
hapen	h a p e n
nëna	n 3 n a
përgjigjen	a p i r gy~ i i
tjerash	ty~ E r a S
Shqiptare	h e i p t a r e
Vlorës	l o r e
ekonomi	e k o n o m i
trajtim	a h t i m
dyshim	o S i m
luajë	l u a 3
parashikuar	p a r a s i k u a r
buxhetit	b u h e t i
listë	l i s t 3
lojtari	l o h t a r i
mbrëmë	mb~ r m 3
ministrit	m i n i s t r e
nisë	n i S 3
sasi	s a s i
ca	k a
familjarët	b o m e L m a x 3
gjallë	gy~ a ly~ 3
rregullave	r e g u y a b e
Ligës	i g 3
besimin	b e s i m i n
kontratë	k o nt~ r a t 3
lirinë	l i r i
ndonëse	d o n e s e
krime	k r i m e
mbajtjen	b a th~ i
njëkohësisht	T a k o h e s i sC~ t i
qytete	qy~ t e t e
Macron	a k r o n
domosdoshme	b o s bw~ S m e
ligjor	l i gy~ o r
sportive	s p o r t i v E
kërkojë	k 3 r k o x 3
lëshuar	l e s 3 r
problemi	p l o b l a e m i
shmangur	S m a n g u r
Këngëtarja	3 n g 3 a r j a
jave	y a b e
ofron	o f r o n
polici	p o l i C i
lidhet	l i d e t
thuajse	8 a w a r k s e
grave	g r a v e
parashikon	p a r a s i k o n
prodhimit	p r o d i m i t
Kanë	a n E
kufizuar	k u f i z u a r
punonjësve	p u n T a s v e
Zoran	o r a
gatshme	g a C m e
lokal	l o
ruse	r u s e
lajmeve	l a h m e v e
mjeteve	m o x e t e v e
thashë	th~ a e
arritën	m a n i t e n
Themelore	h e m e l o r e
protesta	p r o t e s t a
zbuloi	z l o i
Vlorë	l o r 3
fuqishme	f u g w i S m e
gra	h r a h a
punëtorët	p u n E t o r e
direkt	d i r e k
komunës	k o m u n E
grupe	g r b e
La	a
makina	k i n a
nëntë	n 3 n t 3
golin	g o l i n
heqjen	h e k i
Mbi	b i
afat	a f a t
forcave	f o r k a b e
mia	m i a
Deputeti	e p u t
historisë	h i s t o r i s 3
nivelit	n i v e l i t
pajisje	p a h i s e
zemër	z e m E r
deklaratën	d e k l a r a t e n
detyrën	d e t r e n
mbledhje	b l e d e
Jashtëm	n a N t a N y m
dhimbje	T i b e
dhunë	T u n E
kulturore	k u l t u r o r e
zhvillimit	z h v i l l i m i t
Le	e
Organizata	r g a n i z a t a
emri	e m r i
institucion	s t i t u k i o n
periudhës	p e r i u d e
publikun	p u b l i k u n
prekura	p r e k u r a
shumicë	S u m i C 3
Pandemia	a n d e m i a
Ramush	a m u s
shoqëri	S o x 3 r i
tejet	t a  e t
Vasili	a s i l i
bashkëpunimin	b a S i k 3 p u n i m i n
izolimit	i z o l i m i t
tërhequr	y r h e k r
shpresë	S p r e s 3
qëndrimin	q 3 n d r i m i n
trupit	t o u p i t
dialog	d i a l o
ndalur	nd~ a r u r
shfaq	S f a 7
prova	p r o v a
shtetëror	S y r o r
vdekurve	v d e k u r v e
Luftës	u f y
Ministrinë	i n i u z i
parave	p a r a v e
hapi	h a p i
lajmin	l a h m i n
menaxhimin	m E n a h i m i n
pushtetin	p u S t e t i n
bardhë	b a r d e
qëndrojë	q 3 n c 3
sfidë	s f i d 3
trajtohen	a h t o h e n
Brendshëm	r e n d e m
bashkëpunimit	b a S i k 3 p u n i m i t
dorëzuar	d o r e z u a r
mbledhur	b l e d u r
vijojnë	v i j o x n E
vlerën	v l e r e n
Kuvendin	u w e n d i n
ulje	u L e
akt	a k
zyrtarë	z r t a r 3
bisedimet	b i s  m e t
Dr	r
drejtimin	d r e h t i m i n
jem	h e m
lista	l i s t a
përfaqësuesit	a p i r f a 7 e s u e s i t
udhëhequr	u d e i* k r
arrihet	m a n i h e t
fillimin	b i l l i m i n
keto	k e t o
shtyrë	S u h u 3
vlerat	v l e r a t
familjeve	b o m e L p i r e
kampionatit	k a m p i o n a t i
zonës	z o
stafit	s t a f i t
maskë	s k 3
mbyll	b y L
qysh	qy~ S
trupi	t o u p i
identifikuar	d e n t i f i k u a r
krizën	k r i z a n
qëndrim	q 3 n d r i m a
dikur	d i k u r
detyra	d e t r a
marrëdhënieve	m a* r 3 8 3 n i e v e
njeh	n j e g e
Manastirliu	a n a s t i r l i u
aksident	a k s i d e n t
Prishtina	r i S t i n a
Sali	a l i
kohët	k o h 3
angazhuar	a a z w a r
projekti	p t o n o x e k t i
Ligën	i g a n
largimin	l a r g i m i n
coronavirusit	k o r o n a b i r u s i t
paralajmëroi	p a r a l a h m E r o i
Spanjë	p a n j 3
këngëtarja	k 3 n g 3 a r j a
ndarjen	d a r i
Qytetarët	3 t e t a r e
rus	r u s
Barcelonës	a r k e l o
Mediat	e d i a t
Zemaj	e m a x
mendoni	m e n d o n i
kritike	k r i t i k e
Koha	h e
pro	p r o
paku	p a k u
vdiq	v d i
kineze	k i n a d e
luajnë	l u a x n E
përdor	a p i r d o r
shihni	S i p n i
tjerëve	ty~ E 3 v e
aspektin	a 8 p e n e k t n
radhët	r a d e
Champions	h a m p i o* s
formën	f o r m a n
deklarata	d e k l a r a t a
dukej	d u k a x
turizmit	t u r i z m i t
klubet	k l u b e t
shkrim	S k r i m a
Joe	o e
akuzat	a k u z a t
dëme	d b e
gol	g o l
jashtëzakonisht	y a S y z a q o n i S t i
ate	a t e
drejtues	d r e h t u e
vrasje	v r a s e
Ylli	l l i
donte	d o* t e
paraprake	p a r a p r a k e
punojmë	p u n o x m 3
deputet	d e p u t
përdorimin	a p i r d o r i m i n
shqetësim	S E y s i m
fitojë	f i t o h 3
gazetarëve	g a z e t a r e v e
Ligji	i gy~ i
ujit	u h i t
vendoset	f e n d o s e t
Teksa	e k s a
kompanive	m i p a n i v E
kufirit	k u f i r i t
llogari	l l o g a r i
mjetet	m o x e t e
shpenzimet	S p e n z i m e t
Klinikën	l i n i k a n
besojnë	b e z a s
informacione	i n f o r m a c i o n e
padyshim	p a o S i m
Shumica	h u m i k a
djalin	d  l i n
përdoren	a p i r d o r e n
sëmundjen	o nd~ i
kosovare	k o s o w a r e
lënduar	l 3 n d u a r
prokurorit	p r o k u r o r i t
Bashkimin	a S i k i m i n
përfshin	a p i r f S i n
votave	v o t a b e
fillimit	b i l l i m i t
Spanja	p a n j a
përgjegjës	a p i r gy~ g T a
Ashtu	s k i w
fatin	f a t a n
drejtave	d r e h t a b e
formimin	f o r m i m i n
teknik	t a k n i k
përfundimit	a p i r f u nd~ i m i t
dhanë	dh~ a n E
Ekonomike	q o n o m i k e
Asnjë	s nj~ 3
britanike	b r i t a n i k e
burrë	b u r 3
konfirmuara	q o n i k f i r m u a r a
Paris	a r i s
burime	b u l i m e
internet	i n t E r n
rekomandimet	r e k o m a n d i m e t
përhapur	a p i r h a p u r
qëndrueshme	q 3 n d r u e S m e
gjen	gy~ e n
karrierën	k a r e r e n
mallrave	m a ly~ r a v e
Parë	a r 3
evropian	p i r o p i a n
nderuar	d i n u a r
ndërtimit	nd~ 3 r t i m i t
verë	e r 3
bien	b i e n
institucione	s t i t u k i o n e
jap	y a p
paguajnë	p a g u a x n E
flitet	f ty~
shoqërinë	S o x 3 r i
temë	t e m 3
futbollin	f u t b o l l i n
global	g l o b a l
investimeve	i n v e s t i * v e
mundësia	nd~ 3 s i a
tremujorin	t r e m u C u k u i n
zakonshme	z a k o n C m e
ekspertëve	e k 8 p e n e r y v e
futbolli	f u t b o l l i
goditje	g o d i jw~ e
publikisht	p u b l i k i sC~ t i
ardhura	a r d u r a
zbatuar	z b a t w a r
Kombeve	d o mb~ e v e
grupet	g r b e t
burim	b u r i m
fazë	f a z 3
Ligjit	i gy~ i t
rrezikut	r m u  k u t
kushteve	w o j  t e v e
arrijë	m a n i j 3
lirisë	l i r i s 3
detyrës	d e t r e
qëndrimi	q 3 n d r i m i
votat	v o t a t
Lirë	i r 3
emra	e m r a
korona	k o r o n a
ndryshëm	ndr$ e m
votimit	v o t i m i t
Bankës	a n k 3
bënin	b 3 n i n
gjejnë	gy~ j
kujdesit	k u h d e s i t
sezoni	s e z o n i
çmimet	m i m e t
kufirin	k u f i r i n
procedurë	p r o k e d u r 3
zemrës	z e m r e
gjenden	gy~ e n d e n
mësohet	m E s o h e t
rrezikuar	r m u  a kw~ a r i
ndihma	n t i 7 m a
produkteve	p r o C u k v e
punësuar	p u n E t a r i
rajonale	r a x o n a l e
Rusisë	s s 3
japim	y a p i m
lira	l i r a
mirën	m i r e n
mjaftueshëm	m b u l a b t u e e m
pastër	p a s y r
Ballkanin	a ly~ k a n i n
anëtarëve	a n 3 a r e v e
palëve	p a l 3 v e
përballur	a p i r b a L u r
Pak	a k
marrjen	m a* r i
niveli	n i v e l i
raporti	r a p o r t i
mbylljen	b y L i
maskave	s k a b e
Kadri	a d r i
Sekretari	e k r E t a r i
zhvillohen	z h v i l l o h e n
zënë	z 3 n 3
Uashington	a S i N r t o n
ndërkaq	nd~ 3 a q
pranon	p r a n o n
kalimin	k a l i m i n
minimale	m i n i m a l e
rriten	r i t e n
prapa	p r a p a
rreziku	r m u  k u
grupin	g k i n
frika	f r i k a
interesante	i n t e r e s a n t e
Bashkia	a S i k i a
testet	t e s t e
deputeti	d e p u t
konfirmoi	q o n i k f i r m o i
funksion	f u n k S i o n
policinë	p o l i k i
Lidhur	d u r
Universitetit	n i v e r s i t e t i
dyshime	o S i m e
konferencën	q o n i k f m i n C i a n
njohura	nj~ o h u r a
programin	p r o g r a m i n
seancë	s e a*  3
teknike	t a k n i k e
vendosë	f e n d o s 3
vëllai	v E n y a i
finale	f i n a l e
mundet	m u n d e t
Wuhan	a a n
infektimit	i n f k t m i t
përfundimtare	a p i r f u nd~ i m t a r e
spitali	s p i t a l i
vuri	v u r i
Ballkan	a l l u m
Mësohet	e s o h e t
lejohen	j o h e n
ministër	m i n i S y r
përditshme	a p i r d i T m e
qeveritë	E e r i t 3
rendit	r e n d i t
gjeni	gy~ e n i
ndihmës	n t i 7 k i S
spitale	s p i t a l e
interesuar	i n t e r e s u a r
jush	x u S
shërbime	e b i r e
gjykata	g hy~ k a t a
nr	n r
Britania	r i t a n i a
