va	v a
oʻn	o 7 n
oʻtish	o 7 t i S
rivojlantirish	r i v o h nz~ i  r i S
shuning	S u n i N
soʻzlar	s o 7 r L a r
tarixida	t a r i S i d a
uzluksiz	a z l u k s i z
xalqi	S a q
yashash	y a S a S
yerlar	y e r l a r
Hozir	o  r
Masalan	a s a l a n
jism	h i s m
namunalari	n a m u n a l a r i
prezident	p m u  d e n t
sohasi	s o h a c i
tarix	t a r i S
tomoni	t o m o n i
toʻrt	t o 7 r
ustiga	u s t i g a
yashaydigan	y a S a y d i g a n
yerlarda	y e r  d a
yogʻ	y o g u
Arab	r a b
Tojikiston	o h i k i s t o n
ahamiyat	a h a m i y a t
dam	d a m
darajasiga	d a r a s i g a
hujayra	h u h a n r a
jiddiy	h i d i
kema	k e m a
otasi	o t a s i
raqs	r a q
sobiq	s o b i 7
tajriba	t a h r i b a
topadi	t o p a d i
voqealar	v o E a l a r
yakka	y a k
belgilar	b e l g i l a r
boʻlganligi	b o 7 l g a n l i g i
boʻlsada	b o 7 l s a d a
oʻrnida	o 7 r n i d a
partiyasi	p e r t i y a s i
shaklda	S a k l d a
tezligi	t e z l i g i
tropik	t r o p i k
yuritiladi	y u r i t i l a d i
Elektr	l E k E tr~
amalda	a m a l d a
avj	a b
berildi	b E r e l d i
boshqaruv	b o S k  a r u
dengizi	i s u r i z i
oson	o s o n
oʻsadi	o 7 s a d i
oʻtdi	o 7 t d i
qogʻoz	q o g 7 o n s
tomonlama	t o m o* l a m a
Dastlabki	a s L a b k i
asrning	a s r n i N
ijobiy	i j o b i
qiyin	q i y i
qonuni	q o n u n i
qoʻshinlari	q o 7 S i n l a r i
shaharlar	S a h a l a r
suvi	s u b i
tirik	t i r i k
yakuniga	y a k u n i g a
bosimi	s i m i
hisoblash	h i s o b l a n k S
qariyb	q a r i y
tahlil	t a h l o
turar	t u r a r
turib	t u r i b a
ajratiladi	c r a t i l a d i
asarlarini	a s a l a r i n i
ekinlar	r l a r
eski	e s k i
keltiradi	k e l t i r a d i
olimi	o l i m i
oʻrnini	o 7 r n i n i
oʻtishi	o 7 t i S i
shisha	S i S a
turish	t u r i S
xodim	S o d i m a
yulduzlar	y u l d a z l a r
Ali	l i
Tumanda	u m a n d a
Yevropada	p i r a z a d a
kutubxonasi	k u t u b S o n a s i
misol	m i s o l
qishlogʻi	q i S l a l i g i
qoʻyish	q o 7 i S
suyuqlik	s u y u k b u C o
aynan	a y n a n
dunyoda	d u n y o d a
munosabatlar	m u n o s a b a L a r
oziq	o
sement	s e m E n t
Boku	o k u
Sulton	u l t o n
dafn	d a f n
foydalanilgan	f o i 8 a l a n i l g a n
km²	k m a
muhofaza	m u h o f a z a
mukammal	m u k a m m a l
munosabati	m u n o s a b a t i
okean	o k e
oʻrganadi	o 7 r g a n a d i
qad	q a d
qamrab	k " a m r a b "
qoʻshiq	q o 7 S i
sari	s a r i
Angliya	N l i y a
aylanib	a y a nz~ Ch~ o
hozir	h o  r
ishtirokida	i S t u r o k i d a
maishiy	m a i S i
topish	t o p i S
yurtlari	y u r L a r i
Shim	h i m
Unga	N a
borish	b o r i S
hasharotlar	h a S a r o L a r
markazida	m a* r kh~ a z i d a
omillar	o m i l l a r
qilinishi	q i l i n i S i
qism	g w i h s m
qismidagi	g w i h s m i d a g i
solgan	s o l g a n
tushadi	t u S a d i
Bunga	u N a
Undan	nd~ a n
aralash	a r a l a S
asrda	a s r d a
atrofi	a t r o f i
bajaradi	b a h a r a d i
film	b i l m
harakatlar	h a r a k a L a r
maktablari	k t a b l a r i
masalalar	m a s a l a l a r
muddat	m u d
mulk	l
nomini	n o m i n i
qatnashgan	q a t n 3 s o  g a n
vakili	v a k i l i
yetadi	y e t a d i
yuridik	y u r i d i k
zarralar	z a r a l a r
Dengiz	o N u
Mustaqillik	u s t a q i l l i k
Qoʻqon	o 7 pw~ o n
Uni	n i
asrlar	a s l a r
bartaraf	b a r t a r a f
biridir	b i r i d i r
demokratik	d e m o k r a t i k
hokimiyati	h o k i m i y a t i
markazlari	m a* r kh~ a z l a r i
ovqat	o w g o
oʻzgaradi	o 7 z N a r a d i
taraqqiyot	t a r a k " o o t
tekis	t a k i s
tor	t o r
urugʻ	u r u g u
yetgan	y e t g a n
yorqin	y u r q i n
Jan	a n
Oʻz	7
Qashqadaryo	a S k  a d a r y o
Qizil	i r i l
bezak	b e z a k
biriga	b i r i g a
hujum	h u h u m
kirish	k i r i S
mudofaa	r u g o f a g a
oldida	o l d i d a
qurilma	k r e l m a
quyosh	q u y o S
tizimida	t i  m i d a
binolar	b i n o l a r
boqiladi	b o x i l a d i
borilgan	b o r e l g a n
davriga	d a b r i g a
doir	d o i r
ip	i p
ketdi	k e t d i
kino	k i n a t
oʻrinda	o 7 r i n d a
tizim	t i s i m a
Koreya	o r e y a
boʻlganda	b o 7 l g a n d a
buyumlari	b u y u m l a r i
buzilishi	b u z i l i S i
davlatlari	d a b l a L a r i
davlatning	d a b l a t n i N
halok	h a l o k
kislotalar	k i s l o t a l a r
lotin	l o t i n
qilinadigan	q i l i n a d i g a n
shuhrat	S u h r a t
sodda	s o d a 7
tuzish	t u L
Mirzo	i r o
Sirdaryo	i r d a r y o
farqlanadi	f a r X l a n a d i
foydalangan	f o i 8 a l a N a n
hali	h a l i
harorat	h a r o r a t
hind	h i n d
hodisalar	h o d e i s a l a r
huquqi	h u k i r a
kasalliklari	k a s a ly~ i k a r i
qoʻyiladi	q o 7 i l a d i
shugʻullangan	S u g 7 u y a N a n
solish	s o l i S
tana	t a n a
taraqqiyoti	t a r a k " o i y o t i
uslubi	u s l u b i
usti	u s t i
usullar	u s u y a r
viloyatidagi	v i l o y a t i d a g i
Odam	d a m
aksiyadorlik	a k S i y a d o r b u C o
ekanligi	e k a n l i g i
olishi	o l i S i
oziqlanadi	o z i k l a n a d i
sharoitda	S a r o i t d a
sohalarida	s o h a l a r i d a
yonida	y o n i d a
aholisining	a h o l i s i n i N
doirasida	d o i r a s i d a
etnik	e t n i k
futbol	f u t b o l
goʻsht	g o 7 sC~ t i
imkonini	i m a q " b a l i n i
ishlaydigan	i S l a y d i g a n
kislorod	k i s l o r o d
koʻrib	k o 7 m a Ch~ o
nuqtai	n u k t a i
qoʻshgan	q o 7 S g a n
vaqti	v a q t i
vazirligi	v a z i r l i g i
Beruniy	e r u n i
Ilk	l
biroq	b 3 r o q
boʻlingan	b o 7 l i N a n
eriydi	e r i y d i
insonning	s o n n i N
nihoyatda	n i h o y a t d a
organi	u r g a n i
ortib	u r t i
oʻrganishga	o 7 r g a n i S g a
parlament	p a l a m E n t
tayyor	d a t a y n i o z i
uyi	u y i
Mashinasozlik	a s i n a s o z b u C o
Rus	u s
Tabiiy	a b u i
asbob	a s b o b
aytib	a i t i
barqaror	b a r q a r o r
dunyoning	d u n y o n i N
ikkala	i k k a l a
kitobi	k i t o b i
koʻmir	k o 7 m i*
koʻrinishi	k o 7 r i n i S i
mashinalari	S i n a l a r i
nafaqat	n a f a q a t
naqsh	n a q S
noyob	n o y o b
qismiga	g w i h s m i g a
rivojlanib	r i v o h a nz~ Ch~ o
salbiy	s a l b i
tik	t i k
tomonida	t o m o* i d a
tutgan	t u t g a n
yasalgan	y a s a l g a n
Ahmad	h m a d a r
Faqat	a q a t
Jumladan	u m l a d a n
Kitob	i t o b
asosi	a s o s i
boshi	s i
bugʻdoy	b u g 7 a i s
daromad	d a r o m a d
ekin	e k i N
jun	h u n
keltirib	k e l t e m a Ch~ o
mingga	m i N g a
muddati	r u g d a t i
muzey	m u z i
oldindan	o l d i d a n
olmaydi	o l m o w d i
oʻrmonlar	o 7 r m o* l a r
qoʻllash	q o 7 y a
suvlari	s u b l a r i
to	t o
usulida	u s u l i d a
xususiyatiga	S u s u s i y a t i g a
yoʻnalishi	y o 7 n a l i S i
Surxondaryo	u r S o n d a r e y o
a	a
aloqalar	a l o x a l a r
band	b a n d
borishi	b o r i S i
elektromagnit	e l e k tr~ o m a g n i t
elektrotexnika	e l e k tr~ o t " n i k a
foydalanadi	f o i 8 a l a n a d i
koʻl	k o 7
kuzatish	k u z a t i S
masjid	s j i d
metallsozlik	m e t a ly~ s o z b u C o
oraliq	o r a l i q
oxirgi	o y o S i k a g i
sintez	s i n t e z
tomonga	t o m o* g a
Amudaryo	r u g o  y o
Ispaniya	s p a n i y a
Jizzax	i r z a X
hududining	h u d u d i n i N
jinoyat	j i n o y a t
maqsad	m a q s a d
professional	p r o f e s s i o n a l
qilishni	q i l i S n i
rassomlik	r a s o* a b u C o
shahridagi	S 3 r i d a g i
sifatli	s i y L i
tamaki	t a m a k i
tektonik	t a k t o n i k
Mamlakatning	a m l a k a t n i N
koʻrsatdi	k o 7 s a t d i
neftni	n e f t n i
rivojiga	r i v o j E g a
tanqid	t a n g w i d
togʻlari	t o x 7 l a r i
xabar	S a b a r
yetkazib	y e t kh~ a z i
Vazirlar	a z i r l a r
ashula	a s u l a
etadigan	e t a d i g a n
foydalanishga	f o i 8 a l a n i S g a
gazlama	g a z l a m a
hukmronlik	h u k m r o n l i k
ifoda	f o d a
juft	x u f
oʻrni	o 7 r n i
oʻynagan	o 7 3 n a g a n
shaharlari	S a h a l a r i
tasi	t a s i
tilining	t i l i n i N
Bular	u l a r
Inson	s o n
Mahalliy	a h a ly~ i
bormoqda	b o r m o x d a
gʻalaba	g 7 a l a b a
hududlarda	h u d u d  d a
kelmoqda	k e l m o x d a
marotaba	m a* r o t a b a
munosabatlari	m u n o s a b a L a r i
olimlari	o l i m l a r i
organizm	u r g a n i z m
qildilar	q i l d i l a r
sariq	s a r i
saroy	s e r o y
tekislik	t a k i w i k
tijorat	t i j o r a t
xossalari	S o s s a l a r i
Alloh	l l o
Bobur	r
Oltin	l t i n
asboblari	a s b o p l a r i
bezatilgan	b e z a t i l g a n
davrlarda	d a b r  d a
ekan	d o l o g
kimyosi	k i m e o s i
mahsulotlarini	m a 7 s u l o L a r i n i
naqshlar	n a q S l a r
nurlar	n u r l a r
oraligʻida	o r a l i g i d a
qoʻngʻir	q o 7 N i r
rioya	r i o y a
saroyi	s e r o y i
shunga	S u N a
sohalarda	s o h a l a r d a
sovet	s o p e t
stansiyasi	s t a s i y a s i
tahsil	t a 7 s i l
turkumi	t u r k u m i
vositasida	v o s i t a s i d a
yalpi	a l p i
yoshlar	y o s L a r
Hozirda	o  r d a
Rossiyaning	o s s i y a n i N
ajratish	c r a t i S
devori	d e v o r i
dini	d i n i
hammasi	h a m m i s i
hayotida	h a y o t i d a
issiklik	i s i k l i k
koʻrgan	k o 7 r g a n
markazlaridan	m a* r kh~ a z l a r i d a n
musiqali	s q a l u k
oʻqish	o 7 g w i S
pedagogika	p E d a g o g i k a
qimmatli	q i m L i
rivoj	r i v o x
shaharlarda	S a h a r e  d a
sugʻorish	s u g 7 o r i S
tavsiya	t a b s i y a
tojik	t o n o x
tortib	t o r t i
yaxlit	y a x l i t
Rossiyada	o s s i y a d a
Sibir	i b i r
besh	b e S
bugʻ	b u g u
institutini	s t i t u t i n i
ishlatilgan	i S l a t i l g a n
kasaba	k a s a b a
majmuasi	m a h m u a s i
massasi	s s a s i
oʻzbeklar	o 7 z b e k l a r
qoʻyadi	q o 7 y a d i
qum	q u m
rivojlanadi	r i v o h l a n a d i
Harbiy	a r b i E
Orol	r o l
Respublikasida	e s p u b l k a s i d a
Ukraina	k r a i n a
adabiyotida	a d a b i y o t i d a
faoliyatining	f a o l i y a t i n i N
hududlarida	h u d u d l a r i d a
maqom	m a q o m
musiqasi	s i k a s i
oshadi	o S a d i
parda	p e r d a
poʻlat	p o 7 l a t
qalinligi	q a l i n l i g i
rang	r a N
sharoit	S a r o i t
shartli	S a r L i
tashlanadi	t a S l a n a d i
xususiyatlarini	S u s u s i y a L a r i n i
yumshoq	y u m C o q
Shunga	h u N a
asl	a s
aylanish	a y l a n i S
birida	b i r i d a
bogʻi	b o N i
boshlanib	s a nz~ i
boshqalarda	s l u k  d a
egallab	g a ly~ a b "
ettirgan	e t i r g a n
hukm	h u k m
koʻrsatib	k o 7 s a t i
lirik	l i r i k
maktablar	k t a b l a r
nazarda	n a z a r d a
nomidan	n o m i d a n
nurlanish	n u r l a n i S
oʻynaydi	o 7  y d i
qilinib	q i l i n i
qorin	q o r i n
tashkilot	t a S  l o t
tashkilotlar	t a S k i l 3 L a r
tub	t u b
yassi	y a s s i
yozuvi	y o m a g a n i
OʻzR	7
avtomatik	a o m a t i k
binosi	b i n o s i
evaziga	p i r a z i g a
hazm	t r o n d m
hodisa	h o d e i s a
imperiyasi	i m p e r i y a s i
koni	q l o l
maqsadi	m a q s a d i
oltingugurt	o l t i N g u g u r t
qatl	q a t
qoʻmitasi	q o 7 m i t a s i
qushlar	k S l a r
sifati	s i f a t i
son	s o n
xuddi	S u d i
yurish	y u r i S
Kanada	a n a d a
Osiyoning	s i y o r o n i N
Yosh	o S
arxeologik	a r " e a o l o g i k
belgisi	b e l g i s i
daryolari	d a r o l a r i
daryosining	d a r o s i n i N
de	d e
falsafa	f a l s a f a n a
holida	h o l i d a
ifodalanadi	f o d a l a n a d i
kon	k o n
moddalarning	m o d d a l a r n i N
moliya	o l i y a
muddatga	r u g d a t g a
ostiga	o s t i g a
oʻrinbosari	o 7 r i n b o s a r i
prezidenti	p m u  d e n t i
qurolli	k r o l l i
shart	S a r
solib	s o l i
teatrida	t e a t r i d a
turlarga	t u r  g a
usullarini	u s u y a r i n i
uzatish	u z a t i S
yotadi	y o t a d i
yovvoyi	y o w v o i
bois	b o i s
boʻlishini	b o 7 l i S i n i
daraxt	d a r a x
jismlar	h i s m l a r
koʻrsatilgan	k o 7 s a t i l g a n
mustaqillikka	s t a q i l l i k
oʻrinni	o 7 r i N
oʻsishi	o 7 s i S i
qiz	q i z
qoramol	q o r a m o l
shahrining	S 3 r i n i N
tashkiloti	t a S  l o t i
ustun	u s t u n
xoʻjaligining	S o 7 j a l i g i n i N
yetarli	y e t a l i
yuzasidan	y u z a s i d a n
Qadimgi	a d i m g i
Ulardan	l a r d a n
berishi	b e r i S i
boshqalarning	s l u k  n i N
don	d o n
hokimi	h o k i m i
inshootlar	i n T o L a r
kanali	k a n a l i
manbalarda	n b a l a r d a
qalin	q a l i n
qor	q o r
qozoq	q o m i t
soliq	s o l i q
turiga	t u r i g a
tuziladi	t u z i l a d i
uzviy	u z v i
Yaqin	a q i n
dunyoga	d u n y o g a
edilar	e d i l a r
erishgan	r i S g a n
koʻzga	k o 7 z g a
laureati	l a u r e a t i
may	m a y
organizmning	u r g a n i z m n i N
oʻrganishda	o 7 r g a n i S d a
qolishi	q o l i S i
shilliq	S i l l i q
sonli	s o n l i
xonligi	S o n l i g i
yilga	y i l g a
Asar	s a r
Togʻ	o g i u
Yusuf	u s u f
Zamonaviy	a m o n a b i
agentligi	y L i g i
gul	g u l
jadal	y a d a l
kadrlar	k a d r l a r
oqadi	o x a d i
oʻtkazib	o 7 t kh~ a z i
qand	q a nd~
qaytib	q a i t i
qoʻshilib	q o 7 S i l i
shaklidagi	S a k l i d a g i
sulolasi	s u l o l a s i
tartibi	t a r t i b i
vayron	v a y r o n
xalqning	S a q n i N
yozuv	y o m a g a n
yupqa	y u p N g a
Birlashgan	i r l a S g a n
Kasallik	a s a ly~ i k
Neft	i f
Ulugʻbek	t u 7
atamasi	a t a m a k i
azot	a z o t
belgi	b e l g i
bildiradi	b i l d i r a d i
etishda	e t i S d a
fizika	f i z i k a
gʻoʻza	g 7 o 7 c a
kiritgan	k i r i t u g a n
mahorat	m a h o r a t
negizida	n e g i z i d a
nur	n u r
oʻsimliklarning	o 7 b u p l i k l o r n i N
qila	q i l a
rad	r a d
rangi	r a n g i
rejissyor	r e h i 7 n i o z i
romani	r o m a n i
ruda	r u d a
suvli	s u b l i
tarmoq	t a r m o q
tatar	t a t a r
texnikasi	t e S n i k a s i
tizimini	t i  m i n i
voqea	v o E a
xodimlari	S o d i m l a r i
yogʻin	y o g i n
Badiiy	a d i
Shoh	h o
Sino	i n o
Temir	e m i*
axloqiy	a x l o m g w i
bunga	b u N a
fani	f a n i
fizikasi	f i  k a s i
genetik	g e n e t i k
iqtisodiyot	i k  s o d i y o t
kishini	k i S i n i
kompleks	m i p l e k
mart	m a* r
orada	o r a d a
parallel	p a r a ly~
siyosat	s i y o s a t
suvni	s u b n i
vafotidan	b a h t i d a n
yashirin	y a s i r i n
Aholining	h o l i n i N
albatta	a l b a t t a
atmosfera	a t n o S f e r a
bayrami	b a y r a m i
dasturi	d a s t u r i
dunyosi	d u n y o s i
fuqarolar	f b a r o l a r
hayvonlarning	h a y v o n l a r n i N
hududiy	h u d u d i
kamida	k a m i d a
masjidi	s j i d i
mollari	o l l a r i
nam	n a m
nazar	n a z a r
nutq	n u t
ogʻriq	o g i 7 r i
oʻrgangan	o 7 r g a N a n
qatlam	q a t l a m
sezilarli	s e z i l a l i
shamol	S a m o l
soha	s o h a
taniqli	t a n i k l i
tark	t a r
tiklash	t i k a S
tola	t o l a
aylanishi	a y l a n i S i
bank	b a n
dvigatel	d v i g a t e l
elementlari	l E l E m E n a r i
istiqomat	i s t i k o m a t
minerallar	m i n e r a y a r
normal	n o r m a l
orol	o r o l
poyabzal	p o y a b z a l
qatlami	q a t l a m i
qizi	q i z i
sanoatning	s a n o a t n i N
shaharning	S a h a r e n i N
sopol	s o p o l
soʻzi	s o 7
tadan	t a d a n
tilidagi	t i l i d a g i
tuz	t u s
yodgorliklari	y o d g o r l i k a r i
yozish	y o L
Keyin	b a n
Xususan	u s u s a n
aksini	a k s i n i
dunyodagi	d u n y o d a g i
fiziologik	f i L o l o g i k
guruhga	g g a
hudud	h u d u d
huquqiga	h u k k i a
joyga	j o y g a
koʻrinishida	k o 7 r i n i S i d a
koʻtariladi	k o 7 t a r i l a d i
kuy	k u y
majburiy	C b u r e
masalalarni	m a s a l a l a r n i
musulmonlar	s u l m o* l a r
muvaffaqiyatli	m u b a f a q i y a L i
oqsil	o k s i l
oziqovqat	o z i k o w g o
oʻzgartirish	o 7 z a r t i r i S
qilishgan	q i l i S g a n
rassom	r a s o*
rudalari	r u d a l a r i
taxmin	t a x m i n
xizmatlari	S i z L a r i
xoʻjaliklari	S o 7 j a l i k a r i
yopiq	y o p i
Bugungi	t u g u N i
Ularda	l a r d a
aksariyati	a k s a r i y a t i
aniqlangan	a n i k l a N a n
ishlarida	i s L a r i d a
mavjudligi	m a b b u d l i g i
oʻlaroq	o 7  o q
qarashli	q a r a S l i
qimmatbaho	q i m m a t b a h o
quvvati	k v v a t i
toʻqima	t o 7 g w i m a
xillarga	S i l l a r g a
yaqqol	y a k " o o l
Hamza	a m c a
aytadi	a i t a d i
banki	b a n k i
buyrak	b u y r a
davriy	d a b r e
harakatlari	h a r a k a L a r i
inshootlari	i n T o L a r i
magʻlubiyatga	m a h 7 l u b i y a t g a
masalalariga	m a s a l a l a r i g a
nomlari	n o m l a r i
obyektni	o b e k t n i
osmon	o s m o n
porti	p o r t i
qoʻshini	q o 7 S i n i
siyosati	s i y o s a t i
subtropik	s u b tr~ o p i k
tezlik	t e z b u C o
uglerod	u L  d
vositalar	v o s i t a l a r
xavfli	S a b f l i
Atlantika	L a n t i k a
Hindistonda	i n d i s t o n d a
Mahmud	a h m u d
Termiz	e r m i z
Viloyat	i l o y a t
barham	b a r h a m
boʻlim	b o 7 l i m
din	d i n
farqli	f a r X l i
gʻolib	g 7 o l i
hisobida	h i s o b i d a
iqtisodiyoti	i k  s o d i y o t i
jinslarining	h i s l a r i n i N
joylarida	j o y l a r i d a
keltirgan	k e l t i r g a n
kristall	k r i s t a l o
masalalarini	m a s a l a l a r i n i
qoldiqlari	q o l d i k l a r i
qozongan	q o z o N a n
shakllanishi	S a k y a n i S i
shartnoma	S a r t n o m a
suvga	s u b g a
yerdan	y e r d a n
yoxud	y o m d
yoʻlida	y o 7 l i d a
Avstriya	v s t r i y a
Mamlakat	a m l a k a t
Meksika	e k i k a
Prezidenti	r a  d e n t i
Soʻnggi	o 7 N g i
Uygʻonish	y g 7 o n i S
agar	a k o l a i t
departamenti	d e p i t a m e n t i
erishdi	r i S d i
gorizontal	g o r i z o n t a l
hayvonlarda	h a y v o n l a r d a
janubida	h a n u b i d a
joylar	j o y l a r
kasalligi	k a s a ly~ i g i
kitoblar	k i t o b l a a r
koʻtarilgan	k o 7 t a r i l g a n
kvant	k v a n t
maktabda	k t e y a n d a
maqsadga	m a q s a d g a
moliyaviy	o l i y a v i
nafis	n a f i s
oʻsish	o 7 s i S
palatasi	p a l a t a s i
partiya	p e r t i y a
qoʻshni	q o 7 n i
tuproqlar	t u p r o q
viloyatlarida	v i l o y a L a r i d a
voz	v o
yetishtirish	y e t i S t i r i S
Bolalar	o l a l a r
Film	i l m
Hind	i n d
Mamlakatda	a m l a k a t d a
adabiyotining	a d a b i y o t i n i N
almashinuvi	a l S i n g a n i
amir	a m i X
asoslari	a s o s l a r i
bozori	b o z o r i
davrining	d a b r i n i N
doimo	d o i m o
faqatgina	f a 7 a t g i n a
harorati	h a r o r a t
jangda	y a Ng~ d a
joyida	j o y i d a
kanal	k a n a l
kesib	k e s i
markaz	m a* r kh~ a z
muvaffaq	m u b a f a q
oʻrab	o 7 r a b "
qonunlari	q o n u l i
roman	r o m a n
sahna	s a n a
sintetik	s i n t e t i k
sistema	s i s t e m a
suyak	s u y a k
talaba	t a l a b a
targʻib	t a r g i
tartibda	t a r t i b d a
toʻlqin	t o 7 q i n
turishi	t u r i S i
tutilgan	t u t i l g a n
ustki	u s t k i
vaqtga	v a q t g a
yaqinidagi	y a q i n i d a g i
yetishtiriladi	y e t i S t i r i l a d i
Abdulla	b d u y a
Shaharda	h a h a r e d a
bajarish	b a j a r i S
barg	b a r
binolari	b i n o l a r i
hayotiy	h a y o t i
islohotlar	i s  h o L a r
kerakli	k e r a k l i
maqolalar	m a q o r a r a r
maydonga	m a y d o* gw~ a
mutlaq	m u t l a q
oilasiga	o i l a s i g a
oʻsib	o 7 s i
qabilalari	q a b i l a l a r i
qarshilik	q o m i 7 S i l i k
qavatli	q a b a t l i
qoʻshiqlari	q o 7 S i k l a r i
spirt	s p i r
vertikal	e r t i k a l
yomon	y o m o n
yoʻllar	y o 7 y a r
Iqtisodiy	q  s o d i
Ozarbayjonning	z a r b a y d s i m n i N
Turk	u r
Uzoq	z o q
davo	d a b o
etiladigan	e t i l a d i g a n
filmlar	b i l m l a r
foyda	f o y d a
ishlarni	i S  n i
kamayib	k a m a y i b a
mavzu	m a b z u
mazmuni	m a z m u n i
mevalar	m e v a l a r
miqdorini	m i k d o r i n i
navlari	n a b l a r i
onasi	o n a s i
oshib	o s i b
oylarida	o y l a r i d a
qabila	q a b i l a
qurilmalar	k r e l m o l a r
radioaktiv	r a d i o a k t
sohada	s o h a d a
toʻlqinlar	t o 7 l m u a t u l a r
Armaniston	r m a n i S th~ o n
Kimyoviy	i m o w i
Qonun	n u n
ansambli	s a m b l i
daraxtlar	d a r a x L a r
erkak	e r m a k o u
gazeta	g a z e t a
grammatik	g r a m m a t i k
ifodasini	f o d a s i n
ijodiga	i j o d i g a
jarayonlari	h a r a y o n l a r i
jinsli	h i s l i
kafedrasi	k a f e d r a s i
kartoshka	k a r t o S
kelayotgan	k e l a y o t g a n
keyinroq	k e i n r o q
material	m a t e r i a l
munosabat	m u n o s a b a t
muqaddas	m b a d d 3 s
oldiga	o l d i g a
ozarbayjon	o z a r b a y cx~ o*
qolish	q o l i S
rahbarligida	r a h b a l i g i d a
rolini	r o l i n i
sanoatda	s a n o a t d a
surunkali	s Nk~ a r i
tabiati	t a b i a t i
tasviri	t a s v i r i
tatbiq	t a t b i 7
tuguni	t u g u n i
Toshkentdagi	o S k e nt~ d a g i
aksariyat	a k s a r i y a t
aslida	a s l i d a
boʻlimlari	b o 7 l i m l a r i
darhol	d a r o l
eritmasi	e r i k m i s i
fermer	f e r a m e
harakatini	h a r a k a t i n i
ifodalaydi	f o d a l a y d i
institutlari	s t i t u L a r i
ispan	i s p a n
ittifoqi	i t i f o x i
kompaniya	m i p a n i y a
kunlari	k u n l a r i
mashinasi	S i n a s i
mutaxassislar	m u t a g a s s i w a r
ozuqa	o z b a
oʻq	o 7
qurib	k m a Ch~ o
quyidagi	q u y i d a g i
shaharlarida	S a h a l a r i d a
shakllar	S a k y a r
sugʻoriladigan	s u g 7 o r i l a d i g a n
tarixiga	t a r i S i g a
tarzi	t a l
uyushmalari	u y u S b e r m a l a r i
zabt	z a b
aktyor	a k t n i o z i
anglatadi	a N l a t a d i
boshqalarga	s l u k  g a
erta	e r t e
iliq	i l i q
kiritish	k i r i t i S
nazariyasini	n a z a r i y a s i n
oqim	o m g w i m
oqimida	o m g w i m i d a
ovlash	o w p i S
oʻgʻitlar	o 7 g i L a r
qoʻshiladi	q o 7 S i l a d i
real	r e a l
sanoatining	s a n o a t i n i N
tushirilgan	t u s i r i l g a n
tuzgan	t u z g a n
unvoni	u n v o n i
xossalarini	S o s s a l a r i n i
yaxshilash	y a x S i l a S
yoqilgʻi	j o k i l g i
Husayn	u s a
Qarshi	3 y s i
avvalo	a b v a l o
boshqalarni	s l u k  n i
