te	t e
pūtahitanga	p u t a h i t a Ng~ a
raihi	r a i 7 i
rakuraku	r a k u r a k u
rarahi	r a r a h i
raupo	r a u p o
rehe	r E e
rehu	r e h u
tahitahi	t a h i t a 7
takuhe	t a k u e
taratahi	t a r a t a h i
tarau	t a r a u
tarea	t a r e a
tareka	t a r e k a
tatanga	t a t a n g a
temepara	t e m e p a r a
tepe	t e p e
tuaiwa	t u a i w a
tuatangata	t u a t a N a t a
tukitukia	t u k i t u k i a
tukurua	n a a
tutua	t u t u a
tānekaha	m a n e k a h a
tātea	m a t e a
tēneti	t a N n e t i
tūpuhi	t u k
tūtakitanga	t u k i t a Ng~ a
tūātipu	t u a t e p u
unga	u N a
ura	u r a
wairewa	w a i r e w a
wairuatanga	w a i r u a t a n g a
wewete	w e w e t e
whaikorero	wh~ E a i k o r e r o
whakaahuru	wh~ E k a r u r u
whakaawhiwhia	wh~ E k a u f i wh~ E i a
whakakite	wh~ E k a k i t e
whakakorikori	wh~ E k a k o r i k o r i
whakamoea	wh~ E k a m o e a
whakangungua	wh~ E k a n g u N u a
whakangā	wh~ E k a N
whakapaingia	wh~ E k a p a i N i
whakapānga	wh~ E k a p a Ng~ a
whakarauika	wh~ E k a r a u i k a
whakaruru	wh~ E k a r u r u
whakataua	wh~ E k a t a u a
whakatauritea	wh~ E k a t a u r i t e a
whakatikanga	wh~ E k a t i k a n g a
whakatina	wh~ E k a t i n a
whakau	wh~ E k a u
whakaupoko	wh~ E k a u p o k o
whakawahia	wh~ E k a w a h i a
whakawaho	wh~ E k a w a h o
whakawākanga	wh~ E k a w a k a n g a
whanatu	wh~ E a n a t u
wiwi	w i w i
Āpiti	p i t i
ēra	a N r a
ōritenga	o r e g a
Arikinui	r i k i n u i
Aupouri	u p o u r i
Erihana	r i h a n a
Erueti	r u e t i
Hari	a r i
Heikōkō	e i k  o
Hinetūāhōanga	i n e t u a o a Ng~ a
Hira	i r a
Hunia	u n i a
Hāre	a r e
Hēni	a N n i
Hōhepa	o h e p a
Ihoa	h o a
Inaianei	n a i a n e i
Kererū	e r a i n u
Kirihi	i r i 7 i
Kite	i t e
Kohia	h i a
Korowai	o r o w a i
Koutu	o u t u
Kui	u i
Kō	o
Mareikura	a r e i k u r a
Mauria	a u r i a
Mete	e t e
Moerewa	o e r e w a
Māhuri	a u r i
Māramatanga	a r a m a t a n g a
Ngahiwi	g a h i w i
Ngohi	g o h i
Paetahi	a e t a h i
Panui	a n u i
Papakura	a p a k u r a
Parker	a r k a r
Patu	a t u
Poroporoaki	o r o p o r o a k i
Power	o w e r
Putea	u t e a
Pākeha	a k e h a
Pātiti	a t i t i
Pīra	i r a
Pōkai	 a i
Pōkeka	 e k a
Rangitāke	a N i t a k e
Rangiwewehi	a N i w e w e h i
Rikiriki	i k i r i k i
Rīpeka	o e k a
Tahupōtiki	a h u p o t i k i
Takiwā	a k i a
Tawhiuau	r u f i u a u
Tikitiki	i k i t i k i
Topeora	o p e o r a
Totara	o t a r a
Tree	r e
Tuini	k i n i
Tāwhaki	a wh~ E a k i
Tūhourangi	u o u r a N i
Waihanga	i h a Ng~ a
Waihou	i h o u
Whakarewarewa	h a k a r e w a r e w a
Whanui	h a n u i
Whawhai	h a l a i
Whāiti	h a i t i
ahurewa	a h u r e w a
aia	a i a
arongia	a r o N i
arumoni	a r u m o n i
atamai	a t a m a i
aukatia	a u k a t i a
hapuu	h a p u
hikaka	h i k a k a
hikohiko	h i k o h i k o
hirahira	h i r a h i r a
hiraka	h i r a k a
hoahoatia	h o a h o a t i a
hope	h o p e
hukapapa	h u k u t " u t " u
humarie	h u m a r i e
huripoki	h u r i 7 p o k i
hāwhe	h a wh~ E e
hēki	 k i
hīanga	h i a Ng~ a
hōhā	h o h a
hōtoke	h o t o k e
kaati	k a t i
kahikatea	k a h i k a t e a
kaikanikani	k a i k k i a n i k a n i
kairūri	k a i r a k a i
kaitakawaenga	k a i t a k u c i Ng~ a
kaiārahitanga	k a i k k a r a h i t a Ng~ a
kaiāwhina	k a i k k a w h i n a
kapiheihana	k a pw~ i  i h a n a
kawakawa	k a w a k a w a
kee	k e
koka	k o k a
kokowai	k o k o w a i
konutai	q o n u t a i
kāreti	k a r e t i
kōhari	k o a r i
kōhine	k o h i n e
kōkiritia	k  i r i t i a
kōkopu	k  o p u
kōrerotanga	k o r e r o t a Ng~ a
maminga	m a m i Ng~ a
matawhenua	m a t a f e n u a
methamphetamine	m e t a m h e t a m i n e
mira	m i r a
motukore	m o t u k o r e
mōwhiti	m o wh~ E i t i
ngare	N a r e
ngohengohe	N o h 3 N o h e
ngātahitia	N a t a h i t i a
nohopuku	n o h o p u k u
nuitanga	n u i  n g a
paihere	p a i h e r e
panonitanga	p a n o n i t a Ng~ a
papapaki	p a p a p a k i
pararopi	p a r a r o p i
pataka	p a t a k a
pato	p a t o
pehi	p e h i
porowini	p o r o w i n i
puiaki	p u i a k i
putaputa	p u t a p u t a
pütaiao	p 3 t a i a o
pāhotia	p a h o t i a
pēneitia	l u a N n e i t i a
pūataata	p u a t a t a
pūtahi	p u t a h i
rakatira	r a k a t i r a
ramarama	r a m a r a m a
rangahautia	r a N a h a u t i a
rapuhia	r a p u h i a
rauna	r a u n a
raupua	r a u p u a
rerewē	r E r E f a N
ripi	r i p i
ruaki	r u a k i
ruinga	r u i Ng~ a
rupeke	n i n e k e
rāpoi	r a p o i
taewa	t a e w a
tare	t a r e
tataunga	t a t a u N a
tatua	t a t u a
tauārai	t a w a r a i
teenaa	% t e n a
teetehi	t e e t e h i
tete	t e t e
tiakareti	t i a k a r e t i
tikiake	t i k i a k e
tikitiki	t i k i t i k i
tipi	t e p i
tiwai	t i w a i
tuatini	t u a t i n i
tuituia	t u i t u i a
turituri	t u r i t u r i
tāhae	m a a e
tāporowhita	m a p o r o wh~ E i t a
tāraia	m a r a i a
tāroa	m a r o a
tātā	m a t a
tūmatarau	t u m a t a r a u
tūruhi	t u r u h i
urutaunga	t a u N a
waaawa	w a a w a
wahapu	w a h a p u
waihoe	w a i h o e
whakaahuatanga	wh~ E k a a w a t a n g a
whakaihiihi	wh~ E k a i h i i 7 i
whakakotahitia	wh~ E k a k o t a h i t i a
whakakīia	wh~ E k a k i i a
whakanao	wh~ E k a n a o
whakanohonoho	wh~ E k a n o h o n o h o
whakaotinga	wh~ E k a o t i Ng~ a
whakapakoko	wh~ E k a p a k o k o
whakapaoho	wh~ E k a p a o h o
whakatairangahia	wh~ E k a t a i r a N a h i a
whakatōngia	wh~ E k a a N i
whakawhanaketia	wh~ E a b o r u f 3 n k e t i a
whanako	u f 3 n k o
whatiwhati	wh~ E a t a k a t i
where	w h e r e
whirinaki	wh~ E i r i n a k i
whēnei	w  n e i
wānangahia	a  l i s nt~ a
Āpitihanga	p i t i e n a Ng~ a
āraia	a r a i a
ūhia	u i a
Ahurea	h u r e a
Emepaea	m e p a e a
Haramai	a r a m a i
Hare	a r e
Haumiatiketike	a u m i a t i k e t i k e
Hauāuru	a a u r u
Hikareia	i k a r e i a
Hikitia	i k i t i a
Hiruharama	i r u h a r a m a
Huakina	u a k i n a
Huka	u k a
Hōnore	r 3 n o r e
Intent	t e n t
Kaati	a t i
Kainga	i Ng~ a
Karen	a r e
Karuwhā	a r u w h a
Kate	a t e
Kim	i m
Koina	o i n a
Koira	o i r a
Kuri	u r i
Kōhungahunga	o u N a h u N a
Matahi	a t a h i
Matangi	a t a n g i
Mataora	a t a o r a
Maungapohatu	a u N a p o h a t u
Morehu	o r e h u
Muriwhenua	u r i wh~ e n u a
Mātakitaki	a t a k i t a k i
Mātanga	a t a Ng~ a
Mātāpono	a t a p o n o
Mōhiotanga	o u h a o t a Ng~ a
Ngawai	g a w a i
Ohu	h u
Opening	p e n i N
Pa	a
Paenga	a i Ng~ a
Paepae	a e p a e
Paki	a k i
Pitiroi	i t i r o i
Poraka	o r a k a
Poutūterangi	o u t u t E r a N i
Pūmotu	u m o t u
Rakera	a k e r a
Raraunga	a r a u N a
Rawhiti	a w h i t i
Rewa	e w a
Riki	i k i
Riri	i r i
Rāngai	a N a i
Rāpata	a p a t a
Tamure	a m u r e
Tapere	a p e r e
Tapuwae	a p u w a e
Taute	a u t e
Tawhirimatea	r u f i r i m a t e a
Tono	o n o
Torere	o r e r e
Tura	u r a
Tānerore	nj~ 3 e r o r e
Tītokowaru	i t o k o w a r u
Uiui	i u i
Waimarie	a i m a r i e
Whakaaturanga	h a k a t u r a Ng~ a
Whakahirahira	h a k a h i r a h i r a
Whakahētanga	h a k a  t a Ng~ a
Whakarawea	h a k a r a w e a
Whakarewa	h a k a r e w a
Whanga	h a n g a
Wiwi	i w i
Wātaka	a t a k a
Wātene	a t e n e
anu	a n u
arohaina	a r o h a i n a
arotakehia	a r o t a k e h i a
auē	a u a N
haea	h a e a
haeretanga	h a e r e t a Ng~ a
hanumi	h a n u m i
haurau	h a u r a u
her	h e r
hiako	h i a k o
hianga	h i a Ng~ a
hikitia	h i k i t i a
hokomaha	h o k o m a h a
horekau	h o r e k a u
horomia	h o r o m i a
horonga	h o r o n g a
hunaia	h u n a i a
huti	h u t i
hīkoitanga	h i k o i t a Ng~ a
inanahi	i n a n a 7 i
iriiri	i r i i r i
kaiaka	k a i a k a
kaiora	k a i o r a
kaioraora	k a i o r a o r a
kaiparau	k a i p a r a u
kaitaka	k a i t a k a
kaiwhakarongo	S i r k a r o n g o
kaiwhakataetae	S i r k a t a e t a e
kakaho	k a k a h o
karangaranga	k a r a N a r a Ng~ a
karawhiua	k a n a l i u a
kauneke	k a u n e k e
kautia	k a u t i a
kea	k e a
kekeno	k e k E n o
kit	k i t
kitakita	k i t a k i t a
kohukohu	k o h u k o h u
kohurutia	k o h u r u t i a
koretake	k o r e  k e
koromatua	k o r o m a t u a
kukune	k u k u n e
kāuta	l u t a
kōingo	k o i Ng~ o
kōpura	k o p i r a
kūpapa	k u t " u t " u
m	m
maatauranga	m a t a u r a Ng~ a
maipi	m a i p i
man	m a n t a
maramatanga	r a m a t a n g a
matahuhua	m a t a w w a
matewai	m a t e w a i
miniti	m i n i t i
mākutu	m a k u t u
ne	n e
ngoikoretanga	N o i k o r e t a Ng~ a
nāu	n a u
omanga	o m a n g a
paa	p a
paamu	p a m u
papare	p a p a r e
papariki	p a p a r i k i
papatono	p a p a t o n o
perana	p e r a n a
pi	p i
pirinoa	p i r i n o a
pohutukawa	p o h u n k a w a
porangi	p o r a N i
poutāpeta	p o m a p e t a
puihi	p u i 7 i
pupuhihia	p u p u h i h i a
pākehā	p a k e h a
pāpātanga	p a p a t a Ng~ a
pīrori	p i r o r i
pūhui	p u w i
raau	r a u
rekareka	r e k a r e k a
rika	r i k a
rikarika	r i k a r i k a
rimurapa	l i m u r a
ripo	r i p o
roha	r o h a
rongonga	r o n g o* g a
taane	t a n e
takitoru	t a k i t o r u
tamata	t a m a t a
tangotango	t a N o t a n g o
tapoko	t a p o k o
tapuae	t a p u a e
tarāwaho	t a l a w a h o
tauhohenga	t a u h o h i Ng~ a
tauihu	t a w i h u
tautohetia	t a u t o h e t i a
tauwhāiti	t a u w h a i t i
tawa	t a w a
tawhio	t a l i o
tepu	t e p u
tipuranga	t e p u r a Ng~ a
tirotirohanga	t u r o t i r o h a Ng~ a
titaha	t i t a h a
tokarewa	t o k a r e w a
tokowaru	t o k o w a r u
tupunga	t u p u N a
two	t w o
tä	l o
tākihi	m a k i 7 i
tāwara	m a w a r a
tīhi	t i
tīmatahia	t i m a t a h i a
tīpune	t o u n e
tōia	a i a
utauta	u t a u t a
were	w e r e
whakaatungia	wh~ E k a a t u N i
whakae	wh~ E k a e
whakahouhia	wh~ E k a h o i a
whakakitea	wh~ E k a k i t e a
whakakīa	wh~ E k a k i a
whakakīkī	wh~ E k a k i k i
whakanekeneke	wh~ E k a n e k 3 n 3 q k e
whakangau	wh~ E k a N a u
whakaotia	wh~ E k a o t i a
whakapuakihia	wh~ E k a p o a k i h i a
whakapākehātia	wh~ E k a p a k e h a t i a
whakarerenga	wh~ E k a r e r e n g a
whakarārangitanga	wh~ E k a r a r a N i t a Ng~ a
whakatairangatia	wh~ E k a t a i r a N a t i a
whakatangihia	wh~ E k a t a N i h i a
whakatetonga	wh~ E k a t e t o n g a
whakatikatikahia	wh~ E k a t i k a t i k a h i a
whakawhiwhinga	wh~ E k a l i wh~ E i Ng~ a
whakawhānuitia	wh~ E k a wh~ nj~ 3 i t i a
whatinga	wh~ E a t i Ng~ a
whia	wh~ E i a
whāngaia	w h a N a i a
whāngaihia	w h a N a i h i a
whēkau	w  l 3 m
winika	w i n i k a
Āhea	h e a
Ākina	k i n a 7
Āwhinatia	wh~ E i n a t i a
āpitihanga	a p i t i e n a Ng~ a
Apiata	p y a t r a
Apopo	p o p o
Arahura	r a h u r a
Aro	r o
Erangi	r a n g i
Himi	i m i
Himiona	i m i o n a
Hongongoi	o N o N o i
Huhuti	u h u t i
Huringa	u r i Ng~ a
Hāpai	a p a i
Hēkeretari	a N k e r e t a r i
Io	o
Itāriana	m a r i a n a
Iwikau	w i k a u
Kaihoko	i h o k o
Kaihokohoko	i h o k o h o k o
Kairēhita	a i r a N h i t a
Kani	a n i
Kararaina	a r a r a i n a
Karipori	a r i p o r i
Kawa	a w a
Kawenga	a w e n g a
Kiritaki	i r i t a k i
Komene	o m E n E
Kānata	nj~ 3 a t a
Kōhine	o h i n e
Kōkiritia	 i r i t i a
Kōpae	o p a e
Mahue	a h u e
Maia	a i a
Maioha	a i o h a
MakaawhioTe	a k a u f i o e
Maketū	a k e t u
Mango	a n g o
Manukura	a n u k u r a
Maranga	a r a Ng~ a
Meri	e r i
Mihingare	i h i N a r e
Muaūpoko	u a u p o k o
Māehe	a e e
Mīharo	i e n a
Nepia	a p i a
Ngahue	g a h u e
Ngaro	g a r o
Ngatiporou	g a t i p o r o u
Nōema	o e m a
Nōu	o u
Oro	r o
Pahiatua	nt~ a t u a
Pehea	e h e a
Penei	e n e i
Pine	i n e
Poronīhia	o r o n i i a
Porourangi	o r o u r a N i
Prominent	r o m i n e n t
Pukemiro	u k e m i r o
Punga	u N a
Puritia	u r i t i a
Pāti	a t i
Pēhia	a N i a
Pēnei	a N n e i
Pēnā	a N n
Pūkeko	u k e k o
Pūrehuroa	u r e h u r o a
Raina	a i n a
Rangihoua	a N i h o u a
Rima	i m a
Ringa	i n i n
Ruahine	u a h i n e
Ruatoki	u a t o k i
Rukupō	u k u p o
Rātou	a t o u
Rīpera	o e r a
Taane	a n e
Takuta	a k u t a
Tarahiti	a r a h i t i
Taraia	a r a i a
Tatū	a t u
Taupiri	a u p i r i
Tauwhao	a u w a o
Tiamani	i a m a n i
Timoti	i m o t i
Tomoana	o y a n a
Tuhoro	a h o r o
Tupai	u p a i
Tutekohi	u t e k o h i
Tāmanuhiri	a i r i
Tūmatanui	u m a t a n u i
Waitohi	i t o h i
Whakatika	h a k a t i k a
Whakawhitiwhitinga	h a k a wh~ E i t i wh~ E i t i Ng~ a
Whangaparaoa	h a N a p a r a o a
Wharekahika	h a r e k a i k a
Whero	h e r o
Whāingaroa	h a i N a r o a
Whārangi	h a r a N i
Women	e n
anana	a n a n a
angitūtanga	a N i t u t a Ng~ a
atarau	a t a r a u
aunoa	a u n o a
haereere	h a e r a e r e
haha	r a r a
hakahaka	h a k a h a k a
hapuku	h a p u k u
haukū	h a u k u
hoehoe	h o e h o e
hoha	h o h a
huatanga	w a t a n g a
huru	h u r u
hāpiripiri	h a p i r i p i r i
hīnau	h i N a u
inumia	i n u m i a
iro	i r o
kahupapa	k a k u p a p a
kaiao	k a i a o
kaihāpai	k a i h a p a i
kaiurungi	k a i u r u N i
kaiwhakauru	S i r k a u r u
kapukapu	k a p u k a p u
kapuni	k a p u n i
karengo	k a r e n g o
kauhanga	k a u a Ng~ a
kauruku	k a u r u k u
kauwae	k a u w a e
kurikuri	k u r i k u r i
kë	k 3
kēne	q e n e
kōmiti	k o m i t i
maharahara	m a h a r a h a r e y
maharatia	m a h a r a t i a
maihi	m a i 7 i
maire	m a i r
makuku	k u k u
mataitai	m a t a i t a i
matakuikui	m a t a k u i k u i
matapōkere	m a t a p  e r e
mauiui	m a u i u i
maungārongo	m a u N a r o n g o
mawehe	m o r o k i e
meremere	m e r a m e r e
minenga	g a
mohoao	h o  a o
mumura	m u m u r a
murunga	m u r u N a
māhanga	m a a Ng~ a
mānukanuka	m nj~ 3 u k a n u k a
mārie	m a r i e
mātinitini	m a t i n i t i n i
nahanaha	n a h a n a h a
ngakia	N a k i a
ngangahau	N a N a h a u
ngaunga	N a u N a
noti	n o t i
nukua	n u k a
nupepa	n u p e p a
other	o th~ e r
pakapaka	p a k a p a k a
panana	p a n a n a
papakāinga	p a p a l i Ng~ a
parapara	p a r a p a r a
peeke	p e e k e
pihanga	p i t a Ng~ a
pikopiko	p i k o p i k o
poapoa	p o a p o a
pohatu	p o h a t u
poitarawhiti	pw~ a n a l i t i
pokanga	p o k a n g a
puha	p u h a
punarua	p u n a r u a
puoru	p u o r u
pä	p 3 7
pāmahana	p a m a h a n a
pāti	p a t i
pīkau	p i l 3 m
pūmautanga	p u m a u t a Ng~ a
rahaki	r a h a k i
raho	r a h o
rangitaki	r a N i t a k i
rapea	r a p e a
raupapahia	r a u p a p a h i a
raupō	r a u p o
rawekehia	r a w e k e h i a
rehurehu	r e h u r e h u
riha	r i h a
rātonga	r a t o n g a
rēhitatanga	r a N h i t a t a n g a
taitapa	t a i t a p a
takahitanga	t a k a h i t a Ng~ a
takakino	t a k a k i n o
tanuku	t a n u k u
taramea	t a r a m i a
tautō	t a w a
tieki	t i e k i
titikaha	t i t i k a h a
tohenga	t o h 3 N a
tohumate	t o h u m a t e
toke	t o k e
tuahu	t u a u
tukuruatia	n a a t i a
tukutahi	n k u t a h i
tumau	t u m a u
tuuturu	t u t u r u
tāhuna	m a u n a
tāpaetia	m a p a e t i a
tēneki	t a N n e k i
tīni	t i n i
tōmuatanga	a m u a t a n g a
uriuri	u r i u r i
urungi	u r u N i
wahangote	w a h a N o t e
wahangū	w a h a N u
waireka	w a i r e k a
wani	w a n i
wawahi	b i nt~
weri	w e r i
weriweri	w e r i w e r i
whae	wh~ E a e
whaiti	wh~ E a i t i
whakaangi	wh~ E k a n u
whakahihi	wh~ E k a h i 7 i
whakahuahua	wh~ E k a w a w a
whakahuihui	wh~ E k a w i w i
whakakapinga	wh~ E k a k a p i Ng~ a
whakakaupapa	wh~ E k a k a u p a p a
whakakā	wh~ E k a l
whakamanawa	wh~ E k a m a n a w a
whakamaru	wh~ E k a m a r u
whakamihia	wh~ E k a m i h i a
whakangaromia	wh~ E k a N a r o m i a
whakaparahako	wh~ E k a p a r a h a k o
whakapokenga	wh~ E k a p o k e n g a
whakaputahia	wh~ E k a p u t a h i a
whakarereketanga	wh~ E k a r e r e k e t a Ng~ a
whakarihariha	wh~ E k a r i t a r i h a
whakatautau	wh~ E k a t a u t a u
whakatematau	wh~ E k a t e m a t a u
whakatikahia	wh~ E k a t i k a h i a
whakatoi	wh~ E k a t o i
whakatokia	wh~ E k a t o k i a
whakawaiwai	wh~ E k a w a i w a i
whakawhiu	wh~ E k a l i u
whakawhānuihia	wh~ E k a w h a n u i h i a
whiwhia	wh~ E i wh~ E i a
whänui	wh~ E 3 n u i
whāngote	w h a N o t e
wähanga	w 3 a Ng~ a
wāhitau	a  h i t 3
āhuru	a u r u
ēhara	a N a r a
ētita	a N t i t a
Īhu	h u
ōkiko	 i k o
Ama	m a
Anaru	n a r u
Arihia	r i h i a
Arowhenua	r o wh~ e n u a
Awatere	w a t e r e
Ema	m a
Europe	u r o p e
Hautanga	a u t a Ng~ a
Hea	e a
Heeni	e n i
Hekenukumai	e k 3 n u k m a i
Hemana	e m a n a
Hohepa	h e p a
Hokinga	o k i Ng~ a
Honoa	n o a
Horror	u r o r
Huarahi	u a r a h i
Huata	u a t a
Hērangi	a N r a N i
Hētana	a N t a n a
Hōtaka	o t a k a
Irihāpeti	r i h a p e t i
Itāria	m a r i a
Kahawai	a h a w a i
Kaikoura	i k o u r a
Kano	a n o
Kaporeihana	a p o r e i h a n a
Kapua	a p u a
Kaumātua	a u m a t u a
Kerikeri	e r i k e r i
Kino	i n o
Koata	o a t a
Koutou	o u t o u
Kāo	a o
Kēnana	a N n a n a
Mahinga	a h i n g a
Maiharanui	i t a r a n u i
Makere	a k e r e
Mangu	a N u
Maraea	a r a e a
Marangai	a r a N a i
Maritime	a r i t i m e
Matuku	a t u k u
Meinga	e i Ng~ a
Mokena	o k e n a
Motueka	o t u e k a
Mōmona	k o j o n a
Nainoa	a i n o a
Ngahere	g i*
Ngaiterangi	g a i t E r a N i
Niho	i h o
Nina	i n a
Nukutaurua	u k u t a u r u a
Nāhinara	a h i n a r a
Pangarau	a N a r a u
Patua	a t u a
Peihopa	e i h o p a
Pem	e m
Poroumata	o r o u m a t a
Porowini	o r o w i n i
Poutāpeta	o m a p e t a
Puka	u k a
Pāpori	a p o r i
Rapanga	a p a n g a
Rongomaurikura	o N o m a u r i k u r a
Roroa	o r o a
Ruataupare	u a t a u p a r e
Taika	i k a
Takiura	a k i u r a
Tamarau	a m a r a u
Tarakawa	a r a k a w a
Taumarere	a u m a r e r e
Tautohua	a u t o w a
Teko	e k o
Tikipunga	i k i p u N a
Tona	o n a
Two	w o
Tāhū	a u
Tūranganui	u r a N a n u i
Uawa	a w a
Uhia	h i a
Wahawaha	a h a w a h a
Waihau	i h a u
Waiomatatini	a i o m a t a t i n i
We	e
Weka	e k a
Whaanga	h a n g a
Whaia	h a i a
Whaitua	h a i t u a
Whakahau	h a k a h a u
Whakapiki	h a k a p i k i
Whakarapa	h a k a r a p a
Whakaruruhau	h a k a r u r u h a u
Whakarōpūhia	h a k a r o p u i a
Whakarōpūngia	h a k a r o p u N i
Whakatairitea	h a k a t a i r i t e a
Whakataki	h a k a t a k i
Whakatō	h a k a a
Whakawhitinga	h a k a wh~ E i t i Ng~ a
Whangamata	h a N a m a t a
Wharepukapuka	h a r e p u k a p u k a
Whatahoro	h a t a h o r o
akina	u ly~ o
am	a m
aromatawaia	a r o m a t a w a i a
arorangi	a r o r a N i
arowhai	a r o w a i
auare	a u a r e
awhikiri	r u f i k i r i
awhinatia	a w h i n a t i a
ekea	e k e a
haeata	h a e a t a
hahae	h a h a e
haratau	h a r a t a u
haua	h a u a
haumano	h a u m a n o
hauwarea	h a u w a r e a
hekaheka	h e k a h e k a
hiwa	h i w a
hoake	h o a k e
hoi	h o i
hoka	h o k a
hongere	h o N e r e
huanui	w a n u i
hukea	h u k e a
hungawai	h u N a w a i
hīmene	h i m E n E
hōanga	h o a Ng~ a
ihumanea	i h u m a n e a
inaki	i n a k i
inati	i n a t i
inihua	i n i w a
into	i n t o
kaikauwhau	k a i k k i a u w h a u
kaikerēme	k a i k k i e r a N nd~ e e
kaimātakitaki	k a i m u f a a t a k i t a k i
kaiuru	k a i u r u
kaiwhakaputa	S i r k a p u t a
kakenga	k a k e n g a
kamera	k a m E r a
karaipiture	k a r a i p i t u r e
karakiatia	k a r a k i a t i a
kaurori	k a u r o r i
ketia	k e t i a
kiki	k i k i
kirikā	k i r i k a
kirīmi	l i m i
kohuke	k o h u k e
koke	k o k e
koranehe	k o r a n e h e
koroke	k o r o k e
koroputa	k o r o p u t a
korou	k o r o u
kuhua	k u w a
kukupa	k u k u p a
kukuti	k u k u t i
kuwaha	k u w a h a
kāika	l i k a
kārangaranga	k a r a N a r a Ng~ a
kōhi	k o
kōhuru	k o u r u
kōpu	k o p u
kūare	k u a r e
kūhuka	k u u k a
maaka	m a k a
maara	m a d a
mahora	m a h o r a
maikuku	m a i k u k u
maina	m a i n a
matemateaone	m a t e m a t e y
matewhawhati	m a t e u f 3 k a t i
meake	m e a k e
mekemeke	m E k E m E t e k e
mete	m e t e
moemoehia	m o e m o e h i a
moohiotia	h i o t i a
mounu	% m a u n u
māhorahora	m a  n e h o r a
māwhaiwhai	m a wh~ i r a i
nawai	n a w a i
ngaherehere	N a h e r e h e r e
ngakinga	N a k i Ng~ a
ngawha	N a l a
ngawhere	N a w h e r e
ngāherehere	N a h e r e h e r e
ngāngara	N nj~ 3 g a r a
niu	n i u
notemea	n o t t e m i a
nōku	n  u
nōu	n o u
ohinga	h i n g a
okiokinga	o k i o k i Ng~ a
onge	o n g e
orokati	o r o k a t i
orooro	o r o o r o
pakaruhia	p a k a r u h i a
pangarau	p a N a r a u
paopao	p a o p a o
papaneke	p a p a n e k e
paraharaha	p a r a h a r a h a
parau	p a r a u
parehe	p a r e e
parekareka	p a r e k a r e k a
pikau	p i k a u
piripiri	p i r i p i r i
pitomata	p i t o m a t a
poriro	p o r i r o
poutiriao	p o u t i r i a o
pākia	p a k i a
pāorooro	p a o r o o r o
pātū	p a t u
pūare	p u a r e
pūeru	p u e r u
pūhou	p u u
rangatū	r a N a t u
rarua	r a r u a
rauawa	r a o w e r a
rimurimu	l i m u r i m u
roko	r o k o
rāpihi	r a p i 7 i
rārangitia	r a r a N i t i a
rīriri	r i r i r i
taana	t a n a
tahia	t a h i a
tahora	t a h o r a
takaroa	t a k a r o a
tamarikitanga	t a m a r i k i t a Ng~ a
tapatapahi	t a p a t a p a h i
tapawha	t a p a l a
taraute	t a r a u t e
tauaki	t a w a k i
taupua	t a u p u a
taupū	t a u p u
tautiaki	t a u t i a k i
tauwehe	t a u w e h e
tene	t e n e
three	t r e
tiakarete	t i a k a r e t e
tiima	t i i m a
titia	t i t i a
tohutao	t o h u t a o
tohutoa	t o h u t o a
topuni	t o p u n i
tuakiritanga	t u a k i r i t a Ng~ a
tuawha	t u a l a
tunutunu	t u n u t u n u
turia	t u r i a
tāea	m a e a
tāiri	m a i r i
tākai	m a k a i
tākoha	m a k o h a
tāruaruatia	m a r u a r u a t i a
tātua	m a t u a
tāwharau	m a wh~ a r a u
tēnehi	t a N n e h i
tūmanakohia	t u k o h i a
tūtohutanga	t u t o h u t a Ng~ a
tūwatawata	t u w a t a w a t a
waehere	w a e h e r e
waharoa	w a h a r o a
waimeha	w a i m e h a
waitohua	w a i t o w a
werowero	w e r o w e r o
whakaatangia	wh~ E k a t a N i
whakahawea	wh~ E k a h a t a w e a
whakahihiri	wh~ E k a h i h i r i
whakairotia	wh~ E k a i r o t i a
whakakeke	wh~ E k a k e k e
whakakorenga	wh~ E k a k o r e n g a
whakamanamana	wh~ E k a m a n a m a n a
whakamaramatanga	wh~ E k a m a r a m a t a n g a
whakamatauria	wh~ E k a m a t a u r i a
whakamohiotia	wh~ E k a m o h i o t i a
whakapaea	wh~ E k a p a e a
whakapeto	wh~ E k a p e t o
whakarangatira	wh~ E k a r a N a t i r a
whakarata	wh~ E k a r a t a
whakaraupapahia	wh~ E k a r a u p a p a h i a
whakareka	wh~ E k a r e k a
whakarua	wh~ E k a r u a
whakatūwhera	wh~ E k a t u wh~ e r a
wikitōria	w i k i a r i a
Āhitana	h i t a n a
āniwaniwa	nj~ 3 w a n i w a
ātanga	a t a Ng~ a
āteha	a t e h a
ātārangi	a t a r a N i
āwhio	a wh~ E i o
Ahau	h a u
Ahia	h i a
Ahumahi	h u m a h i
Akona	q o n a
ApiTrak	p i r a
Haimona	a i m o n a
Hapani	a p a n i
Haumia	a u m i a
Haunga	a u N a
Herangi	e r a N i
Heteroptera	e t e r o p t E r a
Hineahuone	i n e a w o n e
Hinerangi	i n e r a N i
Hinewai	i n e w a i
Hoahoa	o a h o a
Hopukina	o p u k i n a
Hurihuri	u r i h u r i
Kahui	a w i
Kaimai	a i m a i
Kaitātaki	a y t a t a k i
Kanikani	a n i k a n i
Kapu	a p u
Kaumatua	a u m a t u a
Kea	e a
Keri	e r i
Kerēme	e r a N nd~ e e
Kiki	i k i
Korokī	o r o k i
Koura	o u r a
